image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,survival_weight,gain_weight,phase_channels,spectral_floor,floor_gate,floor_r_min,floor_r_max,floor_survival,theta_budget,coarsen,warp_grid,flow_tau,flow_eps,flow_neighbourhood,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,eot_sigmas,eot_fractions,eot_classes,linf_deliver,consistency_weight,consistency_decay,latent_norm_weight,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,resumed,stop_reason,stopped_at,best_eval,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp,instruct-pix2pix,turn the color of potted plant to pink,,32.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,none,shared,rgb,0.0,uniform,,,none,0.0,1,512,0.0,,,lbfgs,0.02,0.25,1.5,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,2000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.5 1.0 1.5 2.0,0.05 0.1 0.15 0.2,identity jpeg blur crop,0.0,0.0,0.0,0.0,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0,early_stop,2000,75.05484009,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44631,0.83477,18.651,0.17032,0.24693,0.48678,0.60521,13.43,0.12465,0.29133,0.89281,0.1168,0.78696,0.73453,True,0.837,1531.1
task_attr_mod_color_6205,warp,instruct-pix2pix,turn the color of toolbox to red,,32.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,none,shared,rgb,0.0,uniform,,,none,0.0,1,512,0.0,,,lbfgs,0.02,0.25,1.5,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,2000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.5 1.0 1.5 2.0,0.05 0.1 0.15 0.2,identity jpeg blur crop,0.0,0.0,0.0,0.0,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0,early_stop,1401,80.93878174,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47706,0.82406,20.851,0.17675,0.29816,0.59585,0.55229,11.001,0.18936,0.35648,0.97432,0.09066,0.87445,0.81027,True,0.837,665.0
