group,radius,n_images,fid_dists,edit_lpips,fid_psnr,fid_lpips,fid_ssim,edit_clip_sim,blocked_rate
condition=dct_shield,1.2,13,0.06646,0.6694,28.08354,0.47533,0.83145,0.70288,0.84615
condition=dct_shield,1.4,13,0.07712,0.69448,26.93815,0.49968,0.79918,0.68281,0.84615
condition=dct_shield,1.8,13,0.09757,0.70161,25.12054,0.53884,0.74307,0.67609,0.84615
condition=dct_shield,2.2,13,0.11638,0.7078,23.70038,0.56909,0.695,0.67134,0.84615
condition=gain_only,0.8,13,0.05519,0.53292,30.26115,0.41634,0.97521,0.84294,0.30769
condition=gain_only,1.5,13,0.09268,0.61682,27.702,0.46884,0.95315,0.76404,0.53846
condition=gain_only,2.4,13,0.12794,0.67428,25.765,0.50455,0.92752,0.69824,0.84615
condition=phase,0.8,13,0.04326,0.53326,30.54108,0.42159,0.97739,0.83226,0.46154
condition=phase,1.8,13,0.08332,0.63106,27.47215,0.48611,0.94869,0.75397,0.69231
condition=phase,3.1416,13,0.1286,0.70109,25.35608,0.52494,0.90873,0.66552,0.92308
condition=phase_gain,0.9,13,0.07966,0.6022,28.23785,0.46008,0.95962,0.75781,0.61538
condition=phase_gain,1.5,13,0.11883,0.67565,25.99869,0.5045,0.93063,0.70021,0.84615
condition=phase_gain,2.0,13,0.1447,0.70123,24.74038,0.52677,0.90738,0.67104,0.92308
condition=phase_gain,2.4,13,0.16032,0.701,23.88946,0.54193,0.8896,0.65665,1.0
