s_prime,fraction,direction_survival,energy_survival,n
1.05,0.02381,-0.06787,0.89893,15
1.1,0.04545,-0.02888,0.89826,15
1.15,0.06522,-0.01785,0.90036,15
1.2488,0.09962,0.97465,0.9033,15
1.3,0.11538,-0.00911,0.90015,15
1.4,0.14286,-0.04751,0.89982,15
1.5,0.16667,-0.04457,0.90085,15
