image,seed,field,scale,target_rms,energy_survival,direction_survival,dists,lpips,psnr,rms,linf
task_attr_mod_color_11699,0,log_periodic,1.25,0.01,0.98571,0.99309,0.11877,0.13069,40.0149,0.009982,0.047667
task_attr_mod_color_11699,0,log_periodic,1.25,0.056,0.96964,0.99005,0.215178,0.285631,25.1084,0.055537,0.266935
task_attr_mod_color_11699,0,white_noise,1.25,0.01,0.66141,0.00099,0.036595,0.159563,40.0095,0.009989,0.047423
task_attr_mod_color_11699,0,white_noise,1.25,0.056,0.64584,0.00108,0.170577,0.465778,25.1473,0.055288,0.26557
task_attr_mod_color_11699,1,log_periodic,1.25,0.01,0.98571,0.99266,0.115999,0.141699,40.0186,0.009978,0.049089
task_attr_mod_color_11699,1,log_periodic,1.25,0.056,0.96005,0.98812,0.207839,0.299367,25.1824,0.055066,0.274901
task_attr_mod_color_11699,1,white_noise,1.25,0.01,0.66305,-0.00084,0.038011,0.15795,40.0088,0.009989,0.044308
task_attr_mod_color_11699,1,white_noise,1.25,0.056,0.64687,-0.00094,0.176188,0.462469,25.1467,0.055292,0.248126
task_attr_mod_color_11699,2,log_periodic,1.25,0.01,0.9844,0.99217,0.114463,0.146499,40.0121,0.009986,0.045356
task_attr_mod_color_11699,2,log_periodic,1.25,0.056,0.95938,0.98826,0.212924,0.304304,25.1407,0.055331,0.253991
task_attr_mod_color_11699,2,white_noise,1.25,0.01,0.66138,-0.0017,0.036557,0.16001,40.0093,0.009989,0.048928
task_attr_mod_color_11699,2,white_noise,1.25,0.056,0.64487,-0.00188,0.173053,0.463058,25.1496,0.055274,0.249395
task_attr_mod_color_136767,0,log_periodic,1.25,0.01,0.94275,0.98346,0.070205,0.080334,40.2968,0.009664,0.047667
task_attr_mod_color_136767,0,log_periodic,1.25,0.056,0.8576,0.95094,0.16284,0.225969,25.9133,0.050622,0.266935
task_attr_mod_color_136767,0,white_noise,1.25,0.01,0.63904,0.00092,0.024875,0.127465,40.2155,0.009754,0.047423
task_attr_mod_color_136767,0,white_noise,1.25,0.056,0.57998,0.00161,0.165212,0.416399,25.7923,0.051332,0.26557
task_attr_mod_color_136767,1,log_periodic,1.25,0.01,0.96707,0.98851,0.074199,0.087148,40.1037,0.009881,0.049089
task_attr_mod_color_136767,1,log_periodic,1.25,0.056,0.90228,0.96869,0.176611,0.246992,25.4684,0.053282,0.274901
task_attr_mod_color_136767,1,white_noise,1.25,0.01,0.63995,-0.0011,0.024673,0.126392,40.2195,0.00975,0.044308
task_attr_mod_color_136767,1,white_noise,1.25,0.056,0.58065,-0.00136,0.169108,0.412797,25.8014,0.051278,0.248126
task_attr_mod_color_136767,2,log_periodic,1.25,0.01,0.94971,0.9821,0.071905,0.087108,40.1559,0.009822,0.045356
task_attr_mod_color_136767,2,log_periodic,1.25,0.056,0.87017,0.95691,0.173915,0.250234,25.6081,0.052432,0.253991
task_attr_mod_color_136767,2,white_noise,1.25,0.01,0.63806,-0.00181,0.025268,0.128015,40.2211,0.009748,0.048928
task_attr_mod_color_136767,2,white_noise,1.25,0.056,0.57807,-0.00215,0.159189,0.412894,25.807,0.051245,0.273998
task_attr_mod_color_184837,0,log_periodic,1.25,0.01,0.98716,0.99365,0.033951,0.028806,40.0134,0.009984,0.047667
task_attr_mod_color_184837,0,log_periodic,1.25,0.056,0.94079,0.98649,0.145236,0.146566,25.2846,0.054421,0.266935
task_attr_mod_color_184837,0,white_noise,1.25,0.01,0.66143,0.00101,0.013749,0.057706,40.0122,0.009985,0.047423
task_attr_mod_color_184837,0,white_noise,1.25,0.056,0.62943,0.00113,0.113074,0.328622,25.2893,0.054392,0.24369
task_attr_mod_color_184837,1,log_periodic,1.25,0.01,0.984,0.99253,0.028203,0.028856,40.0288,0.009966,0.049089
task_attr_mod_color_184837,1,log_periodic,1.25,0.056,0.91134,0.97773,0.14967,0.153312,25.4231,0.05356,0.274901
task_attr_mod_color_184837,1,white_noise,1.25,0.01,0.66297,-0.00079,0.012948,0.058339,40.0124,0.009985,0.044308
task_attr_mod_color_184837,1,white_noise,1.25,0.056,0.6307,-0.00071,0.11241,0.326659,25.2925,0.054372,0.248126
task_attr_mod_color_184837,2,log_periodic,1.25,0.01,0.98378,0.99215,0.025107,0.029039,40.0163,0.009981,0.045356
task_attr_mod_color_184837,2,log_periodic,1.25,0.056,0.94165,0.98564,0.151545,0.15699,25.2392,0.054706,0.253991
task_attr_mod_color_184837,2,white_noise,1.25,0.01,0.66146,-0.00181,0.014955,0.058755,40.0115,0.009986,0.048928
task_attr_mod_color_184837,2,white_noise,1.25,0.056,0.62946,-0.00174,0.11656,0.328732,25.2877,0.054402,0.249395
task_attr_mod_color_32648,0,log_periodic,1.25,0.01,0.9874,0.99395,0.221689,0.266431,40.0343,0.00996,0.047667
task_attr_mod_color_32648,0,log_periodic,1.25,0.056,0.77995,0.95422,0.361264,0.476166,26.3366,0.048213,0.266935
task_attr_mod_color_32648,0,white_noise,1.25,0.01,0.66024,0.00104,0.053806,0.278951,40.0298,0.009965,0.047423
task_attr_mod_color_32648,0,white_noise,1.25,0.056,0.5243,0.00162,0.248476,0.551594,26.245,0.048725,0.26557
task_attr_mod_color_32648,1,log_periodic,1.25,0.01,0.98238,0.99233,0.234657,0.286976,40.0326,0.009962,0.04783
task_attr_mod_color_32648,1,log_periodic,1.25,0.056,0.79213,0.9566,0.367496,0.486169,26.1189,0.049437,0.255762
task_attr_mod_color_32648,1,white_noise,1.25,0.01,0.6615,-0.00094,0.052807,0.281416,40.0298,0.009965,0.044308
task_attr_mod_color_32648,1,white_noise,1.25,0.056,0.52565,-0.00036,0.24716,0.547601,26.2489,0.048703,0.248126
task_attr_mod_color_32648,2,log_periodic,1.25,0.01,0.98254,0.99213,0.234113,0.288346,40.026,0.00997,0.045356
task_attr_mod_color_32648,2,log_periodic,1.25,0.056,0.83323,0.96405,0.364636,0.490846,25.9173,0.050598,0.253991
task_attr_mod_color_32648,2,white_noise,1.25,0.01,0.6601,-0.00196,0.055203,0.284034,40.0302,0.009965,0.048928
task_attr_mod_color_32648,2,white_noise,1.25,0.056,0.52629,-0.00163,0.245242,0.552769,26.2378,0.048765,0.249395
task_attr_mod_color_6205,0,log_periodic,1.25,0.01,0.98602,0.99329,0.072065,0.09046,40.0127,0.009985,0.047667
task_attr_mod_color_6205,0,log_periodic,1.25,0.056,0.94884,0.98536,0.177605,0.265321,25.1555,0.055236,0.266935
task_attr_mod_color_6205,0,white_noise,1.25,0.01,0.65991,0.00108,0.033411,0.190865,40.0127,0.009985,0.047423
task_attr_mod_color_6205,0,white_noise,1.25,0.056,0.63359,0.00112,0.187082,0.526148,25.1681,0.055156,0.26557
task_attr_mod_color_6205,1,log_periodic,1.25,0.01,0.98437,0.99253,0.079426,0.098006,40.0159,0.009981,0.049089
task_attr_mod_color_6205,1,log_periodic,1.25,0.056,0.93927,0.98303,0.185132,0.28464,25.1854,0.055047,0.274901
task_attr_mod_color_6205,1,white_noise,1.25,0.01,0.66131,-0.00084,0.037264,0.189872,40.0133,0.009984,0.044308
task_attr_mod_color_6205,1,white_noise,1.25,0.056,0.63512,-0.00081,0.190941,0.52362,25.1685,0.055154,0.248126
task_attr_mod_color_6205,2,log_periodic,1.25,0.01,0.98289,0.99182,0.079409,0.102214,40.014,0.009983,0.045356
task_attr_mod_color_6205,2,log_periodic,1.25,0.056,0.94316,0.98363,0.194018,0.290244,25.166,0.05517,0.253991
task_attr_mod_color_6205,2,white_noise,1.25,0.01,0.65988,-0.00174,0.037389,0.192019,40.013,0.009985,0.048928
task_attr_mod_color_6205,2,white_noise,1.25,0.056,0.63442,-0.00145,0.184846,0.528019,25.1652,0.055175,0.249395
task_env_weather_112463,0,log_periodic,1.25,0.01,0.98869,0.99414,0.05644,0.067952,40.0072,0.009991,0.047667
task_env_weather_112463,0,log_periodic,1.25,0.056,0.94179,0.98648,0.182159,0.274656,25.2356,0.054729,0.266935
task_env_weather_112463,0,white_noise,1.25,0.01,0.66255,0.00096,0.018515,0.149034,40.0037,0.009995,0.047423
task_env_weather_112463,0,white_noise,1.25,0.056,0.64463,0.00102,0.14593,0.510956,25.1471,0.05529,0.26557
task_env_weather_112463,1,log_periodic,1.25,0.01,0.98855,0.99343,0.048722,0.078445,40.0059,0.009993,0.049089
task_env_weather_112463,1,log_periodic,1.25,0.056,0.96253,0.98906,0.187886,0.290022,25.1464,0.055294,0.274901
task_env_weather_112463,1,white_noise,1.25,0.01,0.66408,-0.00073,0.01965,0.149003,40.0038,0.009995,0.044308
task_env_weather_112463,1,white_noise,1.25,0.056,0.64624,-0.00052,0.150309,0.512924,25.1486,0.05528,0.248126
task_env_weather_112463,2,log_periodic,1.25,0.01,0.9856,0.9926,0.064808,0.08831,40.0091,0.009989,0.045356
