image,condition,amp,block,hop,r_min,field_grid,seed,dists,lpips,psnr,edit_lpips,edit_clip_sim,edit_siglip_sim,fold_frac,grid,n_bands
task_attr_mod_color_11699,warp_fold,1.0,32,8,0.12,16,0,0.053454,0.105703,24.719,0.11493,0.99481,0.99041,0.00075,64,
task_attr_mod_color_11699,warp_fold,2.0,32,8,0.12,16,0,0.133872,0.23706,20.442,0.23228,0.98225,0.9646,0.00329,64,
task_attr_mod_color_11699,disp_k8,2.0,32,8,0.12,16,0,0.08657,0.215239,23.839,0.21721,0.9951,0.98352,,,8
task_attr_mod_color_11699,disp_k8,4.0,32,8,0.12,16,0,0.137793,0.307227,20.833,0.29365,0.98125,0.96543,,,8
task_attr_mod_color_136767,warp_fold,1.0,32,8,0.12,16,0,0.064945,0.095245,25.538,0.10633,0.99803,0.99372,0.00075,64,
task_attr_mod_color_136767,warp_fold,2.0,32,8,0.12,16,0,0.157701,0.2173,21.288,0.22754,0.97853,0.97726,0.00329,64,
task_attr_mod_color_136767,disp_k8,2.0,32,8,0.12,16,0,0.096973,0.20165,24.978,0.21773,0.99519,0.98711,,,8
task_attr_mod_color_136767,disp_k8,4.0,32,8,0.12,16,0,0.156605,0.279828,22.085,0.28195,0.9906,0.9783,,,8
task_attr_mod_color_184837,warp_fold,1.0,32,8,0.12,16,0,0.096982,0.111677,22.458,0.13008,0.98861,0.99008,0.00075,64,
task_attr_mod_color_184837,warp_fold,2.0,32,8,0.12,16,0,0.168129,0.24787,18.424,0.24782,0.97196,0.9585,0.00329,64,
task_attr_mod_color_184837,disp_k8,2.0,32,8,0.12,16,0,0.096151,0.219826,21.71,0.26327,0.98892,0.9793,,,8
task_attr_mod_color_184837,disp_k8,4.0,32,8,0.12,16,0,0.196947,0.334373,18.875,0.35741,0.98345,0.95912,,,8
task_attr_mod_color_32648,warp_fold,1.0,32,8,0.12,16,0,0.038523,0.067787,34.932,0.07524,0.99534,0.99342,0.00075,64,
task_attr_mod_color_32648,warp_fold,2.0,32,8,0.12,16,0,0.124476,0.17114,30.527,0.15593,0.97578,0.97631,0.00329,64,
task_attr_mod_color_32648,disp_k8,2.0,32,8,0.12,16,0,0.04935,0.106782,34.733,0.15589,0.96088,0.97093,,,8
task_attr_mod_color_32648,disp_k8,4.0,32,8,0.12,16,0,0.096155,0.168813,31.572,0.2175,0.95708,0.94697,,,8
task_attr_mod_color_6205,warp_fold,1.0,32,8,0.12,16,0,0.056842,0.102942,29.135,0.10333,0.9955,0.98578,0.00075,64,
task_attr_mod_color_6205,warp_fold,2.0,32,8,0.12,16,0,0.154949,0.215429,24.496,0.21084,0.98059,0.93066,0.00329,64,
task_attr_mod_color_6205,disp_k8,2.0,32,8,0.12,16,0,0.090017,0.179805,29.198,0.17547,0.99597,0.9788,,,8
task_attr_mod_color_6205,disp_k8,4.0,32,8,0.12,16,0,0.132368,0.251887,25.827,0.30888,0.98057,0.92392,,,8
task_env_weather_112463,warp_fold,1.0,32,8,0.12,16,0,0.05184,0.105187,30.602,0.16935,0.97625,0.9767,0.00075,64,
task_env_weather_112463,warp_fold,2.0,32,8,0.12,16,0,0.134048,0.281876,25.573,0.3044,0.94706,0.93971,0.00329,64,
task_env_weather_112463,disp_k8,2.0,32,8,0.12,16,0,0.042791,0.097728,30.932,0.18566,0.96901,0.95897,,,8
task_env_weather_112463,disp_k8,4.0,32,8,0.12,16,0,0.085688,0.19243,26.926,0.27325,0.94263,0.95375,,,8
task_obj_remove_380621,warp_fold,1.0,32,8,0.12,16,0,0.115204,0.134635,24.349,0.18047,0.99147,0.98399,0.00075,64,
task_obj_remove_380621,warp_fold,2.0,32,8,0.12,16,0,0.190753,0.280089,21.41,0.29718,0.9772,0.96621,0.00329,64,
task_obj_remove_380621,disp_k8,2.0,32,8,0.12,16,0,0.10084,0.17849,23.528,0.20613,0.99373,0.98196,,,8
task_obj_remove_380621,disp_k8,4.0,32,8,0.12,16,0,0.149701,0.250242,22.286,0.28104,0.98377,0.96262,,,8
task_obj_swap_joint_mask_276754,warp_fold,1.0,32,8,0.12,16,0,0.076932,0.177273,23.265,0.05566,0.9771,0.96146,0.00075,64,
task_obj_swap_joint_mask_276754,warp_fold,2.0,32,8,0.12,16,0,0.154635,0.339896,20.502,0.11272,0.95465,0.9412,0.00329,64,
task_obj_swap_joint_mask_276754,disp_k8,2.0,32,8,0.12,16,0,0.086887,0.279612,22.384,0.09458,0.97807,0.96636,,,8
task_obj_swap_joint_mask_276754,disp_k8,4.0,32,8,0.12,16,0,0.148605,0.366394,21.33,0.137,0.95156,0.9415,,,8
task_obj_swap_joint_mask_533428,warp_fold,1.0,32,8,0.12,16,0,0.054503,0.120035,24.12,0.201,0.99147,0.98981,0.00075,64,
task_obj_swap_joint_mask_533428,warp_fold,2.0,32,8,0.12,16,0,0.148393,0.283755,19.894,0.41262,0.86692,0.88311,0.00329,64,
task_obj_swap_joint_mask_533428,disp_k8,2.0,32,8,0.12,16,0,0.080343,0.184871,23.338,0.24231,0.9685,0.9784,,,8
task_obj_swap_joint_mask_533428,disp_k8,4.0,32,8,0.12,16,0,0.145583,0.296639,20.426,0.32572,0.94187,0.92949,,,8
task_obj_swap_rand_mask_417469,warp_fold,1.0,32,8,0.12,16,0,0.048716,0.105165,24.233,0.12149,0.98958,0.97727,0.00075,64,
task_obj_swap_rand_mask_417469,warp_fold,2.0,32,8,0.12,16,0,0.140732,0.255816,20.68,0.24632,0.95704,0.92046,0.00329,64,
task_obj_swap_rand_mask_417469,disp_k8,2.0,32,8,0.12,16,0,0.05888,0.174471,23.187,0.18373,0.98219,0.95142,,,8
task_obj_swap_rand_mask_417469,disp_k8,4.0,32,8,0.12,16,0,0.105784,0.260581,21.371,0.26757,0.96509,0.94263,,,8
