image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41207,0.91193,23.078,0.33504,0.16324,0.44734,0.67477,16.854,0.22912,0.25236,0.95686,0.07016,0.88064,0.84802,False,0.837,186.8
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41513,0.90326,22.827,0.28967,0.16642,0.56474,0.39339,9.331,0.14347,0.3068,0.98431,0.07222,0.8404,0.84327,False,0.837,177.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46845,0.89619,18.58,0.25617,0.16941,0.72772,0.23346,8.393,0.17102,0.39326,0.93263,0.11776,0.81425,0.85147,False,0.837,177.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44761,0.97544,31.96,0.31454,0.09106,0.35847,0.65389,14.185,0.64106,0.26986,0.6754,0.02523,0.93497,0.90469,False,0.837,177.8
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38671,0.93162,25.294,0.39307,0.16199,0.531,0.51102,10.515,0.34554,0.32154,0.98824,0.05436,0.80772,0.77025,True,0.837,180.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51043,0.8316,24.844,0.30671,0.16906,0.81192,0.37431,10.849,0.1369,0.32839,0.79517,0.05725,0.56144,0.58487,True,0.837,180.5
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44629,0.87404,17.984,0.23306,0.12145,0.6164,0.24223,13.756,0.12515,0.36261,1.0,0.12613,0.89048,0.85616,False,0.837,180.4
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44694,0.93158,22.742,0.29893,0.12345,0.52255,0.56433,14.966,0.19656,0.31229,0.84498,0.07293,0.86708,0.80421,True,0.837,180.3
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47828,0.90706,23.655,0.33236,0.12304,0.54376,0.37301,15.243,0.22788,0.3622,0.66433,0.06565,0.83266,0.7103,True,0.837,180.2
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,4.5,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42572,0.92201,22.892,0.38694,0.12585,0.66779,0.32031,8.313,0.13149,0.3259,1.0,0.07168,0.73218,0.68967,True,0.837,180.1
