image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,floor_only,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48384,0.96994,27.864,0.35548,0.06792,0.44852,0.66043,17.23,0.25142,0.24734,0.28932,0.04044,0.87021,0.87143,False,0.837,392.9
task_attr_mod_color_136767,floor_only,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44747,0.95049,28.846,0.39721,0.07327,0.62205,0.3103,8.011,0.15384,0.38639,0.34364,0.03612,0.81948,0.81646,True,0.837,377.4
task_attr_mod_color_184837,floor_only,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39432,0.98208,27.251,0.46122,0.04085,0.4945,0.56579,17.081,0.2612,0.29287,0.32567,0.0434,0.95525,0.91901,False,0.837,377.7
task_attr_mod_color_32648,floor_only,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55659,0.93443,31.595,0.17391,0.13671,0.62417,0.39138,10.719,0.0702,0.38946,0.27867,0.02632,0.74634,0.72627,True,0.837,378.4
task_attr_mod_color_6205,floor_only,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51988,0.96503,28.88,0.35293,0.08462,0.65536,0.27656,7.704,0.43897,0.43786,0.35754,0.03597,0.8491,0.82242,True,0.837,378.5
task_env_weather_112463,floor_only,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5809,0.97348,28.566,0.38096,0.04709,0.84709,0.3634,10.327,0.16999,0.36332,0.31957,0.0373,0.56124,0.57842,True,0.837,378.3
task_env_weather_246440,floor_only,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31453,0.97781,27.466,0.4793,0.02269,0.46442,0.42081,15.816,0.13765,0.24681,0.35332,0.04233,0.92907,0.86835,False,0.837,378.6
task_env_weather_63722,floor_only,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4759,0.97301,28.448,0.39496,0.04487,0.50882,0.60256,15.611,0.22144,0.29029,0.28401,0.03781,0.87143,0.83184,True,0.837,379.2
task_obj_add_40931,floor_only,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45358,0.97367,28.295,0.46122,0.05579,0.52212,0.41509,15.951,0.2666,0.34678,0.27982,0.03848,0.88163,0.77831,True,0.837,379.0
task_obj_remove_380621,floor_only,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5191,0.97277,28.942,0.39756,0.082,0.70469,0.26307,8.241,0.07354,0.37371,0.28114,0.03572,0.73536,0.70896,True,0.837,379.0
task_obj_swap_joint_mask_276754,floor_only,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43455,0.90911,28.063,0.372,0.05423,0.65195,0.60769,14.119,0.02243,0.37878,0.35914,0.03952,0.83666,0.88199,False,0.837,379.0
task_obj_swap_joint_mask_533428,floor_only,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42106,0.97739,27.855,0.4377,0.03316,0.54789,0.38592,12.947,0.10948,0.24149,0.309,0.04048,0.71223,0.60782,True,0.837,379.3
task_obj_swap_rand_mask_417469,floor_only,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.06,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46656,0.95478,28.555,0.37406,0.05246,0.7712,0.26148,9.749,0.07201,0.49256,0.36637,0.03735,0.40648,0.50734,True,0.837,379.1
