step,alpha,loss,q_mean,q_max,q_frac_at_hi,q_frac_at_lo,grad_frac_negative,grad_abs_mean,grad_frac_zero,dists,rms
0,0.1,0.68538165,1.0,1.0,0.0,1.0,0.48349,4.4157213778817095e-06,0.00068,1e-05,0.00026
1,0.098,0.69054925,2.934,5.0,0.0,0.51651,0.35796,2.4968744583020452e-06,0.00068,0.000488,0.000873
2,0.096,0.6817838,3.5238,9.0,0.0,0.64204,0.43881,2.006785052799387e-06,0.0,0.001029,0.001073
3,0.094,0.68461084,4.7322,13.0,0.0,0.47241,0.35337,1.8925536551250843e-06,0.00068,0.00163,0.001365
4,0.092,0.67570001,5.1684,17.0,0.0,0.59427,0.43614,2.0019731437059818e-06,0.00068,0.001861,0.001426
5,0.09,0.6806792,6.2796,21.0,0.0,0.45321,0.36281,1.8676496438274626e-06,0.0,0.002504,0.001616
6,0.088,0.67386162,6.7359,25.0,0.0,0.56391,0.44263,2.0835193481616443e-06,0.00068,0.002697,0.001658
7,0.086,0.67870653,7.8115,29.0,0.0,0.43404,0.36876,1.625176309971721e-06,0.0,0.003108,0.001799
8,0.084,0.67199969,8.2367,33.0,0.0,0.53811,0.44137,1.6926554735618993e-06,0.00068,0.003578,0.001827
9,0.082,0.67638052,9.2576,37.0,0.0,0.42761,0.3762,1.7588776017873897e-06,0.0,0.003554,0.001954
10,0.08,0.67068696,9.7119,41.0,0.0,0.52259,0.44166,1.6325733440680779e-06,0.00068,0.003798,0.001983
11,0.078,0.67474234,10.696,45.0,0.0,0.42097,0.38193,1.6201333892240655e-06,0.0,0.004215,0.002097
12,0.076,0.66860783,11.1807,49.0,0.0,0.5149,0.44619,1.6468513877043733e-06,0.00068,0.00418,0.002121
13,0.074,0.67316633,12.1817,53.0,0.0,0.41378,0.37848,1.4485694919130765e-06,0.00068,0.004227,0.002234
14,0.072,0.66733313,12.644,57.0,0.0,0.51472,0.4455,1.5796781553945038e-06,0.00068,0.004449,0.00226
15,0.07,0.67201447,13.6536,61.0,0.0,0.41322,0.38479,1.837199761212105e-06,0.00068,0.00433,0.002367
16,0.068,0.66657782,14.1627,65.0,0.0,0.50743,0.45097,1.97162876247603e-06,0.00068,0.004926,0.002393
17,0.066,0.67142147,15.1933,69.0,0.0,0.40758,0.39116,1.5215063058349187e-06,0.00068,0.004781,0.002499
18,0.064,0.66532117,15.7217,73.0,0.0,0.49882,0.44896,1.5810137483640574e-06,0.00068,0.005161,0.002525
19,0.062,0.66991514,16.7153,77.0,0.0,0.40436,0.39542,1.6712954220565734e-06,0.00068,0.00506,0.002627
20,0.06,0.66437697,17.2607,81.0,0.0,0.49171,0.45169,1.7948690356206498e-06,0.00068,0.005212,0.002656
21,0.058,0.66912538,18.2505,85.0,0.0,0.39965,0.39814,1.4855598919893964e-06,0.0,0.005382,0.002762
22,0.056,0.66342187,18.7745,89.0,0.0,0.47861,0.4547,1.7158225773528102e-06,0.00068,0.005592,0.002794
23,0.054,0.6677109,19.7445,93.0,0.0,0.39254,0.40031,1.5930024801491527e-06,0.00068,0.00559,0.002896
24,0.052,0.66281468,20.2844,97.0,0.0,0.47859,0.45697,2.010524212892051e-06,0.0,0.0055,0.002929
25,0.05,0.66746002,21.2327,101.0,0.0,0.3771,0.40524,1.695078935881611e-06,0.00068,0.005898,0.003031
26,0.048,0.66236365,21.7501,105.0,0.0,0.4695,0.4585,1.708128365862649e-06,0.00068,0.00586,0.003073
27,0.046,0.66609174,22.7295,109.0,0.0,0.3846,0.40671,1.7792657445170335e-06,0.00068,0.005445,0.003174
28,0.044,0.66076076,23.2865,113.0,0.0,0.467,0.45656,1.918657062560669e-06,0.00068,0.005849,0.003219
29,0.042,0.66533005,24.2509,117.0,0.0,0.38512,0.41357,1.8741600342764286e-06,0.00068,0.005697,0.003318
30,0.04,0.65944338,24.8605,121.0,0.0,0.46335,0.45647,1.7131396816694178e-06,0.00068,0.005765,0.003368
31,0.038,0.66394174,25.826,125.0,0.0,0.38689,0.4135,1.6907849840208655e-06,0.00068,0.005472,0.003472
32,0.036,0.65861678,26.442,129.0,0.0,0.46211,0.45979,1.876421947599738e-06,0.00068,0.005864,0.003531
33,0.034,0.6632688,27.4213,133.0,0.0,0.38249,0.41927,1.6842016066220822e-06,0.00068,0.005726,0.003633
34,0.032,0.65771955,28.0408,137.0,0.0,0.45135,0.46199,1.8780114032779238e-06,0.0,0.006214,0.003696
35,0.03,0.66311842,28.957,141.0,0.0,0.36103,0.41836,2.0086224594706437e-06,0.0,0.005847,0.003797
36,0.028,0.65728658,29.4993,145.0,0.0,0.43473,0.46021,1.9331580460857367e-06,0.00068,0.006495,0.003866
37,0.026,0.66197443,30.3871,149.0,0.0,0.36099,0.42092,1.8306818674318492e-06,0.00068,0.005912,0.003971
38,0.024,0.65696228,30.9511,153.0,0.0,0.43633,0.46488,1.8952621303469641e-06,0.00068,0.006246,0.004048
39,0.022,0.66075641,31.8852,157.0,0.0,0.3655,0.42423,1.934827878358192e-06,0.00068,0.00612,0.004162
40,0.02,0.65561152,32.4897,161.0,0.0,0.43531,0.46937,2.0177044461888727e-06,0.00068,0.006824,0.004255
41,0.018,0.66035306,33.4467,165.0,0.0,0.36079,0.42746,2.0162906366749667e-06,0.00068,0.006015,0.004376
42,0.016,0.65509963,34.0581,169.0,0.0,0.43115,0.46785,2.2217943751456914e-06,0.0,0.007317,0.004479
43,0.014,0.6593886,34.9588,173.0,0.0,0.34927,0.4296,2.0377124201331753e-06,0.00068,0.006324,0.004611
44,0.012,0.65450644,35.535,177.0,0.0,0.42346,0.46932,2.0249476619937923e-06,0.00068,0.007823,0.004739
45,0.01,0.65869594,36.4602,181.0,0.0,0.35574,0.43613,2.2929004899197025e-06,0.0,0.007611,0.004899
46,0.008,0.65402108,37.0531,185.0,0.0,0.40289,0.47104,2.2493009055324364e-06,0.00068,0.008947,0.005063
47,0.006,0.65905833,37.9195,189.0,0.0,0.34767,0.43775,2.305887164766318e-06,0.0,0.008187,0.005263
48,0.004,0.65298814,38.4943,193.0,0.0,0.39487,0.47635,2.9830298444721848e-06,0.0,0.008824,0.005496
49,0.002,0.65974951,39.345,197.0,0.0,0.32481,0.44727,2.4796454454190098e-06,0.00068,0.008993,0.005838
