kind,a,b,lpips,dists
pair,task_attr_mod_color_11699,task_attr_mod_color_136767,0.69994,0.41027
pair,task_attr_mod_color_11699,task_attr_mod_color_184837,0.73985,0.36988
pair,task_attr_mod_color_11699,task_attr_mod_color_32648,0.88815,0.51566
pair,task_attr_mod_color_11699,task_attr_mod_color_6205,0.70552,0.35518
pair,task_attr_mod_color_11699,task_env_weather_112463,0.90861,0.39628
pair,task_attr_mod_color_11699,task_obj_remove_380621,0.77011,0.45278
pair,task_attr_mod_color_11699,task_obj_swap_joint_mask_276754,0.78507,0.54573
pair,task_attr_mod_color_11699,task_obj_swap_joint_mask_533428,0.74274,0.38527
pair,task_attr_mod_color_11699,task_obj_swap_rand_mask_417469,0.76294,0.40123
pair,task_attr_mod_color_136767,task_attr_mod_color_184837,0.72366,0.38405
pair,task_attr_mod_color_136767,task_attr_mod_color_32648,0.84792,0.48981
pair,task_attr_mod_color_136767,task_attr_mod_color_6205,0.70304,0.35586
pair,task_attr_mod_color_136767,task_env_weather_112463,0.9226,0.38026
pair,task_attr_mod_color_136767,task_obj_remove_380621,0.70929,0.48107
pair,task_attr_mod_color_136767,task_obj_swap_joint_mask_276754,0.73499,0.58067
pair,task_attr_mod_color_136767,task_obj_swap_joint_mask_533428,0.68034,0.41632
pair,task_attr_mod_color_136767,task_obj_swap_rand_mask_417469,0.72373,0.36713
pair,task_attr_mod_color_184837,task_attr_mod_color_32648,0.87054,0.53731
pair,task_attr_mod_color_184837,task_attr_mod_color_6205,0.76191,0.38419
pair,task_attr_mod_color_184837,task_env_weather_112463,0.87722,0.38255
pair,task_attr_mod_color_184837,task_obj_remove_380621,0.78924,0.49541
pair,task_attr_mod_color_184837,task_obj_swap_joint_mask_276754,0.86914,0.60127
pair,task_attr_mod_color_184837,task_obj_swap_joint_mask_533428,0.74277,0.37937
pair,task_attr_mod_color_184837,task_obj_swap_rand_mask_417469,0.78033,0.38697
pair,task_attr_mod_color_32648,task_attr_mod_color_6205,0.8066,0.51249
pair,task_attr_mod_color_32648,task_env_weather_112463,0.96652,0.49607
pair,task_attr_mod_color_32648,task_obj_remove_380621,0.96246,0.50813
pair,task_attr_mod_color_32648,task_obj_swap_joint_mask_276754,0.94137,0.53077
pair,task_attr_mod_color_32648,task_obj_swap_joint_mask_533428,0.85647,0.52424
pair,task_attr_mod_color_32648,task_obj_swap_rand_mask_417469,0.96994,0.53251
pair,task_attr_mod_color_6205,task_env_weather_112463,0.94387,0.40997
pair,task_attr_mod_color_6205,task_obj_remove_380621,0.75733,0.4954
pair,task_attr_mod_color_6205,task_obj_swap_joint_mask_276754,0.77182,0.60075
pair,task_attr_mod_color_6205,task_obj_swap_joint_mask_533428,0.70928,0.36274
pair,task_attr_mod_color_6205,task_obj_swap_rand_mask_417469,0.77218,0.36558
pair,task_env_weather_112463,task_obj_remove_380621,0.95674,0.46246
pair,task_env_weather_112463,task_obj_swap_joint_mask_276754,1.00367,0.56776
pair,task_env_weather_112463,task_obj_swap_joint_mask_533428,0.92357,0.39963
pair,task_env_weather_112463,task_obj_swap_rand_mask_417469,0.88689,0.4037
pair,task_obj_remove_380621,task_obj_swap_joint_mask_276754,0.69974,0.49524
pair,task_obj_remove_380621,task_obj_swap_joint_mask_533428,0.76618,0.44836
pair,task_obj_remove_380621,task_obj_swap_rand_mask_417469,0.72292,0.46842
pair,task_obj_swap_joint_mask_276754,task_obj_swap_joint_mask_533428,0.82511,0.58275
pair,task_obj_swap_joint_mask_276754,task_obj_swap_rand_mask_417469,0.73883,0.59608
pair,task_obj_swap_joint_mask_533428,task_obj_swap_rand_mask_417469,0.76798,0.36376
noise,task_attr_mod_color_11699,gaussian_noise,0.87854,0.61584
noise,task_attr_mod_color_136767,gaussian_noise,0.86663,0.69056
noise,task_attr_mod_color_184837,gaussian_noise,0.88063,0.65329
noise,task_attr_mod_color_32648,gaussian_noise,1.07592,0.65848
noise,task_attr_mod_color_6205,gaussian_noise,0.91922,0.68668
noise,task_env_weather_112463,gaussian_noise,1.00193,0.63735
noise,task_obj_remove_380621,gaussian_noise,0.83757,0.55687
noise,task_obj_swap_joint_mask_276754,gaussian_noise,0.9211,0.55735
noise,task_obj_swap_joint_mask_533428,gaussian_noise,0.88997,0.63929
noise,task_obj_swap_rand_mask_417469,gaussian_noise,0.8536,0.68595
