image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51991,0.9399,25.194,0.28061,0.10505,0.52327,0.59116,12.433,0.17741,0.26653,0.59284,0.05499,0.80092,0.80257,True,0.837,401.9
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47979,0.92548,26.428,0.31574,0.13161,0.62857,0.27663,7.407,0.03052,0.38966,0.47645,0.04771,0.73015,0.84229,False,0.837,390.3
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49568,0.89762,22.128,0.29411,0.17532,0.78397,0.13659,6.214,0.03634,0.67305,0.5819,0.07827,0.70661,0.63275,True,0.837,393.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5673,0.93399,31.263,0.15453,0.14363,0.62394,0.39356,10.888,0.07865,0.37989,0.41532,0.02734,0.76952,0.74817,True,0.837,393.4
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53977,0.93882,27.333,0.29929,0.14086,0.75846,0.1793,6.463,0.33938,0.59981,0.5201,0.04299,0.53239,0.54268,True,0.837,393.2
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57996,0.9451,27.568,0.31794,0.07293,0.84444,0.32003,10.174,0.16029,0.36436,0.38507,0.04184,0.5531,0.56939,True,0.837,393.8
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43361,0.90694,21.213,0.31912,0.10023,0.57872,0.31278,14.733,0.12948,0.32813,0.71073,0.08697,0.91253,0.85232,False,0.837,393.3
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51422,0.93666,24.699,0.28703,0.10005,0.67151,0.36713,12.748,0.04381,0.45742,0.51916,0.05822,0.61358,0.62104,True,0.837,394.9
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50631,0.92625,25.32,0.35533,0.10563,0.6461,0.38483,13.607,0.26003,0.44535,0.54332,0.0542,0.82136,0.66657,True,0.837,393.9
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54383,0.94605,26.308,0.3397,0.11623,0.727,0.24589,8.089,0.04721,0.38547,0.61017,0.04837,0.73031,0.71593,True,0.837,393.5
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,3.1416,False,0.0,0.12,inf,0,32,8,0.6,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48283,0.86612,25.499,0.26934,0.12441,0.66932,0.49773,12.21,0.01259,0.41745,0.49325,0.05309,0.82573,0.87335,False,0.837,393.8
