image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield_y,instruct-pix2pix,turn the color of potted plant to pink,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.6895,0.71148,17.664,0.15043,0.19036,0.67441,0.37772,8.537,0.07368,0.37209,0.81215,0.13086,0.73044,0.70166,True,0.837,388.4
task_attr_mod_color_136767,dct_shield_y,instruct-pix2pix,turn the color of astronaut to pink,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.64484,0.64397,18.014,0.16106,0.21202,0.62473,0.24802,6.735,0.02517,0.43772,0.74902,0.12569,0.74707,0.83278,True,0.837,379.0
task_attr_mod_color_184837,dct_shield_y,instruct-pix2pix,turn the color of frame to pink,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.63027,0.83996,17.514,0.22193,0.16795,0.78196,0.13664,6.202,0.03522,0.66752,0.79818,0.13313,0.69606,0.63451,True,0.837,378.8
task_attr_mod_color_32648,dct_shield_y,instruct-pix2pix,turn the color of potion bottle to orange,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.70674,0.44543,18.988,0.04,0.32716,0.63602,0.42213,10.044,0.06708,0.39021,0.87791,0.11235,0.81466,0.69484,True,0.837,378.5
task_attr_mod_color_6205,dct_shield_y,instruct-pix2pix,turn the color of toolbox to red,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.70326,0.6974,18.114,0.14062,0.22386,0.72938,0.18771,6.513,0.65216,0.7833,0.80784,0.12424,0.55124,0.47511,True,0.837,378.4
task_env_weather_112463,dct_shield_y,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.74331,0.74873,17.954,0.1589,0.17243,0.90191,0.27716,10.422,0.16424,0.40369,0.75024,0.12656,0.55438,0.58149,True,0.837,378.1
task_obj_remove_380621,dct_shield_y,instruct-pix2pix,Remove iceberg,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.69976,0.73302,17.852,0.15474,0.22622,0.74602,0.22873,7.793,0.04026,0.39406,0.8043,0.12805,0.7419,0.72109,True,0.837,377.9
task_obj_swap_joint_mask_276754,dct_shield_y,instruct-pix2pix,Replace the satellite dish with rocket,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.57006,0.66331,17.985,0.12254,0.18813,0.51769,0.53206,10.964,0.03897,0.36165,0.86232,0.12611,0.82977,0.83199,True,0.837,377.6
task_obj_swap_joint_mask_533428,dct_shield_y,instruct-pix2pix,Replace the samurai armor with red jacket,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.62488,0.78975,17.681,0.1956,0.18431,0.62597,0.24189,9.314,0.05959,0.27136,0.79177,0.1306,0.5437,0.58516,True,0.837,378.0
task_obj_swap_rand_mask_417469,dct_shield_y,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.65,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,encoder_target,0.0,none,0.0,0.5,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.66005,0.67951,18.343,0.14789,0.19189,0.7556,0.17869,8.616,0.05063,0.40589,0.78374,0.12101,0.29648,0.49686,True,0.837,377.6
