image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.05459,0.98227,31.557,0.65881,0.02213,0.08468,0.94285,25.114,0.50695,0.03446,0.3756,0.02643,36.4
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09107,0.95431,26.726,0.52422,0.04263,0.17455,0.80951,19.675,0.35081,0.13002,0.45575,0.0461,36.7
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06141,0.98058,34.768,0.70991,0.04604,0.08998,0.93246,26.276,0.58923,0.07294,0.29767,0.01826,36.9
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.07607,0.98215,35.304,0.70732,0.02096,0.12173,0.93414,28.956,0.47435,0.0355,0.26569,0.01717,37.0
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.12887,0.94411,24.403,0.51538,0.04661,0.29514,0.68078,18.746,0.23356,0.13562,0.70281,0.06023,37.0
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11309,0.96092,30.204,0.55521,0.05107,0.20824,0.81244,22.596,0.26309,0.08627,0.42528,0.03089,37.0
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.20238,0.9575,29.891,0.56954,0.0464,0.23403,0.81014,21.811,0.35146,0.11313,0.36034,0.03202,37.1
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.08607,0.97331,30.189,0.69219,0.03086,0.13054,0.90703,24.319,0.51669,0.0416,0.47065,0.03094,37.1
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.07721,0.98361,36.952,0.75587,0.031,0.11145,0.93937,29.954,0.50635,0.04398,0.22686,0.0142,37.1
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11555,0.95696,29.278,0.56203,0.03949,0.16337,0.85163,23.27,0.3694,0.05535,0.45267,0.03436,37.0
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.27358,0.92279,29.727,0.43098,0.06272,0.17587,0.8092,21.284,0.26515,0.20291,0.32587,0.03263,37.0
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.16107,0.97367,36.192,0.63555,0.0445,0.25033,0.81456,19.452,0.36089,0.1796,0.21621,0.0155,37.1
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.11292,0.96662,31.789,0.60896,0.02903,0.14917,0.85603,23.949,0.4142,0.05982,0.47142,0.02574,37.0
