image,condition,amp,block,hop,r_min,field_grid,seed,dists,lpips,psnr,edit_lpips,edit_clip_sim,edit_siglip_sim,fold_frac,grid,n_bands
task_env_weather_112463,disp_k1,4.0,32,8,0.12,16,0,0.047753,0.148661,25.714,0.24318,0.96102,0.97043,,,1
task_env_weather_112463,disp_k1,8.0,32,8,0.12,16,0,0.101639,0.26174,24.235,0.33876,0.94604,0.94549,,,1
task_env_weather_112463,disp_k4,4.0,32,8,0.12,16,0,0.069218,0.181523,26.077,0.25286,0.96806,0.95877,,,4
task_env_weather_112463,disp_k4,8.0,32,8,0.12,16,0,0.113528,0.274628,24.344,0.35944,0.92567,0.90226,,,4
task_env_weather_112463,disp_kfull,1.6,32,8,0.12,16,0,0.045075,0.078409,32.792,0.15592,0.97905,0.96767,,,
task_env_weather_112463,disp_kfull,3.14159,32,8,0.12,16,0,0.115205,0.242166,26.525,0.33578,0.90955,0.89133,,,
task_env_weather_112463,warp_smooth,4.0,32,8,0.12,16,0,0.087042,0.211412,21.011,0.2727,0.9441,0.95469,0.00745,16,
task_env_weather_112463,warp_smooth,8.0,32,8,0.12,16,0,0.170883,0.385223,17.927,0.41822,0.87273,0.90246,0.01668,16,
task_obj_remove_380621,disp_k1,4.0,32,8,0.12,16,0,0.111857,0.189794,21.648,0.22035,0.98898,0.98402,,,1
task_obj_remove_380621,disp_k1,8.0,32,8,0.12,16,0,0.168751,0.279575,21.811,0.29541,0.96719,0.93916,,,1
task_obj_remove_380621,disp_k4,4.0,32,8,0.12,16,0,0.126202,0.241544,22.059,0.25606,0.97942,0.97301,,,4
task_obj_remove_380621,disp_k4,8.0,32,8,0.12,16,0,0.190294,0.31244,21.889,0.31731,0.96302,0.93722,,,4
task_obj_remove_380621,disp_kfull,1.6,32,8,0.12,16,0,0.089578,0.100206,30.286,0.15073,0.995,0.99051,,,
task_obj_remove_380621,disp_kfull,3.14159,32,8,0.12,16,0,0.201163,0.290838,23.854,0.35245,0.89461,0.84223,,,
task_obj_remove_380621,warp_smooth,4.0,32,8,0.12,16,0,0.139328,0.235279,19.18,0.27951,0.96164,0.97086,0.00745,16,
task_obj_remove_380621,warp_smooth,8.0,32,8,0.12,16,0,0.227152,0.39269,17.528,0.41888,0.89438,0.8866,0.01668,16,
task_obj_swap_joint_mask_276754,disp_k1,4.0,32,8,0.12,16,0,0.117011,0.312164,20.872,0.04158,0.99378,0.99276,,,1
task_obj_swap_joint_mask_276754,disp_k1,8.0,32,8,0.12,16,0,0.190599,0.391354,21.003,0.07263,0.98072,0.96602,,,1
task_obj_swap_joint_mask_276754,disp_k4,4.0,32,8,0.12,16,0,0.133464,0.353749,21.087,0.05198,0.99224,0.98346,,,4
task_obj_swap_joint_mask_276754,disp_k4,8.0,32,8,0.12,16,0,0.19866,0.41136,21.14,0.09371,0.98848,0.96472,,,4
task_obj_swap_joint_mask_276754,disp_kfull,1.6,32,8,0.12,16,0,0.077863,0.131767,29.357,0.05599,0.97149,0.96936,,,
task_obj_swap_joint_mask_276754,disp_kfull,3.14159,32,8,0.12,16,0,0.200695,0.362287,22.896,0.068,0.96872,0.9657,,,
task_obj_swap_joint_mask_276754,warp_smooth,4.0,32,8,0.12,16,0,0.125231,0.28576,19.068,0.12312,0.94956,0.92982,0.00745,16,
task_obj_swap_joint_mask_276754,warp_smooth,8.0,32,8,0.12,16,0,0.218403,0.441069,18.04,0.09826,0.97449,0.96162,0.01668,16,
task_obj_swap_joint_mask_533428,disp_k1,4.0,32,8,0.12,16,0,0.090221,0.218724,19.611,0.30891,0.93071,0.94249,,,1
task_obj_swap_joint_mask_533428,disp_k1,8.0,32,8,0.12,16,0,0.183216,0.344164,19.121,0.35577,0.86839,0.86569,,,1
task_obj_swap_joint_mask_533428,disp_k4,4.0,32,8,0.12,16,0,0.122048,0.274547,19.968,0.38175,0.83241,0.91216,,,4
task_obj_swap_joint_mask_533428,disp_k4,8.0,32,8,0.12,16,0,0.193466,0.380856,19.201,0.41391,0.93316,0.92527,,,4
task_obj_swap_joint_mask_533428,disp_kfull,1.6,32,8,0.12,16,0,0.078711,0.114696,27.357,0.25873,0.97574,0.95559,,,
task_obj_swap_joint_mask_533428,disp_kfull,3.14159,32,8,0.12,16,0,0.200139,0.346719,20.966,0.40679,0.92213,0.92337,,,
task_obj_swap_joint_mask_533428,warp_smooth,4.0,32,8,0.12,16,0,0.100735,0.233134,16.508,0.30092,0.8716,0.89183,0.00745,16,
task_obj_swap_joint_mask_533428,warp_smooth,8.0,32,8,0.12,16,0,0.178879,0.401606,14.415,0.46133,0.80201,0.88825,0.01668,16,
task_obj_swap_rand_mask_417469,disp_k1,4.0,32,8,0.12,16,0,0.058478,0.180806,20.597,0.20244,0.97982,0.96362,,,1
task_obj_swap_rand_mask_417469,disp_k1,8.0,32,8,0.12,16,0,0.127314,0.2949,20.661,0.30636,0.9568,0.92622,,,1
