image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,disp_k1,instruct-pix2pix,turn the color of potted plant to pink,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26182,0.70628,19.356,0.18111,0.10758,0.26474,0.66996,18.357,0.16031,0.10627,0.83484,0.10769,0.97352,0.95207,False,0.837,58.2
task_attr_mod_color_136767,disp_k1,instruct-pix2pix,turn the color of astronaut to pink,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2407,0.74508,20.467,0.20544,0.14097,0.25011,0.70424,19.941,0.18579,0.14133,0.82968,0.09477,0.98413,0.98594,False,0.837,48.3
task_attr_mod_color_184837,disp_k1,instruct-pix2pix,turn the color of frame to pink,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29903,0.57328,17.361,0.15164,0.1671,0.29355,0.53107,16.935,0.13251,0.15169,0.79301,0.1355,0.97593,0.96872,False,0.837,48.5
task_attr_mod_color_32648,disp_k1,instruct-pix2pix,turn the color of potion bottle to orange,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.17407,0.94514,29.284,0.37488,0.10892,0.21197,0.89032,22.358,0.5169,0.16115,0.93007,0.03434,0.97767,0.97353,False,0.837,48.5
task_attr_mod_color_6205,disp_k1,instruct-pix2pix,turn the color of toolbox to red,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.22596,0.80207,23.502,0.28142,0.13085,0.23363,0.76717,21.503,0.27068,0.13619,0.84288,0.06682,0.98787,0.95006,False,0.837,48.6
task_env_weather_112463,disp_k1,instruct-pix2pix,transform the setting to spring with blooming flowers,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23292,0.7857,24.385,0.31315,0.08509,0.32138,0.6108,18.642,0.19082,0.11915,0.73572,0.06036,0.95563,0.95459,False,0.837,48.8
task_obj_remove_380621,disp_k1,instruct-pix2pix,Remove iceberg,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25773,0.76377,21.751,0.32936,0.15144,0.27278,0.71261,20.339,0.26655,0.12139,0.98824,0.08174,0.97304,0.95958,False,0.837,48.6
task_obj_swap_joint_mask_276754,disp_k1,instruct-pix2pix,Replace the satellite dish with rocket,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37667,0.52124,20.916,0.09464,0.17588,0.0576,0.94869,26.819,0.3903,0.07264,0.89535,0.08999,0.98492,0.97339,False,0.837,48.7
task_obj_swap_joint_mask_533428,disp_k1,instruct-pix2pix,Replace the samurai armor with red jacket,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31192,0.64782,19.083,0.17193,0.15386,0.34015,0.61765,16.498,0.17997,0.13549,0.83246,0.11113,0.89986,0.90109,False,0.837,48.7
task_obj_swap_rand_mask_417469,disp_k1,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,6.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26406,0.70531,20.636,0.21409,0.10173,0.27635,0.64708,19.879,0.19854,0.10489,0.95905,0.09293,0.97248,0.9413,False,0.837,48.8
