step,loss,step_size,delta_linf01,delta_l2
0,518.1441253662109,1.0,0.06852295249700546,0.9998931288719177
1,515.1793334960937,1.0,0.06844573467969894,1.4775627851486206
2,512.6580139160156,1.0,0.06843256205320358,1.9231361150741577
3,511.4285186767578,1.0,0.06821336597204208,2.446349620819092
4,500.1986511230469,1.0,0.08343309164047241,2.8716976642608643
5,499.3434204101562,1.0,0.08384925127029419,3.215233325958252
6,486.2073516845703,1.0,0.08413499593734741,3.6817405223846436
7,484.36817321777346,1.0,0.13926777243614197,3.85498046875
8,490.44920959472654,1.0,0.13577422499656677,4.247622489929199
9,483.1214111328125,1.0,0.1365598738193512,4.577821731567383
10,480.89403381347654,1.0,0.13773229718208313,4.960912704467773
11,477.7579620361328,1.0,0.13714554905891418,5.208747386932373
12,478.4644775390625,1.0,0.13497135043144226,5.550778865814209
13,469.8883819580078,1.0,0.1354062557220459,5.845506191253662
14,476.12890625,1.0,0.13318637013435364,6.17263650894165
15,473.86570739746094,1.0,0.12785634398460388,6.498528003692627
16,471.0102874755859,1.0,0.12711068987846375,6.7507429122924805
17,465.5717376708984,1.0,0.12802451848983765,7.057478904724121
18,466.3528137207031,1.0,0.12897732853889465,7.3958539962768555
19,459.57313232421876,1.0,0.12773668766021729,7.698821544647217
20,451.22300415039064,1.0,0.12800508737564087,8.058899879455566
21,451.73105773925784,1.0,0.126857191324234,8.180706024169922
22,458.01056213378905,1.0,0.1257157325744629,8.476447105407715
23,454.68108825683595,1.0,0.12573817372322083,8.702811241149902
24,448.645263671875,1.0,0.12334489822387695,9.077908515930176
25,452.1742736816406,1.0,0.12308967113494873,9.184771537780762
26,460.9308319091797,1.0,0.12246060371398926,9.34162425994873
27,449.2301361083984,1.0,0.12205424904823303,9.588391304016113
28,451.75953369140626,1.0,0.12122094631195068,9.842259407043457
29,444.6664978027344,1.0,0.12571316957473755,10.118945121765137
30,445.2511932373047,1.0,0.13128674030303955,10.371230125427246
31,444.27797546386716,1.0,0.13775616884231567,10.613261222839355
32,441.26073303222654,1.0,0.14220786094665527,10.832290649414062
33,446.8267883300781,1.0,0.14744240045547485,11.089810371398926
34,445.0737335205078,1.0,0.15314096212387085,11.294360160827637
35,438.4440216064453,1.0,0.15586459636688232,11.522209167480469
36,437.55921325683596,1.0,0.1620408296585083,11.793604850769043
37,439.3499725341797,1.0,0.16538220643997192,11.927301406860352
38,437.2790557861328,1.0,0.17173385620117188,12.202922821044922
39,436.9049468994141,1.0,0.1750098466873169,12.433025360107422
40,436.275537109375,1.0,0.1776055097579956,12.621718406677246
41,433.50294799804686,1.0,0.1825331449508667,12.842013359069824
42,431.63287963867185,1.0,0.18436378240585327,13.075638771057129
43,432.88385314941405,1.0,0.19505053758621216,13.310378074645996
44,429.3604675292969,1.0,0.19952213764190674,13.509725570678711
45,426.0327606201172,1.0,0.2049316167831421,13.75282096862793
46,430.7404510498047,1.0,0.20864039659500122,13.944138526916504
47,429.77379150390624,1.0,0.2144598364830017,14.143001556396484
48,422.0617370605469,1.0,0.22056084871292114,14.430218696594238
49,424.7327087402344,1.0,0.22772890329360962,14.595381736755371
50,424.3290740966797,1.0,0.23241573572158813,14.88074779510498
51,424.3621490478516,1.0,0.23414403200149536,15.090513229370117
52,428.4865234375,1.0,0.2392156720161438,15.24388313293457
53,423.1987030029297,1.0,0.2392156720161438,15.457293510437012
54,424.75148010253906,1.0,0.2392156720161438,15.645293235778809
55,423.28875122070315,1.0,0.2392156720161438,15.86850643157959
56,420.7918212890625,1.0,0.2392156720161438,15.996342658996582
57,423.9533172607422,1.0,0.2392156720161438,15.998396873474121
58,421.9253692626953,1.0,0.2392156720161438,15.998835563659668
59,417.29689331054686,1.0,0.2392156720161438,15.998819351196289
60,412.09068298339844,1.0,0.2392156720161438,15.99875259399414
61,418.56626586914064,1.0,0.2392156720161438,15.998786926269531
62,416.4004608154297,1.0,0.2392156720161438,15.998780250549316
63,415.1055633544922,1.0,0.2392156720161438,15.998900413513184
64,418.87621154785154,1.0,0.2392156720161438,15.998132705688477
65,416.5022705078125,1.0,0.24016904830932617,15.998908996582031
66,412.2946807861328,1.0,0.2404102087020874,15.998069763183594
67,411.7395874023438,1.0,0.2409544587135315,15.99893856048584
68,413.84380493164065,1.0,0.24126631021499634,15.999003410339355
69,411.5834594726563,1.0,0.2412492036819458,15.999258995056152
70,412.4161102294922,1.0,0.24530953168869019,15.997623443603516
71,415.8905975341797,1.0,0.2392156720161438,15.99863052368164
72,406.4396240234375,1.0,0.24105119705200195,15.99881649017334
73,411.5439880371094,1.0,0.24623405933380127,15.99872875213623
74,417.4821075439453,1.0,0.2413051724433899,15.999503135681152
75,412.12242736816404,1.0,0.24195927381515503,15.999507904052734
76,418.4870941162109,1.0,0.2450340986251831,15.999186515808105
77,411.6205352783203,1.0,0.24070465564727783,15.998637199401855
78,412.0004119873047,1.0,0.24494409561157227,15.998886108398438
79,416.0139587402344,1.0,0.2392156720161438,15.997624397277832
80,409.1161804199219,1.0,0.24510496854782104,15.998933792114258
81,416.9446563720703,1.0,0.24043619632720947,15.999064445495605
82,413.9223937988281,1.0,0.24672430753707886,15.998871803283691
83,413.96014404296875,1.0,0.2396700382232666,15.999553680419922
84,411.35679626464844,1.0,0.24315035343170166,15.998920440673828
85,408.05418395996094,1.0,0.24168556928634644,15.999483108520508
86,404.5696716308594,1.0,0.24331074953079224,15.99882984161377
87,404.40382690429686,1.0,0.23981475830078125,15.998905181884766
88,407.5700988769531,1.0,0.2411763072013855,15.999482154846191
89,411.1564575195313,1.0,0.24173122644424438,15.9985933303833
90,417.46385192871094,1.0,0.24807506799697876,15.998003959655762
91,408.0051635742187,1.0,0.25158822536468506,15.998937606811523
92,407.4596313476562,1.0,0.24898338317871094,15.999443054199219
93,410.2698089599609,1.0,0.24613988399505615,15.999188423156738
94,412.48121337890626,1.0,0.2457447648048401,15.999249458312988
95,409.17579650878906,1.0,0.2468685507774353,15.998108863830566
96,406.75664672851565,1.0,0.2486647367477417,15.998096466064453
97,407.0499633789062,1.0,0.24857282638549805,15.99874496459961
98,403.23333740234375,1.0,0.2511255741119385,15.998011589050293
99,410.6283203125,1.0,0.25492560863494873,15.998797416687012
100,408.62403869628906,1.0,0.25789421796798706,15.999076843261719
101,400.5748016357422,1.0,0.2553030252456665,15.999045372009277
102,398.3831298828125,1.0,0.2512139081954956,15.998832702636719
103,400.28148498535154,1.0,0.24897539615631104,15.999473571777344
104,407.7558227539063,1.0,0.24815267324447632,15.998879432678223
105,408.5896484375,1.0,0.25512927770614624,15.998618125915527
106,410.5522094726563,1.0,0.25359129905700684,15.999051094055176
107,403.99920043945315,1.0,0.25033849477767944,15.999119758605957
108,408.8729583740234,1.0,0.24972546100616455,15.99943733215332
109,406.5656219482422,1.0,0.24816006422042847,15.999274253845215
110,409.7220947265625,1.0,0.24822568893432617,15.999527931213379
111,412.0817504882813,1.0,0.24913305044174194,15.998275756835938
112,414.9980712890625,1.0,0.24924814701080322,15.998668670654297
113,408.6321044921875,1.0,0.25355029106140137,15.99831771850586
114,402.0840576171875,1.0,0.25124651193618774,15.999367713928223
115,405.514404296875,1.0,0.2545175552368164,15.998432159423828
116,409.6283355712891,1.0,0.25640130043029785,15.999006271362305
117,410.4067901611328,1.0,0.2620657682418823,15.998977661132812
118,401.62839660644534,1.0,0.2632327079772949,15.999495506286621
119,405.2294036865234,1.0,0.2647823095321655,15.999512672424316
120,402.91863708496095,1.0,0.2643919289112091,15.998245239257812
121,406.1324005126953,1.0,0.2658810019493103,15.998926162719727
122,398.86009216308594,1.0,0.2682661712169647,15.99894905090332
123,401.9651733398438,1.0,0.2693839371204376,15.999283790588379
124,407.2891815185547,1.0,0.2706252336502075,15.999213218688965
125,403.59931030273435,1.0,0.27280697226524353,15.99899673461914
126,405.8061065673828,1.0,0.27712559700012207,15.998847007751465
127,400.7830383300781,1.0,0.27678585052490234,15.998970031738281
128,406.20172424316405,1.0,0.28244438767433167,15.998645782470703
129,397.13583984375,1.0,0.28649982810020447,15.998968124389648
130,399.6169860839844,1.0,0.28680235147476196,15.998435974121094
131,403.79185485839844,1.0,0.2862327992916107,15.999366760253906
132,399.6728271484375,1.0,0.28604432940483093,15.999195098876953
133,397.62742919921874,1.0,0.284414142370224,15.999216079711914
134,403.0206268310547,1.0,0.2864234447479248,15.99902057647705
135,408.5595336914063,1.0,0.2883102297782898,15.999274253845215
136,403.1187347412109,1.0,0.28641632199287415,15.999112129211426
137,401.5933349609375,1.0,0.2868538796901703,15.998291015625
138,408.35768432617186,1.0,0.28933295607566833,15.999042510986328
139,406.16925659179685,1.0,0.29195743799209595,15.99843978881836
140,400.2686828613281,1.0,0.28752031922340393,15.998717308044434
141,401.9735046386719,1.0,0.29347121715545654,15.998504638671875
142,398.4044128417969,1.0,0.2917417585849762,15.999115943908691
143,403.1073333740234,1.0,0.2945171296596527,15.999061584472656
144,404.87778625488284,1.0,0.2966385781764984,15.999102592468262
145,399.45729370117186,1.0,0.29796603322029114,15.999032974243164
146,395.6701416015625,1.0,0.2986118197441101,15.999030113220215
147,392.44911499023436,1.0,0.30065280199050903,15.999436378479004
148,399.6114044189453,1.0,0.29969120025634766,15.99914836883545
149,395.7658660888672,1.0,0.29947370290756226,15.999334335327148
150,403.45445251464844,1.0,0.29643118381500244,15.999373435974121
151,404.4328979492187,1.0,0.2979751527309418,15.998022079467773
152,399.7875518798828,1.0,0.2965031564235687,15.998926162719727
153,402.18369140625,1.0,0.2988838851451874,15.998411178588867
154,402.59850158691404,1.0,0.29957324266433716,15.999382019042969
155,400.69060668945315,1.0,0.30079489946365356,15.999178886413574
156,395.60589599609375,1.0,0.3036126494407654,15.999130249023438
157,401.61790771484374,1.0,0.3038109838962555,15.99947738647461
158,401.47495727539064,1.0,0.30414628982543945,15.998618125915527
159,400.6681365966797,1.0,0.30121690034866333,15.998991966247559
160,393.6821563720703,1.0,0.3022719919681549,15.999014854431152
161,405.3727081298828,1.0,0.30126336216926575,15.99950885772705
162,394.95216979980466,1.0,0.2974230945110321,15.999164581298828
163,398.76344909667966,1.0,0.2971837818622589,15.998778343200684
164,399.16762390136716,1.0,0.2971001863479614,15.999702453613281
165,399.1340270996094,1.0,0.29627320170402527,15.999770164489746
166,393.44121704101565,1.0,0.29839590191841125,15.998993873596191
167,398.0550170898438,1.0,0.2960723340511322,15.999104499816895
168,398.36045227050784,1.0,0.2969340980052948,15.998948097229004
169,396.2768829345703,1.0,0.29655101895332336,15.999030113220215
170,403.58212890625,1.0,0.2946503162384033,15.99944019317627
171,400.8818878173828,1.0,0.3005002737045288,15.999107360839844
172,406.2807098388672,1.0,0.30305197834968567,15.998987197875977
173,402.0778350830078,1.0,0.3014429807662964,15.99886703491211
174,399.0445953369141,1.0,0.2970813810825348,15.999072074890137
175,393.5478973388672,1.0,0.29429250955581665,15.997638702392578
176,398.7855194091797,1.0,0.29445528984069824,15.999014854431152
177,391.99248657226565,1.0,0.29369956254959106,15.999228477478027
178,400.86179504394534,1.0,0.29396679997444153,15.998624801635742
179,392.5569183349609,1.0,0.29448285698890686,15.998981475830078
180,400.6804992675781,1.0,0.2951532006263733,15.998653411865234
181,402.33607177734376,1.0,0.297335684299469,15.999348640441895
182,397.82362670898436,1.0,0.2969900369644165,15.999001502990723
183,395.37929077148436,1.0,0.2981805205345154,15.999226570129395
