image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45833,0.93575,19.716,0.30153,0.1174,0.58603,0.47489,9.923,0.15804,0.3145,1.0,0.10332,0.76041,0.72969,True,0.837,180.3
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52891,0.86638,18.128,0.20716,0.22018,0.64023,0.25851,7.448,0.02925,0.40174,1.0,0.12405,0.7524,0.82011,True,0.837,170.7
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56669,0.83096,14.12,0.18902,0.24294,0.78448,0.13585,6.175,0.03487,0.67065,1.0,0.1968,0.69918,0.62334,True,0.837,170.7
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53128,0.94676,25.481,0.16152,0.14093,0.44995,0.52886,12.395,0.14859,0.35715,0.9835,0.05321,0.8306,0.72584,True,0.837,170.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48253,0.91659,20.153,0.29946,0.17022,0.63089,0.31852,8.362,0.36511,0.40456,1.0,0.09826,0.74512,0.72608,True,0.837,170.7
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57103,0.92974,21.226,0.28139,0.09025,0.8221,0.34005,10.334,0.19804,0.35813,0.99216,0.08684,0.55671,0.57479,True,0.837,170.7
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54636,0.76721,13.914,0.15539,0.20575,0.63555,0.26854,12.784,0.06071,0.28149,1.0,0.20151,0.74748,0.72194,True,0.837,170.5
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52662,0.929,18.997,0.23704,0.12247,0.65004,0.40794,13.201,0.05705,0.45112,0.89804,0.11223,0.5922,0.62561,True,0.837,170.5
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56911,0.85815,18.353,0.21891,0.19268,0.69408,0.23805,11.872,0.08444,0.37282,1.0,0.12087,0.55036,0.59137,True,0.837,170.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50251,0.9034,19.67,0.32948,0.12793,0.74073,0.25983,7.641,0.05464,0.41202,1.0,0.10387,0.72057,0.70479,True,0.837,170.5
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53425,0.65575,14.721,0.08405,0.27164,0.63463,0.56272,12.973,0.01431,0.37349,1.0,0.18363,0.85584,0.89165,False,0.837,170.0
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,8.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58759,0.83613,16.521,0.17939,0.19886,0.63049,0.23768,9.416,0.0516,0.26855,1.0,0.14926,0.63679,0.59943,True,0.837,170.1
