image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,wm_q_attack,wm_block_frac,wm_topk,wm_eps,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_136767,dct_wm,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.18502,0.92213,34.191,0.69112,0.02426,0.20755,0.83525,24.329,0.45103,0.0722,0.19492,0.01952,147.1
task_attr_mod_color_6205,dct_wm,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.2272,0.91853,33.492,0.67583,0.02469,0.24904,0.85407,21.209,0.5184,0.07667,0.24965,0.02115,147.5
task_env_weather_181583,dct_wm,instruct-pix2pix,change the setting to a stormy day,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.23497,0.92818,33.193,0.66775,0.01768,0.53894,0.74681,15.492,0.42003,0.30057,0.16583,0.02189,147.8
task_obj_add_13726,dct_wm,instruct-pix2pix,Add subscribe button,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.1645,0.91425,32.745,0.68338,0.02105,0.19583,0.82159,25.983,0.33807,0.04718,0.19396,0.02305,148.9
task_obj_add_581286,dct_wm,instruct-pix2pix,Add sauce,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.27596,0.91841,33.258,0.617,0.02225,0.29765,0.84471,23.811,0.46541,0.09835,0.16411,0.02173,149.1
task_obj_remove_257910,dct_wm,instruct-pix2pix,Remove bracelet,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.2243,0.89574,33.36,0.59922,0.03098,0.21219,0.89218,30.264,0.42628,0.07014,0.16258,0.02148,150.1
task_obj_remove_657585,dct_wm,instruct-pix2pix,Remove frisbee,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.34059,0.91419,33.513,0.66305,0.03654,0.441,0.80512,20.339,0.50342,0.18718,0.20303,0.0211,149.1
task_obj_swap_joint_mask_75733,dct_wm,instruct-pix2pix,Replace the snowy landscape with sea,,2.0,False,0.0,0.12,inf,0,32,encoder_target,0.0,none,75,0.5,8,2.0,100,7.5,1.5,20260812,True,0.25414,0.90305,33.871,0.58798,0.02014,0.26373,0.85916,27.937,0.35073,0.08359,0.14774,0.02025,149.0
