image,condition,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
cat_00,add,human,human,0.00511,False,0.00471,26.1,0.0373,0.9991,0.0051,47.5894,0.9986,4.8499,0.7208,0.2095,0.2452,0.247,-0.0018,0.0621,0.0683,-0.0061,,
cat_00,phase,human,human,0.04273,False,1.3,26.3,0.2729,0.9198,0.0427,23.7821,0.9892,5.1171,0.7225,0.5476,0.2452,0.2601,-0.015,0.0621,0.0737,-0.0116,0.05484,0.5538
cat_00,phase_rand,human,human,0.04685,False,1.3,11.1,0.1076,0.9309,0.0469,24.6905,0.9876,5.0342,0.717,0.4016,0.2452,0.2518,-0.0066,0.0621,0.0687,-0.0065,0.0525,0.5538
cat_01,add,human,human,0.00244,False,0.00471,26.3,0.187,0.9983,0.0024,47.3712,0.9969,5.5365,0.7079,0.4253,0.2601,0.257,0.0032,0.0917,0.0933,-0.0016,,
cat_01,phase,human,human,0.03789,False,1.3,26.5,0.1649,0.9685,0.0379,33.2738,0.9909,5.5655,0.7123,0.4588,0.2601,0.2823,-0.0221,0.0917,0.0892,0.0025,0.01726,0.4877
cat_01,phase_rand,human,human,0.03947,False,1.3,11.3,0.0734,0.9711,0.0395,33.6688,0.9921,5.1042,0.7182,0.1103,0.2601,0.2572,0.0029,0.0917,0.0921,-0.0004,0.01652,0.4877
cat_02,add,human,human,0.00602,False,0.00471,26.1,0.0609,0.999,0.006,47.4959,0.9985,4.5022,0.6386,0.311,0.2521,0.2515,0.0006,0.0912,0.0864,0.0048,,
cat_02,phase,human,human,0.03988,False,1.3,26.4,0.3322,0.9553,0.0399,32.0762,0.9967,4.558,0.6635,0.5638,0.2521,0.2616,-0.0095,0.0912,0.0951,-0.0039,0.02228,0.5549
cat_02,phase_rand,human,human,0.04657,False,1.3,11.1,0.0645,0.969,0.0466,33.9322,0.9969,4.308,0.5757,0.1878,0.2521,0.2536,-0.0016,0.0912,0.0933,-0.0021,0.01881,0.5549
cat_03,add,human,human,0.00412,False,0.00471,26.1,0.0236,0.9993,0.0041,47.4679,0.9985,5.1917,0.6771,0.2537,0.2622,0.26,0.0022,0.0853,0.0786,0.0066,,
cat_03,phase,human,human,0.05481,False,1.3,26.4,0.3236,0.9021,0.0548,23.8105,0.9919,5.1362,0.6845,0.5967,0.2622,0.2794,-0.0172,0.0853,0.0838,0.0015,0.06531,0.6238
