image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_nonadd,instruct-pix2pix,turn the color of potted plant to pink,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1743,0.97522,29.518,0.57668,0.05595,0.21117,0.88159,22.384,0.3745,0.09698,0.80482,0.03343,0.96492,0.96307,False,0.837,391.5
task_attr_mod_color_136767,dct_nonadd,instruct-pix2pix,turn the color of astronaut to pink,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.18731,0.96329,29.699,0.54376,0.07856,0.23383,0.82049,24.073,0.35794,0.13963,0.77714,0.03274,0.99014,0.98204,False,0.837,380.4
task_attr_mod_color_184837,dct_nonadd,instruct-pix2pix,turn the color of frame to pink,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.24083,0.94348,25.483,0.46719,0.11785,0.32852,0.6837,18.512,0.2902,0.20677,0.64638,0.05319,0.97543,0.9522,False,0.837,379.9
task_attr_mod_color_32648,dct_nonadd,instruct-pix2pix,turn the color of potion bottle to orange,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23961,0.98327,38.257,0.54073,0.06063,0.17771,0.85665,20.319,0.55735,0.14536,0.61282,0.01222,0.94381,0.92815,False,0.837,382.5
task_attr_mod_color_6205,dct_nonadd,instruct-pix2pix,turn the color of toolbox to red,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15038,0.97176,31.901,0.6453,0.06913,0.28531,0.77036,13.143,0.4642,0.15807,0.81227,0.02541,0.96157,0.93568,False,0.837,380.6
task_env_weather_112463,dct_nonadd,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32956,0.93929,31.072,0.54257,0.05728,0.33984,0.65791,19.178,0.31167,0.16112,0.64314,0.02795,0.90894,0.89104,False,0.837,380.0
task_obj_remove_380621,dct_nonadd,instruct-pix2pix,Remove iceberg,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26385,0.95293,28.311,0.54928,0.07695,0.39512,0.66519,16.625,0.24214,0.21868,0.83444,0.03841,0.93247,0.86028,False,0.837,379.9
task_obj_swap_joint_mask_276754,dct_nonadd,instruct-pix2pix,Replace the satellite dish with rocket,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36602,0.90415,25.561,0.31658,0.09443,0.66745,0.52889,13.946,0.01906,0.40526,0.69329,0.05272,0.82908,0.86669,False,0.837,382.2
task_obj_swap_joint_mask_533428,dct_nonadd,instruct-pix2pix,Replace the samurai armor with red jacket,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33143,0.92305,25.568,0.42937,0.09735,0.50977,0.457,14.875,0.13706,0.26351,0.64907,0.05267,0.89292,0.84121,False,0.837,379.6
task_obj_swap_rand_mask_417469,dct_nonadd,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.6,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2661,0.93895,27.651,0.48515,0.06528,0.36491,0.69957,19.297,0.31142,0.17815,0.76741,0.04144,0.93924,0.89068,False,0.837,380.2
