scope,attack,n,rho_dist_sem,rho_dist_deg,rho_sem_deg
逐種子,（全部）,1440,0.1142,0.251,0.179
逐種子,pg_diffusion,480,0.1508,-0.0588,0.0571
逐種子,pg_encoder,480,-0.2814,-0.0199,0.0574
逐種子,semantic,480,0.201,-0.3496,0.0824
逐格（20 種子平均）,（全部）,72,0.1312,0.2606,0.2358
逐格（20 種子平均）,pg_diffusion,24,0.1487,-0.0765,0.253
逐格（20 種子平均）,pg_encoder,24,-0.2939,-0.0409,0.2591
逐格（20 種子平均）,semantic,24,0.3183,-0.4,0.053
