degrade_tau,n_cells,semantic_fail,degrade_fail,isr_union,isr_rate
0.0,72,7,44,48,0.6667
0.5,72,7,44,48,0.6667
1.0,72,7,39,43,0.5972
2.0,72,7,27,33,0.4583
4.0,72,7,21,27,0.375
