image,condition,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_linf,fid_clip_img,fid_nima,fid_cnniqa,gen_lpips,gen_lpips_full,clip_orig,clip_def,clip_drop,attack_strength,mask_coverage,active_fraction,amp_dev
cat_01,phase,1.3,49.9,0.1304,0.9753,0.0206,34.9408,0.2861,0.9972,4.87,0.6055,0.1859,0.3383,0.2164,0.2124,0.0041,0.398,0.4879,0.4268,0.01331
cat_01,phase_out,1.3,32.5,0.1256,0.9769,0.0215,35.1682,0.2708,0.9974,4.8997,0.6067,0.1587,0.3081,0.2164,0.2147,0.0017,0.398,0.4879,0.2851,0.01319
cat_01,phase_rand,1.3,18.4,0.0625,0.9744,0.0294,34.8921,0.3838,0.9972,4.8214,0.6306,0.0148,0.0881,0.2164,0.2191,-0.0026,0.398,0.4879,0.4268,0.01451
cat_01,add,0.004705882352941176,33.3,0.0584,0.999,0.0019,50.8801,0.0047,0.9987,5.0497,0.6267,0.0797,0.1567,0.2164,0.2204,-0.0039,0.398,0.4879,,
cat_01,add_out,0.004705882352941176,33.2,0.0586,0.999,0.002,50.8615,0.0047,0.9989,5.0497,0.6266,0.1136,0.1898,0.2164,0.2216,-0.0052,0.398,0.4879,,
cat_01,photoguard_c,,6819.4,0.1635,0.9868,0.0177,40.8979,0.2435,0.9952,4.9508,0.6301,0.2535,0.4395,0.2164,0.2036,0.0128,0.398,0.4879,,
cat_01,advpaint,,80.7,0.3792,0.9552,0.0681,33.7262,0.03,0.9539,4.4559,0.621,0.1635,0.4584,0.2164,0.2479,-0.0314,0.398,0.4879,,
cat_01,promptflare,,190.2,0.2046,0.9779,0.037,37.688,0.0235,0.9875,4.7368,0.6223,0.1793,0.404,0.2164,0.2185,-0.002,0.398,0.4879,,
