image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,stop_reason,stopped_at,best_eval,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,disp_k1_opt,instruct-pix2pix,turn the color of potted plant to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2901,103.00928497,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03835,0.97037,27.527,0.54557,0.01992,0.06267,0.95072,25.506,0.47446,0.02796,0.64768,0.04204,0.99378,0.99401,False,0.837,503.0
task_attr_mod_color_136767,disp_k1_opt,instruct-pix2pix,turn the color of astronaut to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2801,130.27624512,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03875,0.97476,28.624,0.60648,0.0178,0.06575,0.95117,27.271,0.51869,0.03117,0.64488,0.03705,0.99767,0.99731,False,0.837,476.2
task_attr_mod_color_184837,disp_k1_opt,instruct-pix2pix,turn the color of frame to pink,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2701,101.0282135,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.05781,0.95017,25.022,0.52655,0.03674,0.09787,0.89606,23.371,0.40995,0.06847,0.64104,0.05609,0.99313,0.99275,False,0.837,460.8
task_attr_mod_color_32648,disp_k1_opt,instruct-pix2pix,turn the color of potion bottle to orange,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2701,163.88870239,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02667,0.99577,40.821,0.76956,0.01435,0.03455,0.98939,39.822,0.78642,0.02326,0.30789,0.0091,0.99776,0.99425,False,0.837,459.9
task_attr_mod_color_6205,disp_k1_opt,instruct-pix2pix,turn the color of toolbox to red,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2801,107.33097839,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03244,0.97763,31.628,0.66347,0.02403,0.04423,0.96816,30.416,0.62624,0.02556,0.59568,0.02622,0.99891,0.99592,False,0.837,476.7
task_env_weather_112463,disp_k1_opt,instruct-pix2pix,transform the setting to spring with blooming flowers,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3201,116.38200378,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.08868,0.93891,29.781,0.59517,0.02463,0.2046,0.81865,22.779,0.3741,0.08132,0.57748,0.03243,0.97768,0.96528,False,0.837,541.4
task_obj_remove_380621,disp_k1_opt,instruct-pix2pix,Remove iceberg,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,3001,98.83912659,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.06617,0.96285,27.443,0.63204,0.05144,0.11767,0.90298,23.544,0.46317,0.06207,0.81653,0.04245,0.99646,0.99044,False,0.837,509.4
task_obj_swap_joint_mask_276754,disp_k1_opt,instruct-pix2pix,Replace the satellite dish with rocket,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2201,129.16621399,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19161,0.92535,27.028,0.41671,0.0378,0.16445,0.90822,21.697,0.29745,0.16667,0.77762,0.04452,0.93506,0.927,False,0.837,379.0
task_obj_swap_joint_mask_533428,disp_k1_opt,instruct-pix2pix,Replace the samurai armor with red jacket,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2901,102.96310425,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.08965,0.93632,24.75,0.49141,0.03791,0.25733,0.74004,17.537,0.30717,0.11887,0.88394,0.05787,0.96358,0.91528,False,0.837,492.7
task_obj_swap_rand_mask_417469,disp_k1_opt,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,8.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,5000,latent_norm,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,early_stop,2801,119.1520462,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04931,0.95981,27.459,0.57965,0.02344,0.07538,0.9291,25.755,0.4857,0.03028,0.71572,0.04237,0.99428,0.97903,False,0.837,476.7
