image,site,arm,eval_seed,edit_psnr,edit_linf,edit_ssim,edit_vif_p,edit_fsim,edit_lpips,edit_dists,edit_acutance_ratio,edit_rms,edit_frac_gt_16_255,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b
horse_00,S,opt,20270804,21.52216339111328,0.6695723533630371,0.6554642915725708,0.21954002976417542,0.8178743124008179,0.3430646061897278,0.17324578762054443,0.962746262550354,0.0839250460267067,0.3048655390739441,3.8179862920023786,4.706633211126646,0.22881174087524414,0.11351151764392853,0.25040945410728455,0.1009814441204071
horse_00,S,opt,20270805,19.684194564819336,0.8595576286315918,0.6151472926139832,0.18787534534931183,0.7964757680892944,0.35852867364883423,0.1789935827255249,0.7089239358901978,0.10370271652936935,0.3992156982421875,4.3626541022760605,5.142155479605379,0.24592804908752441,0.10959085077047348,0.2675946354866028,0.09283308684825897
horse_00,S,opt,20270806,21.02613067626953,0.7963401079177856,0.5944835543632507,0.15663765370845795,0.7733483910560608,0.38517189025878906,0.22538352012634277,1.2278233766555786,0.08885731548070908,0.3001810908317566,4.598897192209004,4.425185593048618,0.246252179145813,0.11989469081163406,0.24518784880638123,0.09271760284900665
horse_00,S,opt,20270807,21.452638626098633,0.9201849699020386,0.619939923286438,0.21795371174812317,0.8105947971343994,0.33597588539123535,0.15626972913742065,0.6517232060432434,0.08459950238466263,0.3314870297908783,4.435945863330855,4.469172235884899,0.22876426577568054,0.08949371427297592,0.2503078579902649,0.09661951661109924
horse_00,S,opt,20270808,21.515361785888672,0.7264659404754639,0.5935113430023193,0.19883805513381958,0.8146085739135742,0.38067948818206787,0.1880885362625122,0.8256328701972961,0.08399078249931335,0.3418426513671875,3.499603443202031,4.367747882968827,0.23487308621406555,0.059933312237262726,0.23123730719089508,0.09378701448440552
horse_00,S,rand,20270804,22.63330841064453,0.7418218851089478,0.6458128690719604,0.21084453165531158,0.8366104960441589,0.3729660212993622,0.18249648809432983,1.0527266263961792,0.0738472193479538,0.2856292724609375,3.8179862920023786,4.557897033126111,0.22881174087524414,0.11351151764392853,0.2453455626964569,0.06177086383104324
horse_00,S,rand,20270805,21.032764434814453,0.9322318434715271,0.6429930925369263,0.22522065043449402,0.8293165564537048,0.3275511562824249,0.1816699504852295,0.9610147476196289,0.08878947794437408,0.3682352900505066,4.3626541022760605,4.21881569807817,0.24592804908752441,0.10959085077047348,0.2510075569152832,0.08250580728054047
horse_00,S,rand,20270806,20.66277503967285,0.7928444147109985,0.5308002829551697,0.141546368598938,0.7711727619171143,0.4161807894706726,0.21300667524337769,1.6613736152648926,0.09265333414077759,0.3392435908317566,4.598897192209004,4.177030583101209,0.246252179145813,0.11989469081163406,0.22685900330543518,0.10672789812088013
horse_00,S,rand,20270807,22.2524471282959,0.7303983569145203,0.6283731460571289,0.22167977690696716,0.8302520513534546,0.3556928038597107,0.16423380374908447,1.0280872583389282,0.07715734094381332,0.3088023066520691,4.435945863330855,3.906982809899049,0.22876426577568054,0.08949371427297592,0.24564509093761444,0.09242890775203705
horse_00,S,rand,20270808,23.057891845703125,0.8153101801872253,0.6523100137710571,0.24182118475437164,0.849632203578949,0.3347424864768982,0.17888563871383667,1.0990153551101685,0.07032424211502075,0.2867787778377533,3.499603443202031,4.211694334748396,0.23487308621406555,0.059933312237262726,0.24416214227676392,0.07652399688959122
