image,attack,n_seeds,dist_mean,dist_sd,dsiglip_mean,dsiglip_sd,dniqe_mean,dniqe_sd,dclip_mean,dclip_sd
bird_00,pg_diffusion,20,0.748077,0.017182,0.038773,0.023066,1.415676,0.738632,0.065667,0.023636
bird_00,pg_encoder,20,0.641022,0.024122,0.036586,0.023894,6.183027,0.86248,0.052044,0.021685
bird_00,semantic,20,0.649382,0.012137,0.022954,0.027716,-0.135107,0.601981,0.04781,0.02546
bird_01,pg_diffusion,20,0.644635,0.012873,-0.007197,0.010875,2.066651,0.713258,0.008572,0.017648
bird_01,pg_encoder,20,0.700628,0.010654,-0.001912,0.022267,6.979644,0.948679,0.005096,0.026451
bird_01,semantic,20,0.579259,0.01414,-0.031082,0.025894,1.722805,0.595803,-0.020413,0.017834
bird_02,pg_diffusion,20,0.647282,0.018102,0.01973,0.018233,-2.934237,1.119776,0.005494,0.018584
bird_02,pg_encoder,20,0.763662,0.020336,-0.005235,0.019708,1.078239,1.340038,-0.004986,0.015927
bird_02,semantic,20,0.6213,0.009532,-0.008225,0.024709,-5.922903,0.778758,-0.016731,0.018873
cat_00,pg_diffusion,20,0.513396,0.017983,0.003052,0.007509,0.47296,0.778654,0.00521,0.016539
cat_00,pg_encoder,20,0.611692,0.013293,0.009174,0.015174,5.42117,1.040558,0.011725,0.017388
cat_00,semantic,20,0.465839,0.013924,-0.014469,0.01181,0.154124,0.468408,-0.010879,0.017718
cat_02,pg_diffusion,20,0.613556,0.015367,0.000737,0.005876,-0.674228,0.959894,0.013582,0.007564
cat_02,pg_encoder,20,0.775335,0.019343,-0.002868,0.014326,4.978324,0.940851,0.007376,0.01751
cat_02,semantic,20,0.530516,0.016174,-0.014387,0.018707,-1.661149,0.773251,0.001315,0.01676
cat_03,pg_diffusion,20,0.422891,0.018421,0.007387,0.006823,0.599128,0.584635,0.011568,0.013484
cat_03,pg_encoder,20,0.670194,0.019783,0.008972,0.010596,5.545255,1.863304,0.013257,0.021579
cat_03,semantic,20,0.47286,0.029581,-0.014708,0.029327,-0.181138,0.623458,-0.007535,0.021861
dog_00,pg_diffusion,20,0.669305,0.013049,0.061941,0.016159,0.714633,0.856058,0.060759,0.013372
dog_00,pg_encoder,20,0.674626,0.008535,0.049026,0.025805,7.806346,0.68795,0.02915,0.020778
dog_00,semantic,20,0.608492,0.013403,0.047571,0.017484,-0.889078,0.371335,0.038367,0.016607
dog_01,pg_diffusion,20,0.679051,0.014623,0.004912,0.004621,1.92837,0.738358,0.000394,0.006547
dog_01,pg_encoder,20,0.696158,0.012177,0.013336,0.005042,6.988356,0.625187,-0.000152,0.005672
dog_01,semantic,20,0.575784,0.00796,0.003422,0.005054,-1.300827,0.380575,0.002524,0.01041
horse_00,pg_diffusion,20,0.634734,0.014587,-0.004768,0.00735,0.134258,0.504469,0.026724,0.03089
horse_00,pg_encoder,20,0.640863,0.016996,-0.034935,0.035894,5.057527,0.944536,-0.031818,0.037376
horse_00,semantic,20,0.598063,0.013046,-0.072184,0.026812,-1.756679,0.406338,-0.045408,0.038384
horse_01,pg_diffusion,20,0.586294,0.017251,-0.003605,0.01059,-0.996599,0.986159,0.003965,0.030756
horse_01,pg_encoder,20,0.730176,0.020959,-0.020912,0.030624,4.500572,1.060837,-0.038315,0.040256
horse_01,semantic,20,0.530956,0.01242,-0.067754,0.038484,-0.444385,0.645433,-0.057645,0.024807
horse_02,pg_diffusion,20,0.507992,0.024374,0.000815,0.011654,0.459167,0.776512,-0.000732,0.019318
horse_02,pg_encoder,20,0.688045,0.01109,-0.029369,0.026376,5.51396,1.0776,-0.050517,0.02419
horse_02,semantic,20,0.549667,0.014352,-0.030967,0.029092,-0.668745,0.799913,-0.047934,0.021814
horse_03,pg_diffusion,20,0.588474,0.01648,0.003937,0.01564,0.697516,0.538635,0.042161,0.02022
horse_03,pg_encoder,20,0.629238,0.01399,-0.017368,0.026029,7.109391,0.953585,0.014839,0.028324
horse_03,semantic,20,0.560356,0.011419,-0.037453,0.025246,1.154466,0.611546,-0.001777,0.021179
man_00,pg_diffusion,20,0.674925,0.013935,0.002865,0.024704,-1.463245,0.94143,0.01723,0.021641
man_00,pg_encoder,20,0.464025,0.014499,0.032822,0.022654,5.02613,0.857885,0.010609,0.01899
man_00,semantic,20,0.579382,0.010525,-0.005149,0.023001,-2.39066,0.529725,0.017525,0.018665
man_01,pg_diffusion,20,0.56098,0.015332,0.008627,0.01857,3.370839,0.70509,0.024585,0.014218
man_01,pg_encoder,20,0.665305,0.012619,0.036692,0.0202,7.300714,1.096618,0.037182,0.014846
man_01,semantic,20,0.534353,0.010274,0.007801,0.015134,1.499996,0.299398,0.027153,0.009634
man_03,pg_diffusion,20,0.52541,0.012284,0.004705,0.017338,3.813589,0.795737,0.000956,0.013946
man_03,pg_encoder,20,0.580602,0.010198,-0.003905,0.020924,6.644659,1.682512,0.004848,0.011682
man_03,semantic,20,0.444504,0.013569,-0.01371,0.022091,1.021289,0.497497,0.004221,0.010646
woman_01,pg_diffusion,20,0.671253,0.016976,0.002425,0.015126,-2.450279,1.078106,0.004384,0.012015
woman_01,pg_encoder,20,0.556068,0.016429,0.028039,0.010368,3.760724,0.615261,0.026156,0.012343
woman_01,semantic,20,0.599099,0.007305,0.004243,0.011728,-1.133066,0.389597,0.018747,0.014126
woman_02,pg_diffusion,20,0.604554,0.011577,0.005737,0.007686,1.944908,0.907879,0.026573,0.009777
woman_02,pg_encoder,20,0.575922,0.013983,0.012188,0.008448,7.00125,0.771074,0.033741,0.011211
woman_02,semantic,20,0.582442,0.008827,-0.001145,0.008732,1.551884,0.581977,0.026412,0.006734
woman_03,pg_diffusion,20,0.559209,0.010655,0.013314,0.041207,2.70466,1.196916,0.033115,0.024879
woman_03,pg_encoder,20,0.447066,0.014511,0.007734,0.039909,6.568168,0.855823,0.039782,0.027257
woman_03,semantic,20,0.522938,0.012777,0.002189,0.039714,0.111692,0.432627,0.037927,0.020295
