scope,attack,n,rho_dist_sem,rho_dist_deg,rho_sem_deg
逐種子,（全部）,1080,0.1408,0.2027,0.1797
逐種子,pg_diffusion,360,0.1494,-0.2164,0.042
逐種子,pg_encoder,360,-0.2685,-0.1243,0.0971
逐種子,semantic,360,0.2086,-0.357,-0.0136
逐格（20 種子平均）,（全部）,54,0.1422,0.2065,0.2645
逐格（20 種子平均）,pg_diffusion,18,0.1063,-0.2301,0.3313
逐格（20 種子平均）,pg_encoder,18,-0.2817,-0.1414,0.3787
逐格（20 種子平均）,semantic,18,0.3602,-0.3498,-0.0341
