degrade_tau,n_cells,semantic_fail,degrade_fail,isr_union,isr_rate
0.0,54,7,31,35,0.6481
0.5,54,7,31,35,0.6481
1.0,54,7,29,33,0.6111
2.0,54,7,21,27,0.5
4.0,54,7,16,22,0.4074
