image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_nonadd,instruct-pix2pix,turn the color of potted plant to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1195,0.9845,31.82,0.65334,0.0349,0.15739,0.91825,23.593,0.42763,0.06662,0.58878,0.02564,0.97737,0.98007,False,0.837,363.6
task_attr_mod_color_136767,dct_nonadd,instruct-pix2pix,turn the color of astronaut to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.1308,0.97638,31.809,0.61905,0.04988,0.17306,0.85938,25.517,0.41221,0.10335,0.55391,0.02568,0.99129,0.98857,False,0.837,350.9
task_attr_mod_color_184837,dct_nonadd,instruct-pix2pix,turn the color of frame to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.17018,0.96388,27.594,0.54101,0.08197,0.24204,0.78189,20.124,0.32641,0.15742,0.48153,0.04172,0.98265,0.96835,False,0.837,360.1
task_attr_mod_color_32648,dct_nonadd,instruct-pix2pix,turn the color of potion bottle to orange,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.17137,0.99005,40.733,0.6483,0.03899,0.14414,0.89232,21.311,0.62942,0.12151,0.50949,0.00919,0.95725,0.95012,False,0.837,359.9
task_attr_mod_color_6205,dct_nonadd,instruct-pix2pix,turn the color of toolbox to red,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.10433,0.98126,33.869,0.70802,0.05274,0.23926,0.80248,13.029,0.50814,0.136,0.65882,0.02026,0.97964,0.95733,False,0.837,359.9
task_env_weather_112463,dct_nonadd,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26629,0.95631,32.785,0.60176,0.04256,0.30525,0.71727,20.45,0.33329,0.14371,0.43912,0.02295,0.93488,0.91451,False,0.837,359.8
task_obj_remove_380621,dct_nonadd,instruct-pix2pix,Remove iceberg,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19882,0.96937,30.526,0.61995,0.05969,0.3464,0.73515,18.522,0.26423,0.17234,0.58949,0.02976,0.96875,0.9076,False,0.837,360.0
task_obj_swap_joint_mask_276754,dct_nonadd,instruct-pix2pix,Replace the satellite dish with rocket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32922,0.92981,27.491,0.37518,0.071,0.58154,0.69345,14.809,0.05501,0.28092,0.49005,0.04221,0.89149,0.92125,False,0.837,357.5
task_obj_swap_joint_mask_533428,dct_nonadd,instruct-pix2pix,Replace the samurai armor with red jacket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25196,0.95,27.75,0.51158,0.07071,0.44721,0.5238,15.633,0.16626,0.20753,0.55294,0.04097,0.92865,0.88214,False,0.837,352.3
task_obj_swap_rand_mask_417469,dct_nonadd,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,gain,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19361,0.96166,30.0,0.57027,0.04564,0.2659,0.79174,21.941,0.36357,0.12674,0.63851,0.03162,0.96046,0.92316,False,0.837,355.7
