image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.94804,0.90542,0.93323,0.062862,0.065821,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53979,0.88609,23.633,0.23689,0.15755,0.46873,0.63353,17.342,0.18805,0.27549,0.68263,0.06582,0.86455,0.84924,False,0.837,413.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.93775,0.9126,0.9327,0.06231,0.064027,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51723,0.83996,23.873,0.23524,0.19218,0.58701,0.39274,9.871,0.16682,0.37405,0.63631,0.06403,0.85829,0.7735,True,0.837,406.7
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.97693,0.95312,0.97585,0.08771,0.089901,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52652,0.86587,20.925,0.24685,0.21743,0.649,0.41582,14.251,0.18212,0.35759,0.59774,0.0899,0.91089,0.85842,False,0.837,403.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.80078,0.80023,0.80281,0.040921,0.04095,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61545,0.86522,27.755,0.10385,0.18044,0.48915,0.61714,14.947,0.18452,0.27646,0.60326,0.04095,0.9447,0.91581,False,0.837,404.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.88295,0.84771,0.86904,0.050949,0.053067,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54315,0.88497,25.504,0.24499,0.17617,0.62525,0.40647,9.898,0.27,0.36736,0.60743,0.05307,0.84616,0.79767,True,0.837,404.2
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.8855,0.84064,0.88276,0.048794,0.051398,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.60542,0.89964,25.781,0.25735,0.11485,0.75777,0.39237,11.404,0.1194,0.32971,0.47812,0.0514,0.5562,0.56492,True,0.837,402.1
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.9751,0.94147,0.95743,0.096854,0.100314,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44803,0.85205,19.973,0.25092,0.13888,0.606,0.26301,14.086,0.11814,0.3484,0.82207,0.10031,0.89388,0.84956,False,0.837,401.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.9519,0.92824,0.95397,0.067866,0.069596,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52723,0.88474,23.148,0.22736,0.14125,0.5166,0.59023,16.707,0.1745,0.31466,0.61087,0.0696,0.84128,0.82443,True,0.837,401.7
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.95913,0.92752,0.95703,0.068479,0.070812,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54471,0.86324,22.998,0.27397,0.18329,0.56477,0.36589,15.296,0.20227,0.42049,0.59921,0.07081,0.86368,0.67806,True,0.837,401.8
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.92622,0.90871,0.92006,0.062962,0.064175,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56978,0.89491,23.853,0.26259,0.16137,0.62124,0.34997,9.973,0.10998,0.31007,0.93158,0.06417,0.74969,0.71715,True,0.837,401.8
