model,eval_quality,n,shard,shards,tau,mu,q_embed,target,acc_clean_jpeg,acc_adv_jpeg,succ_rate,paper_acc_adv,paper_acc_watermarked,psnr_vs_orig,ssim_vs_orig,lpips_vs_orig,seconds_per_image
resnet101,75,25,4,8,1500,1,0.75,least_likely,84.0,76.0,8.0,3.9,71.7,27.73,0.7832,0.2711,7.74
resnet101,85,25,4,8,1500,1,0.75,least_likely,84.0,72.0,12.0,3.9,71.7,27.73,0.7832,0.2711,7.74
