image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_rotate,instruct-pix2pix,turn the color of potted plant to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.17366,0.96885,29.683,0.54423,0.0654,0.17595,0.91616,24.187,0.39137,0.07172,0.65168,0.0328,0.98108,0.97681,False,0.837,401.2
task_attr_mod_color_136767,dct_rotate,instruct-pix2pix,turn the color of astronaut to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15696,0.95875,29.477,0.51216,0.07254,0.1777,0.86739,25.165,0.38515,0.09715,0.54693,0.03358,0.9926,0.98171,False,0.837,391.1
task_attr_mod_color_184837,dct_rotate,instruct-pix2pix,turn the color of frame to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21365,0.94514,25.619,0.44649,0.09295,0.2251,0.81462,20.935,0.30353,0.13963,0.59668,0.05237,0.98318,0.97423,False,0.837,391.1
task_attr_mod_color_32648,dct_rotate,instruct-pix2pix,turn the color of potion bottle to orange,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15547,0.97818,37.552,0.5255,0.05254,0.15701,0.90791,24.756,0.65085,0.1083,0.56168,0.01325,0.97532,0.9807,False,0.837,390.5
task_attr_mod_color_6205,dct_rotate,instruct-pix2pix,turn the color of toolbox to red,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.14462,0.95943,31.137,0.6041,0.07715,0.14411,0.9279,27.706,0.5007,0.08163,0.55897,0.02774,0.9918,0.9777,False,0.837,390.5
task_env_weather_112463,dct_rotate,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25942,0.92691,30.62,0.4999,0.07314,0.31273,0.72709,21.303,0.2984,0.13131,0.44248,0.02944,0.92886,0.92166,False,0.837,390.8
task_obj_remove_380621,dct_rotate,instruct-pix2pix,Remove iceberg,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20234,0.94528,28.259,0.50824,0.0705,0.25134,0.7883,21.574,0.33037,0.12298,0.66449,0.03864,0.97768,0.95466,False,0.837,390.8
task_obj_swap_joint_mask_276754,dct_rotate,instruct-pix2pix,Replace the satellite dish with rocket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.336,0.86511,25.107,0.26183,0.09842,0.37839,0.76646,17.513,0.16188,0.22333,0.59223,0.05555,0.92987,0.89917,False,0.837,390.2
task_obj_swap_joint_mask_533428,dct_rotate,instruct-pix2pix,Replace the samurai armor with red jacket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.28021,0.90977,25.556,0.3964,0.09188,0.41661,0.55528,16.306,0.15812,0.19231,0.66734,0.05275,0.93379,0.91794,False,0.837,391.0
task_obj_swap_rand_mask_417469,dct_rotate,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,0.85,zigzag,texture,1000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21518,0.92441,28.094,0.45836,0.07369,0.24532,0.82469,23.459,0.32733,0.10998,0.59539,0.03938,0.96225,0.94076,False,0.837,390.4
