condition,purifier,rho_mean,inst_mag,surv_mag,energy_ratio,cosine,cos_vs_warped
ig_d21,identity,1.0,0.53566,0.53566,1.0,0.99993,
ig_d21,jpeg75,0.80563,0.53566,0.647,1.04836,0.9243,
ig_d21,jpeg50,0.73114,0.53566,0.68656,1.05651,0.86595,
ig_d21,jpeg30,0.67835,0.53566,0.70874,1.04046,0.80904,
ig_d21,blur1,0.96087,0.53566,0.53204,0.33546,0.80545,
ig_d21,blur2,0.73915,0.53566,0.49626,0.12897,0.60607,
ig_d21,crop_resize0.1,0.50561,0.53566,0.70816,1.06997,0.00452,0.99951
ig_d21,crop_resize0.15,0.48647,0.53566,0.73456,1.20332,0.00021,0.99951
ig_d25,identity,1.0,0.60928,0.60928,1.0,0.99995,
ig_d25,jpeg75,0.80216,0.60928,0.70898,1.02477,0.9363,
ig_d25,jpeg50,0.72333,0.60928,0.74756,1.03023,0.88377,
ig_d25,jpeg30,0.66617,0.60928,0.76796,1.00075,0.83009,
ig_d25,blur1,0.95752,0.60928,0.6048,0.32316,0.79359,
ig_d25,blur2,0.70769,0.60928,0.56412,0.12669,0.59117,
ig_d25,crop_resize0.1,0.44858,0.60928,0.77841,1.05667,0.00424,0.99941
ig_d25,crop_resize0.15,0.43008,0.60928,0.80456,1.18952,0.0013,0.99942
ig_n30,identity,1.0,0.57173,0.57173,1.0,0.99994,
ig_n30,jpeg75,0.8023,0.57173,0.67766,1.0249,0.93863,
ig_n30,jpeg50,0.72628,0.57173,0.71873,1.03691,0.88883,
ig_n30,jpeg30,0.66967,0.57173,0.74428,1.02445,0.83656,
ig_n30,blur1,0.9594,0.57173,0.56676,0.28661,0.76799,
ig_n30,blur2,0.72425,0.57173,0.53187,0.11405,0.54681,
ig_n30,crop_resize0.1,0.46979,0.57173,0.75897,1.02361,-0.00252,0.99914
ig_n30,crop_resize0.15,0.44601,0.57173,0.79035,1.1502,0.00274,0.99913
ig_n35,identity,1.0,0.59073,0.59073,1.0,0.99997,
ig_n35,jpeg75,0.80127,0.59073,0.69594,1.01468,0.94359,
ig_n35,jpeg50,0.72378,0.59073,0.73767,1.02258,0.89722,
ig_n35,jpeg30,0.6659,0.59073,0.76402,1.00792,0.84722,
ig_n35,blur1,0.95843,0.59073,0.58568,0.27199,0.75584,
ig_n35,blur2,0.71531,0.59073,0.55335,0.10945,0.53007,
ig_n35,crop_resize0.1,0.45406,0.59073,0.77842,1.00825,0.00516,0.99902
ig_n35,crop_resize0.15,0.42987,0.59073,0.81098,1.13458,0.00456,0.999
