image,condition,purifier,band_lo,band_hi,rho,systematic_bias,inst_mag,surv_mag
task_attr_mod_color_11699,ig_d21,identity,0.0,0.12,1.0,0.0,0.00597,0.00597
task_attr_mod_color_11699,ig_d21,identity,0.12,0.25,1.0,0.0,0.29582,0.29582
task_attr_mod_color_11699,ig_d21,identity,0.25,0.4,1.0,0.0,0.40973,0.40973
task_attr_mod_color_11699,ig_d21,identity,0.4,0.55,1.0,0.0,0.50142,0.50142
task_attr_mod_color_11699,ig_d21,identity,0.55,0.7,1.0,0.0,0.59975,0.59975
task_attr_mod_color_11699,ig_d21,identity,0.7,0.85,1.0,0.0,0.69614,0.69614
task_attr_mod_color_11699,ig_d21,identity,0.85,1.05,1.0,0.0,0.76903,0.76903
task_attr_mod_color_11699,ig_d21,jpeg75,0.0,0.12,0.99999,-1e-05,0.00597,0.00656
task_attr_mod_color_11699,ig_d21,jpeg75,0.12,0.25,0.98158,0.0003,0.29582,0.3107
task_attr_mod_color_11699,ig_d21,jpeg75,0.25,0.4,0.9594,5e-05,0.40973,0.44202
task_attr_mod_color_11699,ig_d21,jpeg75,0.4,0.55,0.91925,-0.00019,0.50142,0.56876
task_attr_mod_color_11699,ig_d21,jpeg75,0.55,0.7,0.84245,0.00113,0.59975,0.71959
task_attr_mod_color_11699,ig_d21,jpeg75,0.7,0.85,0.69858,-0.00665,0.69614,0.89357
task_attr_mod_color_11699,ig_d21,jpeg75,0.85,1.05,0.50787,0.01258,0.76903,1.05939
task_attr_mod_color_11699,ig_d21,jpeg50,0.0,0.12,0.99997,-2e-05,0.00597,0.00703
task_attr_mod_color_11699,ig_d21,jpeg50,0.12,0.25,0.97227,0.00065,0.29582,0.3193
task_attr_mod_color_11699,ig_d21,jpeg50,0.25,0.4,0.94554,-0.00072,0.40973,0.45413
task_attr_mod_color_11699,ig_d21,jpeg50,0.4,0.55,0.88114,-0.00045,0.50142,0.59873
task_attr_mod_color_11699,ig_d21,jpeg50,0.55,0.7,0.75448,0.00241,0.59975,0.77552
task_attr_mod_color_11699,ig_d21,jpeg50,0.7,0.85,0.5477,0.01729,0.69614,0.98551
task_attr_mod_color_11699,ig_d21,jpeg50,0.85,1.05,0.34757,-0.00052,0.76903,1.12736
task_attr_mod_color_11699,ig_d21,jpeg30,0.0,0.12,0.99994,-1e-05,0.00597,0.00731
task_attr_mod_color_11699,ig_d21,jpeg30,0.12,0.25,0.96518,0.00072,0.29582,0.32491
task_attr_mod_color_11699,ig_d21,jpeg30,0.25,0.4,0.93134,0.00175,0.40973,0.46271
task_attr_mod_color_11699,ig_d21,jpeg30,0.4,0.55,0.84101,0.00153,0.50142,0.61963
task_attr_mod_color_11699,ig_d21,jpeg30,0.55,0.7,0.67113,0.01089,0.59975,0.82846
task_attr_mod_color_11699,ig_d21,jpeg30,0.7,0.85,0.43014,0.0028,0.69614,1.03373
task_attr_mod_color_11699,ig_d21,jpeg30,0.85,1.05,0.27335,-0.00901,0.76903,1.13559
task_attr_mod_color_11699,ig_d21,blur1,0.0,0.12,1.0,-0.0,0.00597,0.00563
task_attr_mod_color_11699,ig_d21,blur1,0.12,0.25,0.99707,-8e-05,0.29582,0.28863
task_attr_mod_color_11699,ig_d21,blur1,0.25,0.4,0.98989,0.00058,0.40973,0.40555
task_attr_mod_color_11699,ig_d21,blur1,0.4,0.55,0.97526,-0.00112,0.50142,0.49767
task_attr_mod_color_11699,ig_d21,blur1,0.55,0.7,0.95461,-0.00034,0.59975,0.59465
task_attr_mod_color_11699,ig_d21,blur1,0.7,0.85,0.92885,0.00053,0.69614,0.69139
task_attr_mod_color_11699,ig_d21,blur1,0.85,1.05,0.9113,-7e-05,0.76903,0.77366
task_attr_mod_color_11699,ig_d21,blur2,0.0,0.12,0.99997,-0.0,0.00597,0.0048
task_attr_mod_color_11699,ig_d21,blur2,0.12,0.25,0.97517,-0.00025,0.29582,0.27165
task_attr_mod_color_11699,ig_d21,blur2,0.25,0.4,0.91739,0.00238,0.40973,0.40789
task_attr_mod_color_11699,ig_d21,blur2,0.4,0.55,0.81801,-0.0051,0.50142,0.50716
task_attr_mod_color_11699,ig_d21,blur2,0.55,0.7,0.65821,-0.00187,0.59975,0.54445
