image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,gain_only,instruct-pix2pix,turn the color of potted plant to pink,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.08363,0.97889,30.413,0.66425,0.03402,0.11682,0.91345,23.537,0.47398,0.06171,0.4008,0.03016,38.9
task_attr_mod_color_136767,gain_only,instruct-pix2pix,turn the color of astronaut to pink,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.14494,0.97185,31.474,0.60327,0.06316,0.18249,0.87371,23.287,0.40099,0.11241,0.36471,0.02669,39.9
task_attr_mod_color_184837,gain_only,instruct-pix2pix,turn the color of frame to pink,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.13892,0.94908,25.919,0.53392,0.08191,0.21962,0.72003,18.493,0.33948,0.17748,0.47787,0.05059,40.1
task_attr_mod_color_32648,gain_only,instruct-pix2pix,turn the color of potion bottle to orange,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.15121,0.99328,42.046,0.72054,0.03445,0.13923,0.89468,23.091,0.70601,0.11983,0.22575,0.0079,40.1
task_attr_mod_color_6205,gain_only,instruct-pix2pix,turn the color of toolbox to red,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.08759,0.9805,34.061,0.70633,0.05508,0.19391,0.84841,17.692,0.56044,0.12229,0.37992,0.01981,40.2
task_env_weather_112463,gain_only,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.15775,0.97234,33.888,0.6832,0.02647,0.28204,0.77712,20.666,0.32037,0.12306,0.23813,0.02021,40.1
task_env_weather_133752,gain_only,instruct-pix2pix,transform the setting to a rainy day,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.13063,0.98053,34.814,0.69743,0.03201,0.17703,0.91511,27.67,0.4401,0.05074,0.3884,0.01817,40.0
task_env_weather_181583,gain_only,instruct-pix2pix,change the setting to a stormy day,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.16865,0.96522,34.197,0.67018,0.03219,0.56666,0.71008,14.853,0.35328,0.32318,0.1788,0.01951,40.1
task_env_weather_246440,gain_only,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.19601,0.94306,23.791,0.51032,0.05966,0.3244,0.63081,18.084,0.21218,0.13738,0.61848,0.06463,39.9
task_env_weather_63722,gain_only,instruct-pix2pix,change the setting to a snowy landscape,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.13285,0.97108,28.958,0.58384,0.05311,0.17117,0.86806,22.533,0.35515,0.09452,0.454,0.03565,40.1
task_obj_add_13726,gain_only,instruct-pix2pix,Add subscribe button,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.17437,0.95981,29.279,0.54491,0.06307,0.29933,0.69072,19.278,0.25414,0.19266,0.39076,0.03436,39.9
task_obj_add_340466,gain_only,instruct-pix2pix,Add orange juice,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.09291,0.98152,32.782,0.69093,0.04419,0.18946,0.86059,17.887,0.48843,0.12809,0.33651,0.02296,39.9
task_obj_add_40931,gain_only,instruct-pix2pix,Add the blood on snout,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.28849,0.95812,29.56,0.5742,0.05474,0.27362,0.73198,20.593,0.3319,0.14114,0.33684,0.03327,39.9
task_obj_add_581286,gain_only,instruct-pix2pix,Add sauce,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.09719,0.98564,38.494,0.78904,0.02906,0.11616,0.92521,29.938,0.64414,0.06656,0.22826,0.01189,39.9
task_obj_add_692065,gain_only,instruct-pix2pix,Add monk,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.11561,0.9672,29.535,0.711,0.0446,0.16626,0.88291,23.765,0.4993,0.0587,0.35985,0.03336,39.9
task_obj_remove_10197,gain_only,instruct-pix2pix,Remove gravel path,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.23175,0.96203,27.961,0.61168,0.0416,0.41947,0.4439,13.929,0.07895,0.24515,0.58431,0.03999,39.8
task_obj_remove_257910,gain_only,instruct-pix2pix,Remove bracelet,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.15919,0.98471,36.354,0.74013,0.03374,0.17694,0.89976,27.119,0.47028,0.07061,0.22909,0.01522,39.9
task_obj_remove_380621,gain_only,instruct-pix2pix,Remove iceberg,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.19703,0.97412,31.247,0.67965,0.05938,0.26394,0.79623,21.231,0.39905,0.11442,0.41134,0.02739,39.9
task_obj_remove_509477,gain_only,instruct-pix2pix,Remove the man with glasses,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.18698,0.95719,28.608,0.56005,0.05399,0.21802,0.80524,22.228,0.34698,0.07816,0.52751,0.03712,39.9
task_obj_remove_657585,gain_only,instruct-pix2pix,Remove frisbee,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.07967,0.98911,39.831,0.83892,0.02596,0.24811,0.83003,20.703,0.72346,0.18866,0.22642,0.0102,40.1
task_obj_swap_joint_mask_276754,gain_only,instruct-pix2pix,Replace the satellite dish with rocket,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.37745,0.93056,28.235,0.38735,0.09025,0.22151,0.78554,19.862,0.22659,0.23996,0.47383,0.03875,39.9
task_obj_swap_joint_mask_533428,gain_only,instruct-pix2pix,Replace the samurai armor with red jacket,,1.0,False,0.0,0.12,0,32,encoder_target,1.0,none,100,7.5,1.5,20260812,False,0.19874,0.95573,28.01,0.56112,0.05817,0.28645,0.72592,17.756,0.28809,0.14831,0.4445,0.03977,40.0
