image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.09805,0.96997,28.184,0.55092,0.02282,0.1172,0.91472,23.298,0.44134,0.05178,0.57927,0.03898,38.0
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.1488,0.95765,29.337,0.51224,0.04512,0.18197,0.87344,23.084,0.37746,0.10128,0.40015,0.03413,38.2
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.16474,0.91176,22.969,0.40222,0.06091,0.21427,0.74431,18.863,0.2977,0.14587,0.66072,0.07105,38.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.16913,0.98829,40.221,0.63934,0.0263,0.16525,0.89501,23.904,0.69183,0.13273,0.2544,0.00975,38.4
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.09364,0.97141,32.338,0.61772,0.04238,0.1125,0.9123,25.351,0.53321,0.07427,0.39785,0.02416,38.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.16636,0.95276,31.294,0.57421,0.02466,0.2615,0.7866,21.265,0.31402,0.11664,0.3602,0.02724,38.5
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.17629,0.96414,32.106,0.57135,0.02161,0.2144,0.89564,26.743,0.38894,0.04705,0.31145,0.02481,38.4
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.19733,0.92946,30.95,0.52495,0.0296,0.20803,0.85159,24.473,0.49254,0.1188,0.30972,0.02835,38.5
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.2242,0.86926,19.78,0.37967,0.05861,0.36394,0.5744,17.379,0.18339,0.15889,0.91002,0.10256,38.3
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,2.4,False,0.0,0.12,3,32,encoder_target,100,7.5,1.5,20260812,False,0.15607,0.94644,25.609,0.45877,0.04829,0.18441,0.86137,21.961,0.31381,0.07613,0.71535,0.05243,38.4
