image,prompt,strength,guidance,tag,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,lpips_vs_orig
musk_00,a man standing in a busy city street at night,0.55,7.5,s0.55_g7.5,0.185,0.2038,0.0187,0.0095,0.0087,-0.0008,0.263
musk_00,a man standing in a busy city street at night,0.7,7.5,s0.7_g7.5,0.185,0.2096,0.0246,0.0095,0.0007,-0.0088,0.3018
musk_00,a man standing in a busy city street at night,0.8,7.5,s0.8_g7.5,0.185,0.24,0.055,0.0095,0.1048,0.0953,0.4815
musk_00,a man standing in a busy city street at night,0.8,12.0,s0.8_g12,0.185,0.2612,0.0762,0.0095,0.1156,0.1062,0.5254
musk_00,a man standing in a busy city street at night,0.9,12.0,s0.9_g12,0.185,0.2623,0.0773,0.0095,0.1288,0.1194,0.605
parrot_00,a parrot perched on a branch in a rainforest,0.55,7.5,s0.55_g7.5,0.2766,0.2928,0.0162,0.0776,0.0963,0.0186,0.3386
parrot_00,a parrot perched on a branch in a rainforest,0.7,7.5,s0.7_g7.5,0.2766,0.2924,0.0159,0.0776,0.1035,0.0259,0.3829
parrot_00,a parrot perched on a branch in a rainforest,0.8,7.5,s0.8_g7.5,0.2766,0.2992,0.0226,0.0776,0.1067,0.0291,0.4655
parrot_00,a parrot perched on a branch in a rainforest,0.8,12.0,s0.8_g12,0.2766,0.3038,0.0272,0.0776,0.1038,0.0262,0.5074
parrot_00,a parrot perched on a branch in a rainforest,0.9,12.0,s0.9_g12,0.2766,0.3274,0.0509,0.0776,0.1019,0.0243,0.5226
trump_00,a man standing in a golden wheat field,0.55,7.5,s0.55_g7.5,0.2091,0.1797,-0.0294,-0.0546,-0.0057,0.0489,0.3595
trump_00,a man standing in a golden wheat field,0.7,7.5,s0.7_g7.5,0.2091,0.1885,-0.0207,-0.0546,0.0224,0.077,0.4606
trump_00,a man standing in a golden wheat field,0.8,7.5,s0.8_g7.5,0.2091,0.2936,0.0844,-0.0546,0.1144,0.169,0.5928
trump_00,a man standing in a golden wheat field,0.8,12.0,s0.8_g12,0.2091,0.2914,0.0823,-0.0546,0.1129,0.1675,0.6061
trump_00,a man standing in a golden wheat field,0.9,12.0,s0.9_g12,0.2091,0.3291,0.12,-0.0546,0.1193,0.1739,0.6499
