image,condition,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
bird_02,apa_weak,46.7,148.0,0.2822,0.6518,0.207,17.5527,0.9643,4.6614,0.5499,0.4383,0.2817,0.2419,0.0397,0.109,0.0657,0.0433
bird_02,mist,0.0,84.9,0.5644,0.779,0.1885,26.7987,0.9573,4.2818,0.6206,0.8359,0.2817,0.278,0.0036,0.109,0.088,0.021
bird_02,dia_r,0.0,150.2,0.2069,0.9862,0.0141,40.1002,0.9971,4.4575,0.6016,0.3628,0.2817,0.2694,0.0123,0.109,0.101,0.008
bird_03,apa_weak,46.9,130.5,0.2227,0.7727,0.1962,19.1692,0.9421,5.1262,0.5829,0.3716,0.2725,0.2602,0.0123,0.1038,0.1052,-0.0014
bird_03,mist,0.0,85.1,0.6208,0.7359,0.1615,26.676,0.9018,5.1643,0.7044,0.7453,0.2725,0.2849,-0.0124,0.1038,0.0973,0.0065
bird_03,dia_r,0.0,150.2,0.2974,0.9823,0.0378,40.4502,0.9871,5.5101,0.7212,0.4323,0.2725,0.2868,-0.0143,0.1038,0.1158,-0.012
cat_03,apa_weak,47.1,130.3,0.3439,0.4125,0.2625,14.5719,0.8935,4.8172,0.6407,0.5506,0.2622,0.2658,-0.0035,0.0853,0.0867,-0.0014
cat_03,mist,0.0,85.2,0.3765,0.906,0.1141,25.9858,0.9694,4.7596,0.6862,0.6657,0.2622,0.2673,-0.0051,0.0853,0.0811,0.0042
cat_03,dia_r,0.0,150.0,0.0613,0.9944,0.0128,39.1447,0.9896,5.1777,0.6783,0.2102,0.2622,0.263,-0.0007,0.0853,0.0885,-0.0033
dog_02,apa_weak,46.9,130.4,0.3036,0.5254,0.1949,15.4536,0.9445,4.6227,0.5808,0.2747,0.2628,0.2694,-0.0066,0.0796,0.0837,-0.0042
dog_02,mist,0.0,85.0,0.4608,0.9168,0.0924,25.8413,0.9463,4.7753,0.6845,0.6317,0.2628,0.2736,-0.0109,0.0796,0.0915,-0.012
dog_02,dia_r,0.0,150.1,0.0591,0.9957,0.0071,39.6199,0.9987,5.1586,0.6651,0.1468,0.2628,0.2604,0.0024,0.0796,0.0799,-0.0003
horse_02,apa_weak,46.9,130.1,0.2998,0.4963,0.2128,14.995,0.9373,5.0602,0.6581,0.4273,0.3079,0.3296,-0.0217,0.1074,0.0898,0.0176
horse_02,mist,0.0,85.2,0.481,0.8691,0.1285,26.2764,0.9465,5.7028,0.7011,0.5432,0.3079,0.2923,0.0156,0.1074,0.1131,-0.0057
horse_02,dia_r,0.0,150.0,0.0932,0.9915,0.0232,39.273,0.9965,6.068,0.6937,0.3038,0.3079,0.3118,-0.0039,0.1074,0.1087,-0.0013
man_03,apa_weak,47.0,130.4,0.3227,0.4649,0.1573,17.158,0.9485,5.7642,0.6435,0.273,0.2729,0.2693,0.0036,0.101,0.0968,0.0042
man_03,mist,0.0,85.0,0.4588,0.9035,0.1148,26.1817,0.9746,5.2263,0.7095,0.598,0.2729,0.2928,-0.0199,0.101,0.106,-0.005
man_03,dia_r,0.0,150.0,0.0864,0.9932,0.0238,38.6956,0.9981,5.7132,0.6953,0.1361,0.2729,0.2789,-0.006,0.101,0.1006,0.0004
woman_03,apa_weak,47.0,130.9,0.134,0.8875,0.0981,21.0446,0.9421,4.2484,0.582,0.1208,0.2464,0.2348,0.0116,0.0748,0.072,0.0028
woman_03,mist,0.0,85.3,0.567,0.6858,0.2019,26.7399,0.8304,4.1786,0.6846,0.5844,0.2464,0.2478,-0.0015,0.0748,0.0561,0.0188
woman_03,dia_r,0.0,150.2,0.3089,0.9729,0.0553,40.7492,0.9853,4.8777,0.6905,0.3695,0.2464,0.2338,0.0125,0.0748,0.0746,0.0002
