condition,radius,n_images,x_key,x,y_key,y
dct_shield,1.0,25,fid_dists,0.05379,edit_lpips,0.65835
dct_shield,2.0,25,fid_dists,0.10747,edit_lpips,0.72106
dct_shield,3.0,25,fid_dists,0.14682,edit_lpips,0.72929
phase,1.8,25,fid_dists,0.04356,edit_lpips,0.21705
phase,2.2,25,fid_dists,0.05401,edit_lpips,0.23174
phase,2.6,25,fid_dists,0.06266,edit_lpips,0.25224
phase,3.0,25,fid_dists,0.06904,edit_lpips,0.25991
