condition,radius,n_images,x_key,x,y_key,y
dct_shield,1.0,25,fid_dists,0.05379,edit_lpips,0.65835
dct_shield,2.0,25,fid_dists,0.10747,edit_lpips,0.72106
dct_shield,3.0,25,fid_dists,0.14682,edit_lpips,0.72929
phase_rand,0.7,25,fid_dists,0.02665,edit_lpips,0.07657
phase_rand,1.0,25,fid_dists,0.04772,edit_lpips,0.11006
phase_rand,1.3,25,fid_dists,0.07196,edit_lpips,0.14707
phase_rand,1.6,25,fid_dists,0.09562,edit_lpips,0.17928
