image,seed,grid,target_rms,kind,scale,field_radius,rms,dists,lpips,psnr,ssim,vif_p,linf
task_attr_mod_color_11699,0,16,0.01,multiplicative,0.014471,0.0241,0.01,0.037384,0.014546,39.9996,0.997266,0.961004,0.052397
task_attr_mod_color_11699,0,16,0.01,additive,0.010011,0.0241,0.01,0.031037,0.010077,39.9996,0.997512,0.960537,0.043215
task_attr_mod_color_11699,0,16,0.02,multiplicative,0.028953,0.0241,0.02,0.060059,0.047197,33.9793,0.989417,0.892043,0.108206
task_attr_mod_color_11699,0,16,0.02,additive,0.020033,0.0241,0.02,0.060841,0.037108,33.9793,0.990328,0.884855,0.08648
task_attr_mod_color_11699,0,16,0.04,multiplicative,0.058266,0.0241,0.04,0.100826,0.101329,27.9588,0.96247,0.76143,0.221432
task_attr_mod_color_11699,0,16,0.04,additive,0.040138,0.0241,0.04,0.106175,0.091321,27.9588,0.964606,0.736336,0.173274
task_attr_mod_color_11699,0,16,0.06,multiplicative,0.09047,0.0241,0.06,0.129837,0.143082,24.437,0.927479,0.656695,0.254902
task_attr_mod_color_11699,0,16,0.06,additive,0.060709,0.0241,0.06,0.137738,0.131595,24.437,0.929165,0.621345,0.239216
task_attr_mod_color_11699,1,16,0.01,multiplicative,0.015478,0.02478,0.01,0.04006,0.012731,39.9996,0.997412,0.960682,0.043481
task_attr_mod_color_11699,1,16,0.01,additive,0.010013,0.02478,0.01,0.031565,0.007971,39.9996,0.997547,0.960425,0.037868
task_attr_mod_color_11699,1,16,0.02,multiplicative,0.030952,0.02478,0.02,0.075335,0.050301,33.9793,0.989872,0.885712,0.08749
task_attr_mod_color_11699,1,16,0.02,additive,0.020058,0.02478,0.02,0.070692,0.035186,33.9793,0.990341,0.880994,0.075856
task_attr_mod_color_11699,1,16,0.04,multiplicative,0.061999,0.02478,0.04,0.107584,0.113832,27.9588,0.962841,0.742941,0.177551
task_attr_mod_color_11699,1,16,0.04,additive,0.040324,0.02478,0.04,0.112297,0.098152,27.9588,0.964203,0.723962,0.152503
task_attr_mod_color_11699,1,16,0.06,multiplicative,0.094189,0.02478,0.06,0.132357,0.153749,24.437,0.925342,0.63338,0.254786
task_attr_mod_color_11699,1,16,0.06,additive,0.060911,0.02478,0.06,0.143839,0.140253,24.437,0.927384,0.603922,0.230359
task_attr_mod_color_11699,2,16,0.01,multiplicative,0.015085,0.02621,0.01,0.038803,0.020001,39.9996,0.996963,0.957281,0.042077
task_attr_mod_color_11699,2,16,0.01,additive,0.010008,0.02621,0.01,0.032285,0.012843,39.9996,0.997497,0.958423,0.033306
task_attr_mod_color_11699,2,16,0.02,multiplicative,0.030137,0.02621,0.02,0.069694,0.061227,33.9793,0.988262,0.882481,0.082899
task_attr_mod_color_11699,2,16,0.02,additive,0.020029,0.02621,0.02,0.067004,0.046755,33.9793,0.990199,0.879256,0.066656
task_attr_mod_color_11699,2,16,0.04,multiplicative,0.060752,0.02621,0.04,0.110551,0.121492,27.9588,0.958,0.742842,0.173114
