image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
task_attr_mod_color_184837,dct_shield,native,identity,0.52118,0.00641,0.52118,0.00641,1.0,0.8,True,495.4
task_attr_mod_color_184837,dct_shield,native,blur1,0.23927,0.02985,0.52118,0.00641,0.4591,0.8,True,495.4
task_attr_mod_color_184837,dct_shield,native,jpeg75,0.1332,0.01089,0.52118,0.00641,0.25557,0.8,True,495.4
task_attr_mod_color_184837,dct_shield,native,crop_resize0.1,0.6665,0.00877,0.52118,0.00641,1.27883,0.8,True,495.4
task_env_weather_133752,dct_shield,native,identity,0.71584,0.04098,0.71584,0.04098,1.0,0.8,True,494.5
task_env_weather_133752,dct_shield,native,blur1,0.28413,0.00428,0.71584,0.04098,0.39691,0.8,True,494.5
task_env_weather_133752,dct_shield,native,jpeg75,0.13534,0.0037,0.71584,0.04098,0.18906,0.8,True,494.5
task_env_weather_133752,dct_shield,native,crop_resize0.1,0.64714,0.01151,0.71584,0.04098,0.90402,0.8,True,494.5
task_obj_add_13726,dct_shield,native,identity,0.69543,0.06645,0.69543,0.06645,1.0,0.8,True,494.5
task_obj_add_13726,dct_shield,native,blur1,0.30693,0.00074,0.69543,0.06645,0.44135,0.8,True,494.5
task_obj_add_13726,dct_shield,native,jpeg75,0.18972,0.00065,0.69543,0.06645,0.27281,0.8,True,494.5
task_obj_add_13726,dct_shield,native,crop_resize0.1,0.64307,0.00208,0.69543,0.06645,0.92471,0.8,True,494.5
task_obj_add_692065,dct_shield,native,identity,0.39526,0.00475,0.39526,0.00475,1.0,0.8,True,494.6
task_obj_add_692065,dct_shield,native,blur1,0.1292,0.00042,0.39526,0.00475,0.32688,0.8,True,494.6
task_obj_add_692065,dct_shield,native,jpeg75,0.0695,0.00027,0.39526,0.00475,0.17583,0.8,True,494.6
task_obj_add_692065,dct_shield,native,crop_resize0.1,0.58866,0.00626,0.39526,0.00475,1.4893,0.8,True,494.6
task_obj_remove_509477,dct_shield,native,identity,0.44318,0.00813,0.44318,0.00813,1.0,0.8,True,494.7
task_obj_remove_509477,dct_shield,native,blur1,0.19764,0.00397,0.44318,0.00813,0.44595,0.8,True,494.7
task_obj_remove_509477,dct_shield,native,jpeg75,0.11788,0.00098,0.44318,0.00813,0.26598,0.8,True,494.7
task_obj_remove_509477,dct_shield,native,crop_resize0.1,0.67222,0.00189,0.44318,0.00813,1.5168,0.8,True,494.7
task_obj_swap_joint_mask_75733,dct_shield,native,identity,0.65201,0.02386,0.65201,0.02386,1.0,0.8,True,496.1
task_obj_swap_joint_mask_75733,dct_shield,native,blur1,0.295,0.01301,0.65201,0.02386,0.45244,0.8,True,496.1
task_obj_swap_joint_mask_75733,dct_shield,native,jpeg75,0.22752,0.02109,0.65201,0.02386,0.34895,0.8,True,496.1
task_obj_swap_joint_mask_75733,dct_shield,native,crop_resize0.1,0.55399,0.00802,0.65201,0.02386,0.84966,0.8,True,496.1
