image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
task_attr_mod_color_11699,phase,native,identity,0.14534,0.00536,0.14534,0.00536,1.0,0.8,True,500.4
task_attr_mod_color_11699,phase,native,blur1,0.20574,0.00393,0.14534,0.00536,1.41564,0.8,True,500.4
task_attr_mod_color_11699,phase,native,jpeg75,0.18479,0.00325,0.14534,0.00536,1.27149,0.8,True,500.4
task_attr_mod_color_11699,phase,native,crop_resize0.1,0.52281,0.0035,0.14534,0.00536,3.5973,0.8,True,500.4
task_attr_mod_color_6205,phase,native,identity,0.18418,0.05958,0.18418,0.05958,1.0,0.8,True,506.6
task_attr_mod_color_6205,phase,native,blur1,0.23754,0.06989,0.18418,0.05958,1.28973,0.8,True,506.6
task_attr_mod_color_6205,phase,native,jpeg75,0.13642,0.00099,0.18418,0.05958,0.7407,0.8,True,506.6
task_attr_mod_color_6205,phase,native,crop_resize0.1,0.6017,0.02216,0.18418,0.05958,3.26699,0.8,True,506.6
task_env_weather_246440,phase,native,identity,0.35856,0.00422,0.35856,0.00422,1.0,0.8,True,504.3
task_env_weather_246440,phase,native,blur1,0.37062,0.00589,0.35856,0.00422,1.03363,0.8,True,504.3
task_env_weather_246440,phase,native,jpeg75,0.37964,0.01842,0.35856,0.00422,1.05879,0.8,True,504.3
task_env_weather_246440,phase,native,crop_resize0.1,0.63158,0.00982,0.35856,0.00422,1.76144,0.8,True,504.3
task_obj_add_40931,phase,native,identity,0.31649,0.01311,0.31649,0.01311,1.0,0.8,True,505.0
task_obj_add_40931,phase,native,blur1,0.26656,0.0025,0.31649,0.01311,0.84226,0.8,True,505.0
task_obj_add_40931,phase,native,jpeg75,0.25814,0.00358,0.31649,0.01311,0.81565,0.8,True,505.0
task_obj_add_40931,phase,native,crop_resize0.1,0.61355,0.00128,0.31649,0.01311,1.93862,0.8,True,505.0
task_obj_remove_257910,phase,native,identity,0.20658,0.00297,0.20658,0.00297,1.0,0.8,True,503.6
task_obj_remove_257910,phase,native,blur1,0.26712,0.00094,0.20658,0.00297,1.29307,0.8,True,503.6
task_obj_remove_257910,phase,native,jpeg75,0.2498,0.00291,0.20658,0.00297,1.20921,0.8,True,503.6
task_obj_remove_257910,phase,native,crop_resize0.1,0.60029,0.00207,0.20658,0.00297,2.90584,0.8,True,503.6
task_obj_swap_joint_mask_276754,phase,native,identity,0.20339,0.01413,0.20339,0.01413,1.0,0.8,True,504.8
task_obj_swap_joint_mask_276754,phase,native,blur1,0.21824,0.0502,0.20339,0.01413,1.07301,0.8,True,504.8
task_obj_swap_joint_mask_276754,phase,native,jpeg75,0.18762,0.04641,0.20339,0.01413,0.92248,0.8,True,504.8
task_obj_swap_joint_mask_276754,phase,native,crop_resize0.1,0.39585,0.10232,0.20339,0.01413,1.94624,0.8,True,504.8
task_obj_swap_rand_mask_417469,phase,native,identity,0.24339,0.00538,0.24339,0.00538,1.0,0.8,True,115.2
task_obj_swap_rand_mask_417469,phase,native,blur1,0.20813,0.0021,0.24339,0.00538,0.85512,0.8,True,115.2
task_obj_swap_rand_mask_417469,phase,native,jpeg75,0.19159,0.00583,0.24339,0.00538,0.78716,0.8,True,115.2
task_obj_swap_rand_mask_417469,phase,native,crop_resize0.1,0.5984,0.0051,0.24339,0.00538,2.45859,0.8,True,115.2
