image,condition,budget_target,purifier,effect_mean,effect_sd,effect_identity_mean,effect_identity_sd,retention,edit_strength,usable,seconds
task_attr_mod_color_136767,dct_shield,native,identity,0.6049,0.04768,0.6049,0.04768,1.0,0.8,True,495.0
task_attr_mod_color_136767,dct_shield,native,blur1,0.2491,0.01631,0.6049,0.04768,0.4118,0.8,True,495.0
task_attr_mod_color_136767,dct_shield,native,jpeg75,0.13537,0.00715,0.6049,0.04768,0.22379,0.8,True,495.0
task_attr_mod_color_136767,dct_shield,native,crop_resize0.1,0.56041,0.00113,0.6049,0.04768,0.92644,0.8,True,495.0
task_env_weather_112463,dct_shield,native,identity,0.75553,0.108,0.75553,0.108,1.0,0.8,True,494.0
task_env_weather_112463,dct_shield,native,blur1,0.25889,0.01671,0.75553,0.108,0.34266,0.8,True,494.0
task_env_weather_112463,dct_shield,native,jpeg75,0.15172,0.03427,0.75553,0.108,0.20082,0.8,True,494.0
task_env_weather_112463,dct_shield,native,crop_resize0.1,0.71516,0.19524,0.75553,0.108,0.94657,0.8,True,494.0
task_env_weather_63722,dct_shield,native,identity,0.66073,0.05314,0.66073,0.05314,1.0,0.8,True,494.1
task_env_weather_63722,dct_shield,native,blur1,0.28684,0.00502,0.66073,0.05314,0.43413,0.8,True,494.1
task_env_weather_63722,dct_shield,native,jpeg75,0.16691,0.00084,0.66073,0.05314,0.25262,0.8,True,494.1
task_env_weather_63722,dct_shield,native,crop_resize0.1,0.57199,0.0078,0.66073,0.05314,0.8657,0.8,True,494.1
task_obj_add_581286,dct_shield,native,identity,0.7882,0.04963,0.7882,0.04963,1.0,0.8,True,494.1
task_obj_add_581286,dct_shield,native,blur1,0.2037,0.00093,0.7882,0.04963,0.25844,0.8,True,494.1
task_obj_add_581286,dct_shield,native,jpeg75,0.12118,0.00051,0.7882,0.04963,0.15374,0.8,True,494.1
task_obj_add_581286,dct_shield,native,crop_resize0.1,0.68041,0.01122,0.7882,0.04963,0.86324,0.8,True,494.1
task_obj_remove_380621,dct_shield,native,identity,0.74676,0.02912,0.74676,0.02912,1.0,0.8,True,494.4
task_obj_remove_380621,dct_shield,native,blur1,0.42802,0.07427,0.74676,0.02912,0.57317,0.8,True,494.4
task_obj_remove_380621,dct_shield,native,jpeg75,0.16479,0.01125,0.74676,0.02912,0.22068,0.8,True,494.4
task_obj_remove_380621,dct_shield,native,crop_resize0.1,0.64203,0.00472,0.74676,0.02912,0.85976,0.8,True,494.4
task_obj_swap_joint_mask_533428,dct_shield,native,identity,0.60368,0.02363,0.60368,0.02363,1.0,0.8,True,493.7
task_obj_swap_joint_mask_533428,dct_shield,native,blur1,0.37088,0.0372,0.60368,0.02363,0.61436,0.8,True,493.7
task_obj_swap_joint_mask_533428,dct_shield,native,jpeg75,0.32151,0.03723,0.60368,0.02363,0.53259,0.8,True,493.7
task_obj_swap_joint_mask_533428,dct_shield,native,crop_resize0.1,0.60734,0.02714,0.60368,0.02363,1.00606,0.8,True,493.7
