image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.14645,0.95472,27.112,0.54215,0.05409,0.18924,0.82848,20.728,0.3987,0.13105,0.59379,0.04409,36.9
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.22182,0.93499,27.578,0.47695,0.10077,0.26316,0.7461,21.995,0.32429,0.18047,0.53839,0.04179,36.5
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.2609,0.87916,22.455,0.40644,0.13464,0.3638,0.57106,15.793,0.27065,0.26248,0.77646,0.07537,36.5
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.20829,0.98696,39.938,0.64496,0.04293,0.22838,0.83702,21.148,0.65586,0.17375,0.23349,0.01007,36.3
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.1517,0.95474,30.357,0.58494,0.09769,0.30365,0.71223,12.754,0.44977,0.19795,0.51362,0.03035,36.4
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.23669,0.93212,30.215,0.56641,0.04575,0.33302,0.72186,20.504,0.26436,0.14392,0.39786,0.03085,36.6
task_env_weather_133752,phase_gain,instruct-pix2pix,transform the setting to a rainy day,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.25129,0.95547,31.378,0.57255,0.04814,0.29263,0.83736,21.485,0.31744,0.10468,0.30839,0.02698,36.5
task_env_weather_181583,phase_gain,instruct-pix2pix,change the setting to a stormy day,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.26083,0.9133,30.563,0.54048,0.0516,0.66461,0.63877,13.894,0.36619,0.38898,0.28714,0.02964,36.6
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.28684,0.85836,20.162,0.39462,0.10286,0.41299,0.52771,16.695,0.16849,0.20235,0.82745,0.09815,36.4
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,0,32,encoder_target,0.25,none,100,7.5,1.5,20260812,False,0.21987,0.93233,25.266,0.45835,0.08173,0.26029,0.78945,20.513,0.28149,0.13279,0.60906,0.05454,36.5
