alpha_px,step,loss,grad_absmean,grad_zero_frac,c_absmean,c_absmax,pixel_absmean
0.012,0,105.9506,3.979e-02,0.0,0.012,0.012,0.000623
0.012,10,105.9603,3.422e-02,0.0,0.01237,0.084,0.00062
0.012,20,105.9665,3.383e-02,0.0,0.01252,0.084,0.000602
0.012,30,105.9673,3.240e-02,0.0,0.01252,0.084,0.000595
0.012,40,105.9671,3.298e-02,0.0,0.01252,0.084,0.000591
0.012,50,105.9649,3.333e-02,0.0,0.01252,0.084,0.000601
0.012,59,106.1712,3.899e-02,0.0,0.0022,0.096,0.000143
0.05,0,105.9506,3.979e-02,0.0,0.05,0.05,0.002574
0.05,10,106.0846,2.965e-02,0.0,0.05117,0.15,0.002274
0.05,20,106.0999,3.146e-02,0.0,0.05117,0.25,0.002268
0.05,30,106.0797,3.190e-02,0.0,0.05176,0.25,0.002338
0.05,40,106.1105,3.447e-02,0.0,0.05156,0.25,0.002225
0.05,50,106.0811,3.529e-02,0.0,0.05195,0.25,0.002304
0.05,59,106.8407,3.957e-02,0.0,0.00879,0.3,0.000357
0.125,0,105.9506,3.979e-02,0.0,0.125,0.125,0.006326
0.125,10,106.208,3.406e-02,0.0,0.125,0.125,0.005699
0.125,20,106.2556,3.384e-02,0.0,0.12549,0.375,0.00571
0.125,30,106.2383,3.531e-02,0.0,0.125,0.125,0.00585
0.125,40,106.2874,3.175e-02,0.0,0.12549,0.375,0.005559
0.125,50,106.1821,3.497e-02,0.0,0.12549,0.375,0.005819
0.125,59,108.3878,4.354e-02,0.0,0.021,0.5,0.000881
0.25,0,105.9506,3.979e-02,0.0,0.25,0.25,0.012315
0.25,10,106.5855,3.226e-02,0.0,0.2666,1.75,0.011349
0.25,20,106.6341,3.066e-02,0.0,0.28027,2.75,0.011444
0.25,30,106.627,3.208e-02,0.0,0.29541,3.0,0.012766
0.25,40,106.9153,2.979e-02,0.0,0.3042,3.0,0.012691
0.25,50,107.1339,2.633e-02,0.0,0.31689,3.0,0.011842
0.25,59,110.072,3.336e-02,0.0,0.16309,3.0,0.006055
0.5,0,105.9506,3.979e-02,0.0,0.5,0.5,0.023497
0.5,10,109.0933,1.625e-02,0.0,1.19629,3.0,0.039747
0.5,20,108.4816,1.788e-02,0.0,1.54688,3.0,0.049124
0.5,30,108.1722,1.398e-02,0.0,1.68262,3.0,0.051606
0.5,40,107.9739,1.339e-02,0.0,1.85449,3.0,0.053562
0.5,50,107.8625,1.421e-02,0.0,1.86426,3.0,0.05469
0.5,59,107.726,1.311e-02,0.0,1.84668,3.0,0.055452
