loss,L_def,L_fid,defense_mode,edit_shift,attn_masked_l1,attn_ref_l1,attn_suppressed,attn_suppressed_rel,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,proj_k,proj_metric,proj_floor,proj_iters,step,stage,stage_step,lr,grad_norm
174.2069091796875,166.19358825683594,8.013319969177246,suppress_attn_ca,nan,166.19358825683594,166.13946533203125,-0.0541229248046875,-0.0003257680208403364,0.24013319611549377,0.08013319969177246,1.0092004537582397,0.0,0.6138597726821899,26.010408401489258,0.22734448313713074,0.1833389848470688,0.7677077054977417,0.5042276382446289,28.50887680053711,0.4442276358604431,0.0,5.491123199462891,0.6875,0.07943499088287354,0.039178311824798584,5,0,stage2,0,0.001,0.9999999403953552
164.69345092773438,164.69345092773438,0.0,suppress_attn_ca,nan,164.69345092773438,166.13946533203125,1.446014404296875,0.008703617779237473,0.08906097710132599,0.0,0.6012277603149414,0.0,0.6198515892028809,26.750019073486328,0.16253989934921265,0.1074172705411911,0.7964563369750977,0.46203652024269104,30.784439086914062,0.40203651785850525,0.0,3.2155609130859375,0.9682692307692307,0.07870006561279297,0.039178311824798584,4,1,stage2,1,0.001,0.9999999403953552
162.5515594482422,162.5515594482422,0.0,suppress_attn_ca,nan,162.5515594482422,166.13946533203125,3.5879058837890625,0.021595747143031908,0.07167579978704453,0.0,0.5734832882881165,0.0,0.6196863055229187,26.82129669189453,0.15836718678474426,0.10215224325656891,0.7987650632858276,0.44838181138038635,31.05150604248047,0.38838180899620056,0.0,2.9484939575195312,0.9682692307692307,0.07844072580337524,0.039178311824798584,4,2,stage2,2,0.001,0.9999998807907104
161.22125244140625,161.22125244140625,0.0,suppress_attn_ca,nan,161.22125244140625,166.13946533203125,4.918212890625,0.029602917529534034,0.06235254555940628,0.0,0.55210280418396,0.0,0.6194461584091187,26.87093734741211,0.15475305914878845,0.0975879579782486,0.8004037737846375,0.43565401434898376,31.27005386352539,0.375654011964798,0.0,2.7299461364746094,0.9682692307692307,0.07823026180267334,0.039178311824798584,4,3,stage2,3,0.001,1.0
159.5584716796875,159.5584716796875,0.0,suppress_attn_ca,nan,159.5584716796875,166.13946533203125,6.58099365234375,0.03961126057069928,0.05760190635919571,0.0,0.5348703861236572,0.0,0.6200770735740662,26.90788459777832,0.1515929400920868,0.09362728893756866,0.8016754984855652,0.4268381893634796,31.44676399230957,0.3668381869792938,0.0,2.5532360076904297,1.0014423076923076,0.07930821180343628,0.039178311824798584,5,4,stage2,4,0.001,1.0
157.78582763671875,157.78582763671875,0.0,suppress_attn_ca,nan,157.78582763671875,166.13946533203125,8.3536376953125,0.0502808750384364,0.05671259015798569,0.0,0.5409663319587708,0.0,0.6199989318847656,26.908584594726562,0.15249326825141907,0.09466218948364258,0.8014785051345825,0.43328627943992615,31.41443634033203,0.37328627705574036,0.0,2.5855636596679688,0.9682692307692307,0.07749438285827637,0.039178311824798584,4,5,stage2,5,0.001,1.0
156.1613311767578,156.1613311767578,0.0,suppress_attn_ca,nan,156.1613311767578,166.13946533203125,9.978134155273438,0.06005878335609209,0.05431446433067322,0.0,0.5261611938476562,0.0,0.6213878393173218,26.936126708984375,0.14977103471755981,0.09132581949234009,0.8024467825889587,0.42416951060295105,31.556413650512695,0.36416950821876526,0.0,2.4435863494873047,1.0014423076923076,0.07940584421157837,0.039178311824798584,5,6,stage2,6,0.001,0.9999998807907104
154.65342712402344,154.65342712402344,0.0,suppress_attn_ca,nan,154.65342712402344,166.13946533203125,11.486038208007812,0.06913491737229839,0.05521494150161743,0.0,0.5354718565940857,0.0,0.6217259168624878,26.92827033996582,0.15126699209213257,0.0931139588356018,0.8020174503326416,0.43165186047554016,31.48695182800293,0.37165185809135437,0.0,2.5130481719970703,0.9682692307692307,0.07898253202438354,0.039178311824798584,4,7,stage2,7,0.001,1.0
153.43309020996094,153.43309020996094,0.0,suppress_attn_ca,nan,153.43309020996094,166.13946533203125,12.706375122070312,0.0764801734294528,0.05476043373346329,0.0,0.5236725807189941,0.0,0.6233807802200317,26.947391510009766,0.14907962083816528,0.09046979993581772,0.8027676343917847,0.42639780044555664,31.5927677154541,0.36639779806137085,0.0,2.4072322845458984,0.9682692307692307,0.07886600494384766,0.039178311824798584,4,8,stage2,8,0.001,0.9999999403953552
152.92955017089844,152.92955017089844,0.0,suppress_attn_ca,nan,152.92955017089844,166.13946533203125,13.209915161132812,0.07951100080124054,0.05455763638019562,0.0,0.5125232934951782,0.0,0.6246178150177002,26.963502883911133,0.14691831171512604,0.08792352676391602,0.8034501075744629,0.42662057280540466,31.687637329101562,0.36662057042121887,0.0,2.3123626708984375,0.9682692307692307,0.07895338535308838,0.039178311824798584,4,9,stage2,9,0.001,1.0000001192092896
151.5272216796875,151.5272216796875,0.0,suppress_attn_ca,nan,151.5272216796875,166.13946533203125,14.61224365234375,0.087951671345162,0.05435824766755104,0.0,0.5022872090339661,0.0,0.6260653138160706,26.97785186767578,0.14482030272483826,0.08547929674386978,0.8040562868118286,0.42596200108528137,31.77661895751953,0.3659619987010956,0.0,2.2233810424804688,0.9682692307692307,0.07894134521484375,0.039178311824798584,4,10,stage2,10,0.001,0.9999999403953552
150.30758666992188,150.30758666992188,0.0,suppress_attn_ca,nan,150.30758666992188,166.13946533203125,15.831878662109375,0.09529270261264666,0.05419616773724556,0.0,0.49244508147239685,0.0,0.6274082660675049,26.990978240966797,0.14278104901313782,0.08308461308479309,0.8046106100082397,0.4235473573207855,31.864240646362305,0.36354735493659973,0.0,2.1357593536376953,0.9682692307692307,0.07893270254135132,0.039178311824798584,4,11,stage2,11,0.001,0.9999999403953552
149.50628662109375,149.50628662109375,0.0,suppress_attn_ca,nan,149.50628662109375,166.13946533203125,16.6331787109375,0.10011575923695155,0.05413831025362015,0.0,0.483101487159729,0.0,0.6284293532371521,27.00263786315918,0.14089561998844147,0.08087340742349625,0.8051325678825378,0.42172762751579285,31.946142196655273,0.36172762513160706,0.0,2.0538578033447266,0.9682692307692307,0.07887053489685059,0.039178311824798584,4,12,stage2,12,0.001,1.0000001192092896
148.89263916015625,148.89263916015625,0.0,suppress_attn_ca,nan,148.89263916015625,166.13946533203125,17.246826171875,0.10380932752737021,0.05403885990381241,0.0,0.47406595945358276,0.0,0.6292012333869934,27.01312255859375,0.1391514539718628,0.07878866046667099,0.8056057691574097,0.41997987031936646,32.0250244140625,0.35997986793518066,0.0,1.9749755859375,0.9682692307692307,0.07884275913238525,0.039178311824798584,4,13,stage2,13,0.001,1.0000001192092896
148.3296356201172,148.3296356201172,0.0,suppress_attn_ca,nan,148.3296356201172,166.13946533203125,17.809829711914062,0.10719806805878997,0.054069019854068756,0.0,0.4658416509628296,0.0,0.629610538482666,27.02181625366211,0.13760429620742798,0.07693076878786087,0.8059894442558289,0.41840946674346924,32.09623336791992,0.35840946435928345,0.0,1.9037666320800781,0.9682692307692307,0.07847762107849121,0.039178311824798584,4,14,stage2,14,0.001,1.0
147.3651580810547,147.3651580810547,0.0,suppress_attn_ca,nan,147.3651580810547,166.13946533203125,18.774307250976562,0.11300329643806147,0.054182615131139755,0.0,0.4583362340927124,0.0,0.6297563314437866,27.029436111450195,0.1361590325832367,0.07519349455833435,0.806336522102356,0.4165869951248169,32.164512634277344,0.3565869927406311,0.0,1.8354873657226562,0.9682692307692307,0.07810676097869873,0.039178311824798584,4,15,stage2,15,0.001,0.9999999403953552
146.50672912597656,146.50672912597656,0.0,suppress_attn_ca,nan,146.50672912597656,166.13946533203125,19.632736206054688,0.11817021420418372,0.054251667112112045,0.0,0.45156437158584595,0.0,0.6295145750045776,27.036230087280273,0.1348521113395691,0.07361379265785217,0.806659460067749,0.41411474347114563,32.22810363769531,0.35411474108695984,0.0,1.7718963623046875,0.9682692307692307,0.07792305946350098,0.039178311824798584,4,16,stage2,16,0.001,1.0
