image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31574,0.95321,25.291,0.45106,0.08727,0.41117,0.69541,17.318,0.27636,0.23592,0.94902,0.05438,0.87843,0.86207,False,0.837,256.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37242,0.92635,25.728,0.37423,0.15398,0.49169,0.60351,15.014,0.22557,0.26694,0.75005,0.05171,0.93211,0.9234,False,0.837,186.2
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43257,0.88931,21.453,0.32322,0.20583,0.64162,0.41398,14.223,0.21041,0.33768,0.76471,0.08459,0.91765,0.8528,False,0.837,187.2
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39619,0.98,34.328,0.42385,0.0735,0.31868,0.70058,15.855,0.57313,0.22685,0.66596,0.01921,0.93148,0.92334,False,0.837,186.7
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30798,0.95272,28.49,0.4983,0.12247,0.48157,0.58358,11.61,0.38454,0.27584,0.80349,0.03763,0.89069,0.84637,False,0.837,187.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42448,0.93775,29.733,0.4911,0.07313,0.74534,0.41127,11.643,0.15136,0.33108,0.52817,0.03261,0.57406,0.57236,True,0.837,187.8
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40511,0.86708,19.77,0.28341,0.14167,0.60666,0.26482,13.977,0.1294,0.35201,0.97647,0.10269,0.88908,0.85229,False,0.837,188.0
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37232,0.943,24.65,0.38567,0.09456,0.49105,0.61156,16.907,0.22095,0.28286,0.67161,0.05855,0.88992,0.8279,True,0.837,188.1
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46671,0.90743,25.18,0.37336,0.13683,0.53847,0.3939,15.554,0.22632,0.36185,0.60006,0.05508,0.87723,0.71682,True,0.837,187.7
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37574,0.94143,25.198,0.49023,0.10384,0.48201,0.50089,10.257,0.32333,0.27569,0.96078,0.05497,0.81518,0.77069,True,0.837,188.2
