image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,4.0,100,0,1000,latent_norm,1.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52771,0.9329,24.431,0.26667,0.1217,0.60044,0.46885,9.794,0.1395,0.33102,0.71307,0.06004,0.75686,0.67401,True,0.837,594.5
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,4.0,100,0,1000,latent_norm,1.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57924,0.93783,27.523,0.31745,0.08494,0.84989,0.29897,10.032,0.14824,0.37266,0.59275,0.04206,0.54397,0.56751,True,0.837,586.9
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,4.0,100,0,1000,latent_norm,1.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49632,0.83708,23.502,0.23516,0.1542,0.68917,0.46028,12.127,0.01142,0.42985,0.94411,0.06682,0.75234,0.85991,False,0.837,592.3
