image,condition,budget_target,mode,q_alg,radius,steps,unreachable,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,edit_lpips,edit_strength,total_seconds
cat_00,dct_shield,,aligned,0.95,0.265625,1000,False,0.29461,0.03549,40.026,0.98532,0.14398,0.00997,0.36211,0.7,135.4
person_c_00,dct_shield,,aligned,0.95,1.375,1000,False,0.52262,0.03556,29.635,0.87176,0.33282,0.03298,0.541,0.7,92.6
