image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp_rand,instruct-pix2pix,turn the color of potted plant to pink,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03776,0.98484,30.231,0.6123,0.00997,0.05478,0.97002,27.637,0.52952,0.01889,0.42852,0.03079,0.99833,0.99698,False,0.837,56.6
task_attr_mod_color_136767,warp_rand,instruct-pix2pix,turn the color of astronaut to pink,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02559,0.98535,31.157,0.64059,0.00952,0.04443,0.96574,29.135,0.55388,0.02428,0.44506,0.02768,0.99742,0.99703,False,0.837,46.6
task_attr_mod_color_184837,warp_rand,instruct-pix2pix,turn the color of frame to pink,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03194,0.97626,28.08,0.56275,0.02132,0.05629,0.94371,25.927,0.47547,0.03991,0.37008,0.03944,0.997,0.99563,False,0.837,46.8
task_attr_mod_color_32648,warp_rand,instruct-pix2pix,turn the color of potion bottle to orange,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.0302,0.99635,41.432,0.80461,0.01308,0.03308,0.98884,36.342,0.7982,0.02012,0.35397,0.00848,0.99886,0.99693,False,0.837,46.7
task_attr_mod_color_6205,warp_rand,instruct-pix2pix,turn the color of toolbox to red,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02416,0.98854,34.657,0.70738,0.00797,0.0323,0.97752,32.736,0.66465,0.0196,0.3284,0.0185,0.99903,0.99647,False,0.837,46.7
task_env_weather_112463,warp_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.01979,0.99063,36.286,0.76921,0.00709,0.08039,0.93688,27.421,0.57393,0.03879,0.30893,0.01534,0.99153,0.98781,False,0.837,46.8
task_env_weather_246440,warp_rand,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02998,0.96745,24.769,0.5346,0.0154,0.13343,0.88331,23.377,0.3724,0.04937,0.59562,0.05775,0.99183,0.99001,False,0.837,46.6
task_env_weather_63722,warp_rand,instruct-pix2pix,change the setting to a snowy landscape,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04577,0.98174,29.501,0.58264,0.01816,0.07862,0.95627,26.809,0.44561,0.02618,0.42716,0.03349,0.98919,0.99363,False,0.837,46.6
task_obj_add_40931,warp_rand,instruct-pix2pix,Add the blood on snout,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04567,0.98118,30.424,0.62728,0.0137,0.07804,0.94526,26.867,0.50074,0.02911,0.38004,0.03012,0.99703,0.99074,False,0.837,46.8
task_obj_remove_380621,warp_rand,instruct-pix2pix,Remove iceberg,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.04307,0.97875,28.991,0.66778,0.03117,0.08511,0.9255,24.139,0.49445,0.03913,0.59849,0.03552,0.9977,0.99409,False,0.837,46.8
task_obj_swap_joint_mask_276754,warp_rand,instruct-pix2pix,Replace the satellite dish with rocket,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.08592,0.95159,28.348,0.47784,0.02847,0.03526,0.98386,32.288,0.55828,0.05071,0.53778,0.03825,0.99403,0.99183,False,0.837,46.8
task_obj_swap_joint_mask_533428,warp_rand,instruct-pix2pix,Replace the samurai armor with red jacket,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.03767,0.97821,29.323,0.60263,0.01386,0.13376,0.88091,20.934,0.4811,0.06638,0.47257,0.03418,0.99213,0.99389,False,0.837,46.8
task_obj_swap_rand_mask_417469,warp_rand,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.5,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,16,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.02653,0.98008,29.235,0.65534,0.012,0.04824,0.95503,27.421,0.55398,0.01889,0.50431,0.03453,0.99402,0.98964,False,0.837,46.8
