image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield,instruct-pix2pix,turn the color of potted plant to pink,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49719,0.81718,27.87,0.44285,0.06799,0.5535,0.55332,10.999,0.20092,0.30637,0.39469,0.04041,0.77589,0.7564,True,0.837,183.8
task_attr_mod_color_136767,dct_shield,instruct-pix2pix,turn the color of astronaut to pink,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45308,0.81078,28.334,0.47553,0.06657,0.63175,0.27082,7.383,0.0265,0.41278,0.30266,0.03831,0.72627,0.8435,False,0.837,174.0
task_attr_mod_color_184837,dct_shield,instruct-pix2pix,turn the color of frame to pink,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38478,0.90792,27.679,0.55369,0.04257,0.60984,0.46191,13.672,0.26185,0.33134,0.34797,0.04131,0.87975,0.86814,False,0.837,173.7
task_attr_mod_color_32648,dct_shield,instruct-pix2pix,turn the color of potion bottle to orange,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.6099,0.68027,29.25,0.19841,0.1301,0.60442,0.41783,10.759,0.07859,0.38667,0.27674,0.03447,0.77609,0.71857,True,0.837,173.4
task_attr_mod_color_6205,dct_shield,instruct-pix2pix,turn the color of toolbox to red,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53225,0.80234,28.063,0.42668,0.07349,0.74866,0.1906,6.473,0.24207,0.74376,0.32764,0.03952,0.53239,0.45975,True,0.837,173.6
task_env_weather_112463,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58324,0.82956,28.022,0.4542,0.05738,0.87267,0.32492,10.229,0.18986,0.37893,0.2783,0.03971,0.55603,0.57653,True,0.837,173.7
task_env_weather_246440,dct_shield,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29042,0.91262,27.084,0.56836,0.0229,0.50891,0.39012,15.788,0.13783,0.27491,0.33277,0.04424,0.9231,0.87461,False,0.837,173.4
task_env_weather_63722,dct_shield,instruct-pix2pix,change the setting to a snowy landscape,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48907,0.83524,28.209,0.47098,0.05905,0.681,0.35498,12.555,0.04613,0.46839,0.29729,0.03887,0.61394,0.64501,True,0.837,173.5
task_obj_add_40931,dct_shield,instruct-pix2pix,Add the blood on snout,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45491,0.89678,28.349,0.54989,0.06674,0.62409,0.39336,14.861,0.27869,0.40117,0.27981,0.03824,0.80336,0.67678,True,0.837,173.5
task_obj_remove_380621,dct_shield,instruct-pix2pix,Remove iceberg,,1.2,False,0.0,0.12,inf,0,32,16,0.5,1.0,1000,encoder_target,0.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.541,0.83628,28.199,0.4691,0.10891,0.72996,0.23543,7.969,0.0416,0.38957,0.28567,0.03891,0.73249,0.7111,True,0.837,173.7
