condition,purifier,n_images,effect,floor,net_gain,net_gain_sd,wins_over_floor
dct_e14|dct_shield,adverse_cleaner,12,0.44832,0.16067,0.28764,0.07517,12
dct_e14|dct_shield,blur1,12,0.32228,0.19131,0.13097,0.04663,12
dct_e14|dct_shield,crop_resize0.1,12,0.61689,0.51468,0.10221,0.06276,12
dct_e14|dct_shield,gridpure,12,0.38064,0.22193,0.15871,0.05245,12
dct_e14|dct_shield,identity,12,0.66153,0.0,0.66153,0.0915,12
dct_e14|dct_shield,jpeg30,12,0.24715,0.22978,0.01737,0.01695,11
dct_e14|dct_shield,jpeg75,12,0.22566,0.11513,0.11054,0.05429,12
dct_e14|dct_shield,jpeg_then_resize75,12,0.21528,0.18415,0.03113,0.03422,11
dct_e18|dct_shield,adverse_cleaner,13,0.50532,0.15846,0.34686,0.08118,13
dct_e18|dct_shield,blur1,13,0.34159,0.18694,0.15465,0.04787,13
dct_e18|dct_shield,crop_resize0.1,13,0.62914,0.5193,0.10984,0.06034,13
dct_e18|dct_shield,gridpure,13,0.44512,0.21938,0.22573,0.05266,13
dct_e18|dct_shield,identity,13,0.68101,0.0,0.68101,0.08624,13
dct_e18|dct_shield,jpeg30,13,0.25963,0.22774,0.03189,0.03026,12
dct_e18|dct_shield,jpeg75,13,0.30266,0.1125,0.19016,0.05426,13
dct_e18|dct_shield,jpeg_then_resize75,13,0.23359,0.1802,0.05339,0.04291,13
dct_y_e14|dct_shield_y,adverse_cleaner,12,0.41952,0.16701,0.25251,0.0679,12
dct_y_e14|dct_shield_y,blur1,12,0.21727,0.19222,0.02505,0.02117,11
dct_y_e14|dct_shield_y,crop_resize0.1,12,0.59752,0.5398,0.05771,0.03374,12
dct_y_e14|dct_shield_y,gridpure,12,0.36136,0.23012,0.13124,0.04132,12
dct_y_e14|dct_shield_y,identity,12,0.54926,0.0,0.54926,0.11651,12
dct_y_e14|dct_shield_y,jpeg30,12,0.25463,0.23997,0.01466,0.01386,11
dct_y_e14|dct_shield_y,jpeg75,12,0.19776,0.11683,0.08093,0.03364,12
dct_y_e14|dct_shield_y,jpeg_then_resize75,12,0.20561,0.18758,0.01802,0.02594,10
dct_y_q85|dct_shield_y,adverse_cleaner,13,0.5967,0.15846,0.43823,0.10689,13
dct_y_q85|dct_shield_y,blur1,13,0.26718,0.18694,0.08024,0.06661,13
dct_y_q85|dct_shield_y,crop_resize0.1,13,0.61467,0.5193,0.09537,0.05223,13
dct_y_q85|dct_shield_y,identity,13,0.66356,0.0,0.66356,0.07747,13
dct_y_q85|dct_shield_y,jpeg30,13,0.28085,0.22774,0.05312,0.02483,13
dct_y_q85|dct_shield_y,jpeg75,13,0.54493,0.1125,0.43244,0.07966,13
dct_y_q85|dct_shield_y,jpeg_then_resize75,13,0.26896,0.1802,0.08877,0.06029,13
g_rpi|phase,adverse_cleaner,13,0.50937,0.15846,0.35091,0.10521,13
g_rpi|phase,blur1,13,0.30425,0.18694,0.11731,0.05849,13
g_rpi|phase,crop_resize0.1,13,0.63959,0.5193,0.12029,0.05273,13
g_rpi|phase,identity,13,0.57413,0.0,0.57413,0.09424,13
g_rpi|phase,jpeg30,13,0.34809,0.22774,0.12035,0.0515,13
g_rpi|phase,jpeg75,13,0.45494,0.1125,0.34245,0.05711,13
g_rpi|phase,jpeg_then_resize75,13,0.30052,0.1802,0.12032,0.04133,13
ours_add|phase_gain,adverse_cleaner,13,0.53936,0.15846,0.3809,0.11973,13
ours_add|phase_gain,blur1,13,0.3053,0.18694,0.11836,0.04174,13
ours_add|phase_gain,crop_resize0.1,13,0.60979,0.5193,0.09049,0.04252,13
ours_add|phase_gain,gridpure,13,0.4492,0.21938,0.22982,0.09877,13
ours_add|phase_gain,identity,13,0.67095,0.0,0.67095,0.08693,13
ours_add|phase_gain,jpeg30,13,0.37403,0.22774,0.14629,0.05563,13
ours_add|phase_gain,jpeg75,13,0.47427,0.1125,0.36178,0.06881,13
ours_add|phase_gain,jpeg_then_resize75,13,0.30726,0.1802,0.12707,0.03814,13
ours_nonadd|phase_gain,adverse_cleaner,12,0.47275,0.15517,0.31758,0.12434,12
ours_nonadd|phase_gain,blur1,12,0.31215,0.18722,0.12493,0.04844,12
ours_nonadd|phase_gain,crop_resize0.1,12,0.5842,0.51775,0.06645,0.04183,12
ours_nonadd|phase_gain,gridpure,12,0.37418,0.20901,0.16518,0.09382,12
ours_nonadd|phase_gain,identity,12,0.56771,0.0,0.56771,0.11468,12
ours_nonadd|phase_gain,jpeg30,12,0.36469,0.22389,0.14079,0.05552,12
ours_nonadd|phase_gain,jpeg75,12,0.38419,0.11166,0.27253,0.08892,12
ours_nonadd|phase_gain,jpeg_then_resize75,12,0.30089,0.18328,0.11761,0.03644,12
qd85_r15|phase_gain,adverse_cleaner,12,0.55474,0.16701,0.38773,0.12135,12
qd85_r15|phase_gain,blur1,12,0.3598,0.19222,0.16758,0.04719,12
qd85_r15|phase_gain,crop_resize0.1,12,0.63732,0.5398,0.09752,0.04526,12
qd85_r15|phase_gain,identity,12,0.58224,0.0,0.58224,0.07233,12
qd85_r15|phase_gain,jpeg30,12,0.44777,0.23997,0.2078,0.05122,12
qd85_r15|phase_gain,jpeg75,12,0.58003,0.11683,0.4632,0.08456,12
qd85_r15|phase_gain,jpeg_then_resize75,12,0.35224,0.18758,0.16466,0.03909,12
qd85_r20|phase_gain,adverse_cleaner,13,0.59001,0.15846,0.43154,0.11726,13
qd85_r20|phase_gain,blur1,13,0.37455,0.18694,0.18761,0.05842,13
qd85_r20|phase_gain,crop_resize0.1,13,0.62907,0.5193,0.10977,0.05084,13
qd85_r20|phase_gain,identity,13,0.61718,0.0,0.61718,0.07979,13
qd85_r20|phase_gain,jpeg30,13,0.4652,0.22774,0.23747,0.05814,13
qd85_r20|phase_gain,jpeg75,13,0.60557,0.1125,0.49307,0.09042,13
qd85_r20|phase_gain,jpeg_then_resize75,13,0.36334,0.1802,0.18315,0.04722,13
y_q85_e10|dct_shield_y,adverse_cleaner,13,0.5967,0.15846,0.43823,0.10689,13
y_q85_e10|dct_shield_y,blur1,13,0.26718,0.18694,0.08024,0.06661,13
y_q85_e10|dct_shield_y,crop_resize0.1,13,0.61467,0.5193,0.09537,0.05223,13
y_q85_e10|dct_shield_y,identity,13,0.66356,0.0,0.66356,0.07747,13
y_q85_e10|dct_shield_y,jpeg30,13,0.28085,0.22774,0.05312,0.02483,13
y_q85_e10|dct_shield_y,jpeg75,13,0.54493,0.1125,0.43244,0.07966,13
y_q85_e10|dct_shield_y,jpeg_then_resize75,13,0.26896,0.1802,0.08877,0.06029,13
