loss,L_def,L_fid,defense_mode,edit_shift,shared_mass,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,step,stage,stage_step,lr,grad_norm
0.0647428035736084,0.0647428035736084,0.0,targeted_attn,nan,0.9352571964263916,8.996543101602583e-07,0.0,1.977076863113325e-06,0.0,2.378225326538086e-05,120.0,6.376098260485463e-11,6.376098260485463e-11,0.9999997615814209,2.378225326538086e-05,120.0,0.0,0.0,0.0,0,default,0,0.1,0.00022549115237779915
0.06430641561746597,0.06430641561746597,0.0,targeted_attn,nan,0.9356935620307922,0.004053699318319559,0.0,0.02483716420829296,0.0,0.07562950253486633,43.755523681640625,0.001601050142198801,0.001601050142198801,0.9984773397445679,0.07562950253486633,43.755523681640625,0.01562950387597084,0.0,0.0,1,default,1,0.1,0.00031880615279078484
0.06398289650678635,0.06398289650678635,0.0,targeted_attn,nan,0.9360170960426331,0.007891382090747356,0.0,0.04356908053159714,0.0,0.13927429914474487,38.754146575927734,0.0048111798241734505,0.0048111798241734505,0.9954296946525574,0.13927429914474487,38.754146575927734,0.07927429676055908,0.0,0.0,2,default,2,0.1,0.00019526675168890506
0.06367568671703339,0.06367568671703339,0.0,targeted_attn,nan,0.9363242983818054,0.0118465106934309,0.0,0.058312319219112396,0.0,0.20536485314369202,35.96586990356445,0.00907062366604805,0.00907062366604805,0.9916133880615234,0.20536485314369202,35.96586990356445,0.14536485075950623,0.0,0.0,3,default,3,0.1,0.00020726358343381435
0.06348080188035965,0.06348080188035965,0.0,targeted_attn,nan,0.936519205570221,0.015338040888309479,0.0,0.07144922018051147,0.0,0.2521456778049469,34.07778549194336,0.013931727036833763,0.013931727036833763,0.987350583076477,0.2521456778049469,34.07778549194336,0.1921456754207611,0.0,0.0,4,default,4,0.1,0.000693354697432369
0.06328097730875015,0.06328097730875015,0.0,targeted_attn,nan,0.9367190003395081,0.018102550879120827,0.0,0.08332400768995285,0.0,0.30553725361824036,32.6456184387207,0.018848804756999016,0.018848804756999016,0.982740581035614,0.30553725361824036,32.6456184387207,0.24553725123405457,0.0,1.3543815612792969,5,default,5,0.1,0.00017015870253089815
0.0630887895822525,0.0630887895822525,0.0,targeted_attn,nan,0.9369112253189087,0.020179804414510727,0.0,0.0945601835846901,0.0,0.3521895706653595,31.491561889648438,0.023587100207805634,0.023587100207805634,0.9778051376342773,0.3521895706653595,31.491561889648438,0.2921895682811737,0.0,2.5084381103515625,6,default,6,0.1,0.00022619697847403586
0.0629093199968338,0.0629093199968338,0.0,targeted_attn,nan,0.9370906949043274,0.021850161254405975,0.0,0.10511207580566406,0.0,0.3917410671710968,30.528911590576172,0.02797342836856842,0.02797342836856842,0.9725965261459351,0.3917410671710968,30.528911590576172,0.331741064786911,0.0,3.471088409423828,7,default,7,0.1,0.00018824874132405967
0.06275859475135803,0.06275859475135803,0.0,targeted_attn,nan,0.9372414350509644,0.023251693695783615,0.0,0.11564420908689499,0.0,0.43167662620544434,29.70543098449707,0.032141074538230896,0.032141074538230896,0.967116117477417,0.43167662620544434,29.70543098449707,0.37167662382125854,0.0,4.29456901550293,8,default,8,0.1,0.00020707814837805927
0.06264325976371765,0.06264325976371765,0.0,targeted_attn,nan,0.93735671043396,0.024501267820596695,0.0,0.12647119164466858,0.0,0.46707475185394287,28.989999771118164,0.036222536116838455,0.036222536116838455,0.9613970518112183,0.46707475185394287,28.989999771118164,0.4070747494697571,0.0,5.010000228881836,9,default,9,0.1,0.00019513645383995026
0.06248832866549492,0.06248832866549492,0.0,targeted_attn,nan,0.937511682510376,0.025637121871113777,0.0,0.13724812865257263,0.0,0.5012107491493225,28.359699249267578,0.04027099907398224,0.04027099907398224,0.9554445147514343,0.5012107491493225,28.359699249267578,0.4412107467651367,0.0,5.640300750732422,10,default,10,0.1,0.00019311325741000473
0.06232059746980667,0.06232059746980667,0.0,targeted_attn,nan,0.9376794099807739,0.026966813951730728,0.0,0.14843499660491943,0.0,0.539995014667511,27.79319953918457,0.044380467385053635,0.044380467385053635,0.9491877555847168,0.539995014667511,27.79319953918457,0.4799950122833252,0.0,6.20680046081543,11,default,11,0.1,0.00025771689251996577
0.062155090272426605,0.062155090272426605,0.0,targeted_attn,nan,0.9378449320793152,0.02841414138674736,0.0,0.1598232388496399,0.0,0.581612229347229,27.276630401611328,0.04863039776682854,0.04863039776682854,0.942645251750946,0.581612229347229,27.276630401611328,0.5216122269630432,0.0,6.723369598388672,12,default,12,0.1,0.00022633511980529875
0.062013499438762665,0.062013499438762665,0.0,targeted_attn,nan,0.9379864931106567,0.029952693730592728,0.0,0.17108431458473206,0.0,0.6170258522033691,26.8157958984375,0.053026556968688965,0.053026556968688965,0.9360133409500122,0.6170258522033691,26.8157958984375,0.5570258498191833,0.0,7.1842041015625,13,default,13,0.1,0.0003842982987407595
