image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06305,0.96424,28.68,0.58073,0.04062,0.09192,0.92444,24.117,0.46048,0.04328,0.49618,0.03681,37.1
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.08421,0.90499,23.847,0.43995,0.0948,0.16772,0.78162,19.768,0.31362,0.11436,0.54147,0.06422,37.0
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06689,0.9599,31.34,0.62356,0.08431,0.09229,0.93359,28.181,0.53858,0.0765,0.4179,0.0271,37.2
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.06467,0.95808,31.713,0.60009,0.03508,0.12475,0.91094,27.559,0.41673,0.04031,0.32708,0.02596,37.2
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10022,0.90051,22.488,0.44507,0.07204,0.29145,0.68212,18.849,0.22016,0.11703,0.67829,0.07509,37.1
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.08982,0.92825,27.645,0.48223,0.07937,0.18831,0.79117,22.09,0.25279,0.09349,0.52215,0.04147,37.2
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.1821,0.90565,26.077,0.45237,0.07738,0.23527,0.78461,21.822,0.29844,0.09254,0.66883,0.04967,37.2
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09246,0.93634,26.876,0.59791,0.06046,0.14075,0.87191,23.402,0.46768,0.05498,0.52221,0.04531,37.2
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.07472,0.96725,33.954,0.67804,0.05391,0.11723,0.92928,29.387,0.46692,0.05706,0.32459,0.02006,37.2
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10208,0.91423,26.291,0.46616,0.06884,0.1667,0.81883,22.34,0.32282,0.06372,0.51326,0.04847,37.2
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.18446,0.87057,28.235,0.36222,0.11111,0.1522,0.85182,22.498,0.28511,0.16441,0.39214,0.03875,37.2
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.13538,0.94504,33.028,0.52876,0.08469,0.22376,0.82908,21.534,0.32507,0.17544,0.35076,0.02231,37.2
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.6,False,0.0,0.12,0.4,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09548,0.9425,29.974,0.53901,0.04976,0.13967,0.85314,23.964,0.38629,0.0639,0.47673,0.03172,37.2
