image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,gain_only,instruct-pix2pix,turn the color of potted plant to pink,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52959,0.92776,24.299,0.26633,0.1334,0.53592,0.56919,11.738,0.16242,0.28082,0.65469,0.06096,0.7847,0.81617,True,0.837,405.2
task_attr_mod_color_136767,gain_only,instruct-pix2pix,turn the color of astronaut to pink,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4933,0.91134,25.292,0.29385,0.171,0.63377,0.2755,7.39,0.03019,0.39009,0.58528,0.05438,0.73602,0.83032,True,0.837,399.1
task_attr_mod_color_184837,gain_only,instruct-pix2pix,turn the color of frame to pink,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51854,0.88219,20.983,0.26427,0.22102,0.78269,0.13586,6.156,0.03306,0.67032,0.6367,0.0893,0.70022,0.63123,True,0.837,399.1
task_attr_mod_color_32648,gain_only,instruct-pix2pix,turn the color of potion bottle to orange,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56668,0.93319,30.441,0.15859,0.14528,0.62257,0.3957,10.731,0.07112,0.38551,0.66667,0.03006,0.75316,0.73759,True,0.837,398.6
task_attr_mod_color_6205,gain_only,instruct-pix2pix,turn the color of toolbox to red,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54428,0.93181,26.804,0.29743,0.15601,0.73704,0.21075,6.698,0.46639,0.64014,0.90894,0.04569,0.56417,0.48861,True,0.837,398.7
task_env_weather_112463,gain_only,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57925,0.93333,27.495,0.32169,0.09482,0.8545,0.31047,10.319,0.17664,0.3729,0.60727,0.04219,0.55792,0.56927,True,0.837,398.3
task_env_weather_246440,gain_only,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45922,0.87932,20.142,0.26767,0.15771,0.62514,0.24852,14.11,0.11887,0.3693,0.90196,0.09838,0.87179,0.85291,False,0.837,398.6
task_env_weather_63722,gain_only,instruct-pix2pix,change the setting to a snowy landscape,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52486,0.91736,23.723,0.26643,0.12569,0.67903,0.34392,12.485,0.03648,0.46506,0.62281,0.06514,0.60808,0.61939,True,0.837,398.2
task_obj_add_40931,gain_only,instruct-pix2pix,Add the blood on snout,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52023,0.90461,24.109,0.32463,0.17553,0.75492,0.21215,11.68,0.09939,0.39777,0.59615,0.06231,0.64148,0.69175,True,0.837,398.3
task_obj_remove_380621,gain_only,instruct-pix2pix,Remove iceberg,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5489,0.9344,25.216,0.32618,0.14153,0.73681,0.24493,7.975,0.04436,0.38502,0.88828,0.05485,0.73918,0.71948,True,0.837,398.2
task_obj_swap_joint_mask_276754,gain_only,instruct-pix2pix,Replace the satellite dish with rocket,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49832,0.83714,22.402,0.2274,0.17479,0.68691,0.45918,12.154,0.011,0.41328,0.8468,0.07584,0.85767,0.89926,False,0.837,398.0
task_obj_swap_joint_mask_533428,gain_only,instruct-pix2pix,Replace the samurai armor with red jacket,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5224,0.8945,22.664,0.27732,0.15031,0.6399,0.24316,9.281,0.05657,0.28061,0.6596,0.07359,0.62519,0.61169,True,0.837,397.7
task_obj_swap_rand_mask_417469,gain_only,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.2,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52864,0.89431,24.421,0.27021,0.13055,0.77896,0.22177,8.856,0.04606,0.55291,0.83151,0.06011,0.3872,0.51347,True,0.837,334.8
