image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield_y,instruct-pix2pix,turn the color of potted plant to pink,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.68925,0.70555,17.467,0.14749,0.19313,0.67895,0.38281,8.302,0.07881,0.37525,0.86395,0.13386,0.72696,0.69985,True,0.837,398.7
task_attr_mod_color_136767,dct_shield_y,instruct-pix2pix,turn the color of astronaut to pink,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.64732,0.63876,17.735,0.157,0.21756,0.62673,0.24424,6.684,0.02353,0.44767,0.82854,0.12979,0.76277,0.84871,False,0.837,386.2
task_attr_mod_color_184837,dct_shield_y,instruct-pix2pix,turn the color of frame to pink,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.63765,0.84,17.229,0.21717,0.17849,0.78216,0.13597,6.195,0.0325,0.66853,0.75686,0.13759,0.6953,0.63887,True,0.837,387.4
task_attr_mod_color_32648,dct_shield_y,instruct-pix2pix,turn the color of potion bottle to orange,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.7123,0.42699,18.68,0.03899,0.33398,0.62083,0.41599,10.025,0.06593,0.39111,0.82383,0.11641,0.80464,0.68283,True,0.837,391.0
task_attr_mod_color_6205,dct_shield_y,instruct-pix2pix,turn the color of toolbox to red,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.70557,0.68876,17.767,0.13692,0.22407,0.72714,0.18861,6.531,0.59159,0.78455,0.76022,0.12932,0.54781,0.47452,True,0.837,391.4
task_env_weather_112463,dct_shield_y,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.74927,0.73719,17.468,0.15269,0.18189,0.91296,0.27263,10.501,0.15286,0.40649,0.80942,0.13384,0.55585,0.5878,True,0.837,387.8
task_env_weather_246440,dct_shield_y,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53224,0.8348,17.509,0.22236,0.12347,0.63738,0.30177,12.961,0.07288,0.28586,0.94983,0.13322,0.78894,0.71676,True,0.837,391.4
task_env_weather_63722,dct_shield_y,instruct-pix2pix,change the setting to a snowy landscape,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.68503,0.73495,17.475,0.16331,0.18071,0.69318,0.31079,12.007,0.02755,0.48584,0.79055,0.13373,0.61426,0.60676,True,0.837,387.5
task_obj_add_40931,dct_shield_y,instruct-pix2pix,Add the blood on snout,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.6333,0.76872,17.908,0.20219,0.21296,0.72641,0.13876,9.508,0.04699,0.41326,0.83929,0.12724,0.48115,0.53525,True,0.837,391.1
task_obj_remove_380621,dct_shield_y,instruct-pix2pix,Remove iceberg,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1000,encoder_target,0.0,none,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.69295,0.73799,17.773,0.15446,0.22478,0.75505,0.2299,7.643,0.04289,0.39285,0.83249,0.12923,0.72178,0.70166,True,0.837,391.4
