run,site,purify,strength,n,net_lpips,dclip,dclip_sd,dclip_fail,dsiglip,dsiglip_sd,dsiglip_fail,undo_frac_clip,undo_frac_siglip
e10_eot_all,P,blur,0.0,6,0.08804453536868095,0.006225094199180603,0.011178410575819222,False,0.0014464108583827813,0.005010083411826683,False,-0.614177688475315,-0.05233883123295127
e10_eot_all,P,blur,0.5,6,0.0381368932624658,0.003052622079849243,0.012429301034152813,False,0.004814742133021355,0.011938139685759906,False,-0.30117654653921533,-0.17422295640959246
e10_eot_all,P,blur,1.0,6,0.0066446661949157715,0.0026585335532824197,0.016505175736604538,False,0.009634442006548246,0.02627326630739841,False,-0.2622951461046141,-0.34862531021662024
e10_eot_all,P,blur,1.5,6,0.004576568802197774,0.005940747757752736,0.022809226304046727,False,0.008619198109954596,0.021813583389282645,False,-0.5861236165955133,-0.3118883909269583
e10_eot_all,P,blur,2.0,6,0.004902079701423645,-0.00012673437595367432,0.023230932447353407,False,0.0010050369116167228,0.026287334052513562,False,0.012503814975817524,-0.036367576332224545
e10_eot_all,P,blur,3.0,6,0.0037351598342259726,-0.009730967382589975,0.026873586850626997,False,-0.0052206930704414845,0.02477034337129885,False,0.960072709334178,0.18891241859065394
e10_eot_all,P,jpeg,30.0,6,0.004856608808040619,0.000888042151927948,0.011696715036950458,False,0.002559706879158815,0.010992489435521125,False,-0.08761565025177347,-0.09262379743464492
e10_eot_all,P,jpeg,45.0,6,0.020711722473303478,0.005217323700586955,0.013097781703690154,False,0.005997350439429283,0.016987442033863813,False,-0.5147494492333555,-0.21701600943809132
e10_eot_all,P,jpeg,60.0,6,0.017503506193558376,0.0039049784342447915,0.011714224239169457,False,0.005945395678281784,0.019862247549590373,False,-0.3852713792838847,-0.21513601008680905
e10_eot_all,P,jpeg,75.0,6,0.019406312455733616,0.005086824297904968,0.011117997885306584,False,0.013741271725545326,0.02230795069510639,False,-0.5018741707360146,-0.49723223356714513
e10_eot_all,P,jpeg,85.0,6,0.021263080338637035,0.008893887201944986,0.010871743835615528,False,0.013006997449944416,0.012800404279579871,False,-0.8774850481732095,-0.47066228826658024
e10_eot_all,P,jpeg,95.0,6,0.05446052365005016,0.006130407253901164,0.007850611792898895,False,0.00043680906916658085,0.008044132880631728,False,-0.6048357239491927,-0.015806073370946683
e10_eot_all,P,noise,0.0,6,0.08804453536868095,0.006225094199180603,0.011178410575819222,False,0.0014464108583827813,0.005010083411826683,False,-0.614177688475315,-0.05233883123295127
e10_eot_all,P,noise,0.01,6,0.0518334349617362,0.006511121988296509,0.014803816225608113,False,0.0010478634697695572,0.005023609708969812,False,-0.6423976447905198,-0.03791726879094652
e10_eot_all,P,noise,0.02,6,0.030495939155419666,0.006570850809415181,0.011454127096388163,False,0.00759590199838082,0.011900040312538105,False,-0.6482905852210197,-0.2748600997090135
e10_eot_all,P,noise,0.04,6,0.014663112660249075,0.018127719561258953,0.014538358496143083,False,0.0211182520724833,0.030301942369511305,False,-1.7885096259151023,-0.7641705845546942
e10_eot_all,P,noise,0.08,6,0.0044394781192143755,0.04134725530942281,0.023972016729610912,False,0.01802017353475094,0.024032724835254593,False,-4.0793859302695585,-0.6520656395502707
e10_eot_all,P,quantize,8.0,6,0.010347805917263031,0.03548151503006617,0.019631761212001126,False,0.0231294307547311,0.024340162126760996,False,-3.5006626707169533,-0.8369457168896175
e10_eot_all,P,quantize,16.0,6,0.006912499666213989,0.017916219929854076,0.023506547199020823,False,0.011039828726400932,0.024719086347399517,False,-1.7676427361021374,-0.39947967011104424
e10_eot_all,P,quantize,32.0,6,0.048847623790303864,0.007809961835543315,0.013831639964549097,False,0.0023307811158398786,0.004251625318935245,False,-0.7705432486251858,-0.08434004678261996
e10_eot_all,P,quantize,64.0,6,0.07345033468057711,0.006266084810098012,0.013126721967139892,False,-3.297363097469012e-05,0.0038928968628833063,False,-0.6182218873029823,0.0011931611939442457
e10_eot_all,P,quantize,256.0,6,0.08810392393762999,0.006356152395407359,0.011438483850980443,False,0.0011881060587863128,0.0044061672709867,False,-0.6271080984319849,-0.04299199092517265
