model,eval_quality,n,shard,shards,tau,mu,q_embed,target,acc_clean_jpeg,acc_adv_jpeg,succ_rate,paper_acc_adv,paper_acc_watermarked,psnr_vs_orig,ssim_vs_orig,lpips_vs_orig,seconds_per_image
resnet101,75,25,3,8,1500,1,0.75,least_likely,88.0,80.0,8.0,3.9,71.7,28.155,0.7988,0.2854,7.98
resnet101,85,25,3,8,1500,1,0.75,least_likely,88.0,72.0,16.0,3.9,71.7,28.155,0.7988,0.2854,7.98
