image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield_y,instruct-pix2pix,turn the color of potted plant to pink,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4448,0.97667,29.94,0.40976,0.05233,0.40354,0.70994,17.883,0.29248,0.22061,0.2346,0.03184,0.88707,0.89709,False,0.837,382.3
task_attr_mod_color_136767,dct_shield_y,instruct-pix2pix,turn the color of astronaut to pink,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40412,0.96087,30.644,0.44298,0.05235,0.60309,0.33291,8.123,0.18163,0.37518,0.23949,0.02936,0.80285,0.80235,True,0.837,370.3
task_attr_mod_color_184837,dct_shield_y,instruct-pix2pix,turn the color of frame to pink,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32381,0.98691,29.557,0.52043,0.02989,0.44275,0.62681,17.889,0.29891,0.2498,0.20392,0.03328,0.95512,0.93198,False,0.837,373.3
task_attr_mod_color_32648,dct_shield_y,instruct-pix2pix,turn the color of potion bottle to orange,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5541,0.95532,32.08,0.17637,0.10178,0.63077,0.39641,10.66,0.07158,0.38686,0.16684,0.02489,0.75736,0.74623,True,0.837,370.7
task_attr_mod_color_6205,dct_shield_y,instruct-pix2pix,turn the color of toolbox to red,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49359,0.97374,30.395,0.39528,0.05926,0.63442,0.29473,7.91,0.45009,0.41778,0.26516,0.03022,0.87291,0.84647,False,0.837,370.9
task_env_weather_112463,dct_shield_y,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55121,0.97893,30.325,0.424,0.03198,0.80867,0.38227,10.769,0.15043,0.34256,0.20249,0.03046,0.54607,0.57605,True,0.837,370.2
task_env_weather_246440,dct_shield_y,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26539,0.9806,29.012,0.53761,0.01442,0.42882,0.45612,16.303,0.1509,0.22052,0.30557,0.03543,0.94041,0.88056,False,0.837,370.6
task_env_weather_63722,dct_shield_y,instruct-pix2pix,change the setting to a snowy landscape,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44273,0.97849,30.197,0.43633,0.03595,0.46636,0.68667,17.535,0.26955,0.23703,0.20387,0.03091,0.8883,0.87847,False,0.837,370.7
task_obj_add_40931,dct_shield_y,instruct-pix2pix,Add the blood on snout,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4003,0.98246,30.401,0.51738,0.03633,0.47094,0.47164,16.895,0.29192,0.29611,0.18821,0.03019,0.90496,0.82401,True,0.837,371.0
task_obj_remove_380621,dct_shield_y,instruct-pix2pix,Remove iceberg,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48889,0.97881,30.512,0.43612,0.05439,0.69277,0.27108,8.519,0.08285,0.36676,0.2184,0.02981,0.72543,0.69819,True,0.837,370.8
task_obj_swap_joint_mask_276754,dct_shield_y,instruct-pix2pix,Replace the satellite dish with rocket,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39302,0.90802,30.289,0.43628,0.04511,0.69677,0.47893,13.453,0.01126,0.42279,0.20351,0.03059,0.77556,0.76672,True,0.837,370.3
task_obj_swap_joint_mask_533428,dct_shield_y,instruct-pix2pix,Replace the samurai armor with red jacket,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37238,0.98382,29.934,0.49366,0.01881,0.54944,0.44126,14.501,0.14076,0.28016,0.19325,0.03186,0.88973,0.79329,True,0.837,370.3
task_obj_swap_rand_mask_417469,dct_shield_y,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,1000,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42917,0.96423,30.29,0.42179,0.0345,0.75582,0.26569,9.529,0.10127,0.50987,0.21469,0.03058,0.40396,0.49289,True,0.837,370.6
