image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30476,0.96096,25.765,0.47954,0.07536,0.39802,0.71154,17.702,0.28708,0.22066,0.88042,0.05149,0.91421,0.88751,False,0.837,180.0
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36211,0.93379,26.031,0.4138,0.14563,0.52464,0.49982,11.647,0.15085,0.25685,0.98039,0.04994,0.90007,0.82527,True,0.837,170.3
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4224,0.91133,22.073,0.37037,0.1896,0.57873,0.45725,15.541,0.23633,0.3172,0.66275,0.07876,0.94759,0.87979,False,0.837,170.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39672,0.97909,34.939,0.44379,0.06746,0.3238,0.69151,15.802,0.56076,0.22683,0.6264,0.01791,0.95116,0.93443,False,0.837,170.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29995,0.96123,29.297,0.53376,0.11104,0.44021,0.63947,12.041,0.37911,0.24956,0.75602,0.03429,0.91666,0.85468,False,0.837,170.1
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40411,0.95997,30.971,0.54505,0.05054,0.37493,0.56404,17.441,0.34066,0.20124,0.50639,0.02828,0.89228,0.90196,False,0.837,170.1
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39971,0.86131,19.62,0.30314,0.12668,0.59626,0.2839,14.081,0.13496,0.32939,0.97647,0.10447,0.89056,0.84274,False,0.837,169.9
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36952,0.94921,24.947,0.41491,0.09516,0.48306,0.6208,17.03,0.22722,0.27029,0.7497,0.05658,0.87965,0.83924,False,0.837,170.1
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46091,0.92303,25.85,0.41408,0.13117,0.51294,0.42945,15.842,0.239,0.33501,0.58934,0.05099,0.87164,0.73301,True,0.837,170.0
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.25,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36876,0.93919,25.377,0.51319,0.09376,0.46462,0.49493,10.374,0.34738,0.29701,0.9451,0.05385,0.83109,0.7729,True,0.837,170.0
