image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
cat_00,add,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.00872,False,0.00471,173.6,0.07,0.9987,0.0087,51.1884,0.9972,5.5308,0.7052,0.1194,0.3509,0.33,0.0209,0.1549,0.157,-0.0021,,
cat_00,phase,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.04861,False,1.3,13.2,0.1254,0.9745,0.0486,34.945,0.9956,5.3695,0.635,0.2987,0.3509,0.3365,0.0144,0.1549,0.1417,0.0133,0.00849,0.2933
cat_00,phase_rand,0,a cat wearing a red party hat,32,0.12,0.5,data/targets/gray.png,human,human,0.05773,False,1.3,5.6,0.0423,0.9775,0.0577,35.5952,0.9943,5.2554,0.6195,0.0612,0.3509,0.359,-0.0081,0.1549,0.1544,0.0005,0.0087,0.2933
lebron_00,add,0,a man standing on a sunny beach,32,0.12,0.5,data/targets/gray.png,human,human,0.01993,False,0.00471,13.2,0.3497,0.9961,0.0199,48.0808,0.999,5.351,0.6855,0.1937,0.2838,0.2801,0.0037,0.1002,0.1105,-0.0102,,
lebron_00,phase,0,a man standing on a sunny beach,32,0.12,0.5,data/targets/gray.png,human,human,0.05893,False,1.3,13.4,0.1874,0.9847,0.0589,36.893,0.9981,5.274,0.6824,0.2082,0.2838,0.2782,0.0056,0.1002,0.1079,-0.0077,0.03311,0.4148
lebron_00,phase_rand,0,a man standing on a sunny beach,32,0.12,0.5,data/targets/gray.png,human,human,0.06834,False,1.3,5.9,0.0701,0.9827,0.0683,36.0653,0.9959,5.1617,0.6702,0.1041,0.2838,0.2772,0.0066,0.1002,0.1052,-0.005,0.03993,0.4148
musk_00,add,0,a man standing in a busy city street at night,32,0.12,0.5,data/targets/gray.png,human,human,0.01544,False,0.00471,13.2,0.2632,0.9964,0.0154,48.3702,0.9862,5.3424,0.6638,0.1851,0.2109,0.2215,-0.0106,0.105,0.1156,-0.0106,,
musk_00,phase,0,a man standing in a busy city street at night,32,0.12,0.5,data/targets/gray.png,human,human,0.0199,False,1.3,13.3,0.1165,0.9845,0.0199,36.8291,0.9968,4.973,0.6729,0.1922,0.2109,0.2178,-0.0069,0.105,0.1127,-0.0077,0.00952,0.2697
musk_00,phase_rand,0,a man standing in a busy city street at night,32,0.12,0.5,data/targets/gray.png,human,human,0.02905,False,1.3,5.8,0.0429,0.9838,0.029,36.1821,0.994,4.9546,0.656,0.0459,0.2109,0.2074,0.0035,0.105,0.1021,0.0029,0.01072,0.2697
obama_00,add,0,a man standing on a snowy street,32,0.12,0.5,data/targets/gray.png,human,human,0.00592,False,0.00471,13.3,0.1595,0.9974,0.0059,47.7531,0.9948,5.0729,0.3852,0.2645,0.2477,0.2181,0.0296,0.1012,0.0922,0.0091,,
obama_00,phase,0,a man standing on a snowy street,32,0.12,0.5,data/targets/gray.png,human,human,0.03754,False,1.3,13.4,0.0924,0.9785,0.0375,35.3311,0.9983,4.7052,0.383,0.2753,0.2477,0.2237,0.0239,0.1012,0.0885,0.0127,0.01871,0.2915
obama_00,phase_rand,0,a man standing on a snowy street,32,0.12,0.5,data/targets/gray.png,human,human,0.02889,False,1.3,5.8,0.0521,0.9774,0.0289,35.2916,0.9984,4.7001,0.3869,0.1378,0.2477,0.2611,-0.0135,0.1012,0.1014,-0.0002,0.01942,0.2915
parrot_00,add,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,human,human,0.01435,False,0.00471,13.1,0.2495,0.9968,0.0143,48.4325,0.9758,5.6675,0.7011,0.3778,0.2992,0.3179,-0.0187,0.1067,0.1025,0.0043,,
parrot_00,phase,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,human,human,0.02717,False,1.3,13.3,0.1008,0.9778,0.0272,35.8089,0.9944,5.4274,0.6744,0.2818,0.2992,0.3227,-0.0235,0.1067,0.1096,-0.0029,0.00926,0.3366
parrot_00,phase_rand,0,a parrot perched on a branch in a rainforest,32,0.12,0.5,data/targets/gray.png,human,human,0.03555,False,1.3,5.7,0.0485,0.9791,0.0356,36.1002,0.9943,5.1678,0.6693,0.0427,0.2992,0.2989,0.0004,0.1067,0.1067,0.0,0.0098,0.3366
raccoon_00,add,0,a raccoon standing on a city sidewalk at night,32,0.12,0.5,data/targets/gray.png,human,human,0.01173,False,0.00471,13.1,0.141,0.9974,0.0117,47.9291,0.9946,6.0686,0.7075,0.3914,0.3158,0.3135,0.0023,0.1183,0.1306,-0.0123,,
raccoon_00,phase,0,a raccoon standing on a city sidewalk at night,32,0.12,0.5,data/targets/gray.png,human,human,0.03511,False,1.3,13.3,0.2503,0.9426,0.0351,28.2929,0.998,5.9197,0.7279,0.5078,0.3158,0.3266,-0.0108,0.1183,0.148,-0.0297,0.03795,0.4693
raccoon_00,phase_rand,0,a raccoon standing on a city sidewalk at night,32,0.12,0.5,data/targets/gray.png,human,human,0.03669,False,1.3,5.7,0.0596,0.9562,0.0367,29.5942,0.9984,5.8969,0.7077,0.1639,0.3158,0.3329,-0.0171,0.1183,0.1325,-0.0142,0.03589,0.4693
ronaldo_00,add,0,a man standing in a green forest,32,0.12,0.5,data/targets/gray.png,human,human,0.0096,False,0.00471,13.3,0.2242,0.9965,0.0096,47.9703,0.9974,5.714,0.6464,0.4483,0.2827,0.2926,-0.0099,0.057,0.0523,0.0047,,
ronaldo_00,phase,0,a man standing in a green forest,32,0.12,0.5,data/targets/gray.png,human,human,0.03686,False,1.3,13.4,0.1438,0.9778,0.0369,36.2833,0.9977,5.4865,0.6542,0.5333,0.2827,0.3008,-0.0181,0.057,0.0595,-0.0025,0.01549,0.3327
ronaldo_00,phase_rand,0,a man standing in a green forest,32,0.12,0.5,data/targets/gray.png,human,human,0.04006,False,1.3,5.8,0.0514,0.9791,0.0401,36.508,0.9975,5.3417,0.6372,0.0746,0.2827,0.2811,0.0016,0.057,0.0619,-0.0049,0.01639,0.3327
shiba_00,add,0,a dog wearing a yellow knitted hat,32,0.12,0.5,data/targets/gray.png,human,human,0.00279,False,0.00471,13.2,0.2172,0.9974,0.0028,47.7124,0.9992,5.6701,0.7079,0.2772,0.3384,0.2919,0.0465,0.1444,0.1423,0.0021,,
shiba_00,phase,0,a dog wearing a yellow knitted hat,32,0.12,0.5,data/targets/gray.png,human,human,0.02585,False,1.3,13.3,0.1851,0.9603,0.0258,31.4081,0.9984,5.4373,0.6936,0.3079,0.3384,0.326,0.0124,0.1444,0.1451,-0.0007,0.02283,0.4645
shiba_00,phase_rand,0,a dog wearing a yellow knitted hat,32,0.12,0.5,data/targets/gray.png,human,human,0.04078,False,1.3,5.9,0.0584,0.9639,0.0408,32.182,0.9979,5.3537,0.673,0.1126,0.3384,0.3112,0.0272,0.1444,0.114,0.0304,0.02207,0.4645
trump_00,add,0,a man standing in a golden wheat field,32,0.12,0.5,data/targets/gray.png,human,human,0.01087,False,0.00471,13.3,0.2158,0.997,0.0109,48.0148,0.9947,5.159,0.6132,0.2929,0.3308,0.3197,0.0111,0.0256,0.0619,-0.0363,,
trump_00,phase,0,a man standing in a golden wheat field,32,0.12,0.5,data/targets/gray.png,human,human,0.03567,False,1.3,13.4,0.1408,0.9724,0.0357,31.8166,0.9984,4.9506,0.5535,0.3278,0.3308,0.332,-0.0012,0.0256,0.0431,-0.0175,0.02769,0.3378
trump_00,phase_rand,0,a man standing in a golden wheat field,32,0.12,0.5,data/targets/gray.png,human,human,0.04335,False,1.3,5.8,0.0574,0.9703,0.0433,32.1038,0.9959,4.9662,0.5796,0.086,0.3308,0.3086,0.0222,0.0256,0.0343,-0.0087,0.02721,0.3378
