image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp,instruct-pix2pix,turn the color of potted plant to pink,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38207,0.68704,17.48,0.10798,0.2406,0.39192,0.65332,17.18,0.10163,0.25783,0.89066,0.13366,0.904,0.87148,False,0.837,674.8
task_attr_mod_color_136767,warp,instruct-pix2pix,turn the color of astronaut to pink,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45616,0.6049,15.695,0.08099,0.32437,0.48445,0.56365,15.043,0.08442,0.35051,0.99318,0.16415,0.7876,0.7247,True,0.837,669.5
task_attr_mod_color_184837,warp,instruct-pix2pix,turn the color of frame to pink,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44512,0.54331,15.839,0.0862,0.28226,0.48007,0.49426,16.029,0.10116,0.32206,0.89096,0.16146,0.90608,0.84522,False,0.837,671.2
task_attr_mod_color_32648,warp,instruct-pix2pix,turn the color of potion bottle to orange,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36905,0.92506,27.905,0.20739,0.25949,0.29365,0.83273,20.277,0.44968,0.23013,0.98513,0.04025,0.92556,0.91008,False,0.837,667.9
task_attr_mod_color_6205,warp,instruct-pix2pix,turn the color of toolbox to red,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41713,0.67056,19.83,0.10819,0.30871,0.54876,0.51013,11.394,0.1221,0.37524,0.93245,0.10198,0.9113,0.76169,True,0.837,668.6
task_env_weather_112463,warp,instruct-pix2pix,transform the setting to spring with blooming flowers,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52989,0.60215,19.905,0.11073,0.27834,0.48004,0.43077,16.258,0.10046,0.26665,0.98217,0.1011,0.82548,0.80248,True,0.837,667.2
task_obj_remove_380621,warp,instruct-pix2pix,Remove iceberg,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45625,0.6727,19.874,0.15069,0.23882,0.51011,0.47359,17.11,0.07869,0.26087,0.99962,0.10147,0.87477,0.77809,True,0.837,666.8
task_obj_swap_joint_mask_276754,warp,instruct-pix2pix,Replace the satellite dish with rocket,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49183,0.52734,19.56,0.06414,0.27435,0.3761,0.77083,17.232,0.1549,0.19643,0.95519,0.1052,0.93486,0.93703,False,0.837,666.7
task_obj_swap_joint_mask_533428,warp,instruct-pix2pix,Replace the samurai armor with red jacket,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50306,0.5545,16.249,0.09204,0.28326,0.5142,0.45133,15.024,0.09191,0.29503,0.98919,0.15401,0.832,0.76217,True,0.837,669.8
task_obj_swap_rand_mask_417469,warp,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,64.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,64,adam,0.02,0.25,1.5,plane,0.85,transpose,texture,4000,latent_norm,0.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48407,0.60328,18.125,0.09673,0.30314,0.50939,0.51342,16.716,0.10652,0.34605,0.96716,0.12409,0.69075,0.64988,True,0.837,669.0
