image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,delta_within_1,delta_nonzero,zero_coef_frac,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_unified,instruct-pix2pix,turn the color of potted plant to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.91118,0.20899,0.83581,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44263,0.92225,18.775,0.24484,0.10273,0.42469,0.69514,17.426,0.18715,0.22636,1.0,0.11514,0.88702,0.82565,True,0.837,399.9
task_attr_mod_color_136767,dct_unified,instruct-pix2pix,turn the color of astronaut to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.89352,0.24415,0.83135,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45105,0.87708,17.791,0.20458,0.17661,0.50525,0.48021,11.65,0.14253,0.26734,1.0,0.12896,0.90377,0.90067,False,0.837,392.6
task_attr_mod_color_184837,dct_unified,instruct-pix2pix,turn the color of frame to pink,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.80492,0.39397,0.73483,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55053,0.87264,15.342,0.20003,0.16859,0.62636,0.40072,14.663,0.16978,0.33326,1.0,0.17097,0.87754,0.82833,True,0.837,404.1
task_attr_mod_color_32648,dct_unified,instruct-pix2pix,turn the color of potion bottle to orange,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.9795,0.07866,0.94156,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37966,0.94281,24.757,0.16214,0.09941,0.33501,0.79282,19.019,0.32415,0.21816,1.0,0.05783,0.92633,0.91283,False,0.837,400.6
task_attr_mod_color_6205,dct_unified,instruct-pix2pix,turn the color of toolbox to red,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.93351,0.19374,0.872,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44445,0.87934,20.302,0.27084,0.138,0.53647,0.56399,10.716,0.23383,0.31402,1.0,0.09658,0.86075,0.82011,True,0.837,401.9
task_env_weather_112463,dct_unified,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.88441,0.32408,0.85591,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.66563,0.86189,18.674,0.2039,0.11121,0.51667,0.45933,14.17,0.22604,0.30685,1.0,0.11649,0.74621,0.59131,True,0.837,399.2
task_obj_remove_380621,dct_unified,instruct-pix2pix,Remove iceberg,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.88484,0.29307,0.80157,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57568,0.86872,18.44,0.20929,0.13737,0.49267,0.48724,12.739,0.1959,0.29518,1.0,0.11968,0.86972,0.81279,True,0.837,401.1
task_obj_swap_joint_mask_276754,dct_unified,instruct-pix2pix,Replace the satellite dish with rocket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.77178,0.43166,0.69052,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48562,0.73237,16.369,0.09756,0.19583,0.67153,0.50242,13.427,0.01181,0.41502,1.0,0.1519,0.78985,0.85438,False,0.837,397.1
task_obj_swap_joint_mask_533428,dct_unified,instruct-pix2pix,Replace the samurai armor with red jacket,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.7997,0.44696,0.74767,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.60316,0.77713,15.265,0.15015,0.1843,0.61069,0.32043,10.431,0.08813,0.27117,1.0,0.17248,0.73352,0.6178,True,0.837,395.2
task_obj_swap_rand_mask_417469,dct_unified,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.1,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.87114,0.33043,0.80663,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57055,0.78322,17.611,0.163,0.13573,0.66257,0.3918,10.644,0.15204,0.41595,1.0,0.13166,0.71895,0.5369,True,0.837,397.0
