image,variant,theta,rms,identity,keep_q95,keep_q85,keep_q75,keep_q50,keep_q30
task_attr_mod_color_11699,post_int,0.3,0.030858,1.0,0.991218,0.993365,1.009095,0.955677,0.924401
task_attr_mod_color_11699,post_int,1.2,0.114503,1.0,0.989673,0.992333,1.000955,0.953411,0.930309
task_attr_mod_color_11699,post_int,3.1416,0.19622,1.0,0.989384,0.992468,0.995686,0.961745,0.933765
task_attr_mod_color_11699,pre_deliver,0.3,0.03076,1.0,0.986534,0.993845,1.0302,0.89076,0.844318
task_attr_mod_color_11699,pre_deliver,1.2,0.109593,1.0,0.989756,0.992372,0.999186,0.960065,0.935538
task_attr_mod_color_11699,pre_deliver,3.1416,0.19622,1.0,0.989384,0.992468,0.995686,0.961745,0.933765
task_attr_mod_color_136767,post_int,0.3,0.028556,1.0,0.990243,0.986103,1.001103,0.947697,0.911604
task_attr_mod_color_136767,post_int,1.2,0.1062,1.0,0.994378,0.993531,1.009558,0.955231,0.931992
task_attr_mod_color_136767,post_int,3.1416,0.182503,1.0,0.995289,0.994111,1.004461,0.968415,0.948929
task_attr_mod_color_136767,pre_deliver,0.3,0.028937,1.0,0.988806,0.988465,1.033643,0.887822,0.841021
task_attr_mod_color_136767,pre_deliver,1.2,0.103083,1.0,0.994391,0.993324,1.006102,0.963,0.942007
task_attr_mod_color_136767,pre_deliver,3.1416,0.182503,1.0,0.995289,0.994111,1.004461,0.968415,0.948929
task_attr_mod_color_184837,post_int,0.3,0.042315,1.0,0.989043,0.990429,1.006941,0.960262,0.932982
task_attr_mod_color_184837,post_int,1.2,0.153328,1.0,0.990748,0.989486,1.007843,0.957163,0.93559
task_attr_mod_color_184837,post_int,3.1416,0.252425,1.0,0.99393,0.993617,1.00702,0.971918,0.950088
task_attr_mod_color_184837,pre_deliver,0.3,0.040742,1.0,0.988423,0.993027,1.043297,0.89842,0.855006
task_attr_mod_color_184837,pre_deliver,1.2,0.143759,1.0,0.99122,0.990511,1.006131,0.964093,0.943169
task_attr_mod_color_184837,pre_deliver,3.1416,0.252425,1.0,0.99393,0.993617,1.00702,0.971918,0.950088
task_attr_mod_color_32648,post_int,0.3,0.012261,1.0,0.990123,0.989067,0.994188,0.964182,0.944452
task_attr_mod_color_32648,post_int,1.2,0.044152,1.0,0.994713,0.993878,1.01657,0.94946,0.931
task_attr_mod_color_32648,post_int,3.1416,0.072297,1.0,0.996528,0.995491,1.012381,0.966626,0.946694
task_attr_mod_color_32648,pre_deliver,0.3,0.011666,1.0,0.989203,0.991279,1.057582,0.871185,0.829852
task_attr_mod_color_32648,pre_deliver,1.2,0.040803,1.0,0.994642,0.994034,1.014872,0.957212,0.940456
task_attr_mod_color_32648,pre_deliver,3.1416,0.072297,1.0,0.996528,0.995491,1.012381,0.966626,0.946694
task_attr_mod_color_6205,post_int,0.3,0.023435,1.0,0.965511,0.967945,0.976748,0.935672,0.901008
task_attr_mod_color_6205,post_int,1.2,0.086999,1.0,0.969115,0.970571,0.974042,0.929202,0.912092
task_attr_mod_color_6205,post_int,3.1416,0.149379,1.0,0.973629,0.975246,0.977349,0.945883,0.927683
task_attr_mod_color_6205,pre_deliver,0.3,0.023633,1.0,0.957894,0.969033,0.976584,0.876925,0.821814
task_attr_mod_color_6205,pre_deliver,1.2,0.08459,1.0,0.969162,0.970649,0.973226,0.936802,0.917204
task_attr_mod_color_6205,pre_deliver,3.1416,0.149379,1.0,0.973629,0.975246,0.977349,0.945883,0.927683
task_env_weather_112463,post_int,0.3,0.022102,1.0,0.986317,0.989901,0.992165,0.974004,0.942854
task_env_weather_112463,post_int,1.2,0.08193,1.0,0.987251,0.988801,0.992631,0.966305,0.953221
task_env_weather_112463,post_int,3.1416,0.140274,1.0,0.990635,0.991091,0.994746,0.978231,0.96682
task_env_weather_112463,pre_deliver,0.3,0.022116,1.0,0.981424,0.990279,1.000299,0.933718,0.896504
task_env_weather_112463,pre_deliver,1.2,0.079956,1.0,0.987393,0.988877,0.99092,0.971324,0.958389
task_env_weather_112463,pre_deliver,3.1416,0.140274,1.0,0.990635,0.991091,0.994746,0.978231,0.96682
task_obj_remove_380621,post_int,0.3,0.025018,1.0,0.989047,0.987658,1.008666,0.951177,0.870006
task_obj_remove_380621,post_int,1.2,0.092308,1.0,0.992419,0.991932,1.027506,0.925828,0.875957
